Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,3.39,3.47,,,,,,,
1969,3.45,2.83,-18.35,,,,,,
1970,2.85,2.21,-21.96,,,,,,
1971,2.19,2.68,21.19,,,,,,
1972,2.71,3.02,12.7,,,,,,
1973,3.04,2.33,-22.91,-7.657,,,,,
1974,2.33,1.14,-50.94,-16.627,,,,,
1975,1.16,1.93,69.24,-2.673,,,,,
1976,1.93,2.98,54.54,2.145,,,,,
1977,2.98,3.14,5.33,0.782,,,,,
1978,3.16,3.23,2.62,6.75,-0.714,,,,
1979,3.23,3.69,14.29,26.481,2.689,,,,
1980,3.69,4.28,16.07,17.267,6.833,,,,
1981,4.28,4.52,5.58,8.689,5.366,,,,
1982,4.49,4.22,-6.56,6.091,3.402,,,,
1983,4.2,7.04,66.67,16.862,11.692,4.829,,,
1984,7.04,6.22,-11.58,11.008,18.492,5.39,,,
1985,6.22,7.61,22.22,12.199,14.705,8.592,,,
1986,7.61,7.63,0.3235,11.039,9.858,7.224,,,
1987,7.7,10.78,41.26,20.632,13.128,8.853,,,
1988,10.78,8.33,-22.68,3.422,9.937,8.864,4.476,,
1989,8.33,7.48,-10.22,3.758,7.322,13.362,4.98,,
1990,7.48,7.07,-5.45,-1.461,5.147,9.041,5.987,,
1991,7.11,9.07,28.27,3.518,7.213,7.703,6.285,,
1992,9.07,8.78,-3.27,-4.021,7.601,7.095,5.481,,
1993,8.74,11.19,27.43,6.081,4.743,8.636,8.162,4.795,
1994,11.15,13.48,20.53,12.501,8.041,9.021,13.146,6.443,
1995,13.48,15.22,12.91,16.573,7.177,8.826,10.877,8.024,
1996,15.11,17.22,13.14,13.68,8.48,9.327,9.167,7.725,
1997,17.0,30.58,77.58,28.348,10.989,14.115,12.053,9.703,
1998,30.75,21.83,-28.61,14.3,10.114,7.836,10.025,9.362,6.322
1999,21.83,34.21,56.68,20.474,16.419,12.036,11.778,14.575,8.662
2000,34.21,29.42,-14.01,14.089,15.325,9.434,10.118,11.512,9.012
2001,29.5,30.61,4.05,12.193,12.934,9.704,10.036,9.766,8.457
2002,30.61,30.75,0.4793,0.111,13.354,7.238,10.44,9.556,8.042
2003,31.17,39.67,28.98,12.689,13.491,10.965,9.03,10.553,9.91
2004,39.67,50.49,27.29,8.096,14.117,13.576,11.038,11.032,13.469
2005,50.82,43.97,-12.91,8.368,11.192,12.958,9.166,9.766,10.982
2006,43.97,51.25,16.56,10.858,11.523,12.238,9.991,10.2,9.947
2007,51.48,75.31,46.94,19.619,9.431,15.405,10.208,12.218,11.173
2008,75.12,42.54,-43.51,1.407,6.899,9.311,8.494,7.461,8.973
2009,43.19,53.88,26.66,1.308,4.647,9.677,10.376,9.02,9.349
2010,54.66,86.3,60.17,14.438,11.362,12.264,13.326,10.201,10.531
2011,86.76,76.25,-11.65,8.27,9.556,10.428,11.232,9.645,9.876
2012,78.31,85.06,11.55,2.465,10.71,7.058,12.024,8.614,10.53
2013,87.45,128.64,51.23,24.772,12.484,12.552,12.987,11.57,10.169
2014,128.1,128.95,0.241,19.069,9.83,9.249,11.953,12.063,10.634
2015,129.24,96.98,-24.79,2.361,8.231,8.277,9.702,11.043,8.854
2016,95.2,140.0,44.36,12.922,10.572,10.667,11.046,11.568,10.184
2017,142.2,199.58,42.56,18.598,10.237,13.28,9.833,13.309,10.217
2018,200.1,149.14,-25.27,3.002,13.365,9.23,10.085,10.915,10.094
2019,146.77,205.82,38.0,9.803,14.342,9.821,9.387,11.52,11.683
2020,207.01,272.41,32.35,22.944,12.181,12.929,11.771,12.231,12.943
2021,273.51,318.12,16.78,17.84,15.355,12.943,12.418,12.373,12.59
2022,318.41,291.0,-8.53,7.834,13.088,9.43,11.893,9.43,12.378
2023,293.0,422.46,45.18,23.151,12.627,16.538,12.555,12.582,12.867
