Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,3.39,3.52,,,,,,,
1973,3.57,3.22,-8.58,,,,,,
1974,3.12,2.14,-33.67,,,,,,
1975,2.17,2.69,26.15,,,,,,
1976,2.83,2.73,1.22,,,,,,
1977,2.83,3.02,10.84,-3.018,,,,,
1978,3.09,3.19,5.44,-0.187,,,,,
1979,3.22,2.86,-10.31,5.972,,,,,
1980,2.86,1.86,-35.06,-7.114,,,,,
1981,1.86,2.14,15.05,-4.753,,,,,
1982,2.17,2.73,27.69,-1.999,-2.51,,,,
1983,2.76,3.78,38.55,3.452,1.616,,,,
1984,3.88,4.11,8.69,7.521,6.744,,,,
1985,4.11,5.88,43.2,25.885,8.134,,,,
1986,5.98,5.22,-11.17,19.523,6.697,,,,
1987,5.26,3.81,-27.04,6.894,2.351,0.529,,,
1988,3.81,4.5,18.1,3.549,3.5,2.256,,,
1989,4.57,6.57,45.98,9.836,8.673,7.765,,,
1990,6.57,3.09,-53.0,-12.074,5.207,0.928,,,
1991,3.09,4.6,48.93,-2.497,7.953,3.54,,,
1992,4.6,2.83,-38.57,-5.774,0.36,-0.432,-1.085,,
1993,2.89,5.42,91.86,3.79,3.669,3.597,2.638,,
1994,5.52,7.72,42.42,3.279,6.507,6.844,6.625,,
1995,7.85,9.43,22.13,25.0,4.837,11.429,6.473,,
1996,9.63,10.51,11.5,17.969,7.249,11.193,6.972,,
1997,10.45,15.9,51.25,41.228,15.358,12.465,8.66,6.217,
1998,16.08,17.79,11.88,26.834,14.735,10.878,8.973,7.076,
1999,18.02,32.64,83.48,33.422,17.387,14.814,12.946,11.515,
2000,34.67,34.01,4.19,29.247,27.106,12.413,15.639,10.681,
2001,34.36,27.31,-19.7,21.044,19.497,11.663,13.578,9.649,
2002,28.18,16.59,-39.26,0.853,19.345,10.305,9.442,7.052,5.304
2003,17.09,27.29,64.54,8.935,17.544,12.768,10.389,8.965,7.384
2004,28.23,24.86,-8.9,-5.3,12.406,9.277,9.417,9.035,8.518
2005,25.02,29.18,17.36,-3.017,11.959,16.147,8.339,11.641,8.271
2006,30.04,35.26,20.84,5.243,12.867,14.543,10.022,11.86,8.902
2007,35.56,40.11,13.76,19.311,9.695,19.334,12.491,11.348,9.004
2008,40.18,18.64,-53.52,-7.341,0.468,8.583,7.365,6.59,6.061
2009,18.8,27.62,48.16,2.128,-1.656,8.87,7.444,7.918,7.852
2010,28.76,28.8,4.28,-0.262,-1.649,7.727,11.808,6.562,9.563
2011,29.44,19.65,-31.76,-11.036,-3.238,4.26,7.53,5.445,7.671
2012,19.98,24.9,26.68,-9.095,4.144,3.035,11.486,7.798,7.647
2013,25.39,34.68,39.3,13.221,2.425,4.551,9.725,8.511,7.668
2014,34.31,27.21,-21.56,-0.299,0.907,-1.206,6.501,5.849,6.503
2015,27.37,23.88,-12.24,-3.677,-1.984,-2.33,4.755,8.523,4.782
2016,23.24,28.68,20.12,7.856,-2.044,0.327,5.147,7.595,5.843
2017,28.22,35.46,23.65,7.327,-1.225,5.194,4.092,10.642,7.719
2018,35.54,32.94,-7.12,-1.024,5.859,1.262,3.128,7.485,6.86
2019,32.61,45.78,38.99,10.966,5.183,4.155,1.706,7.38,6.685
2020,46.34,51.85,13.26,16.773,6.056,3.907,2.131,7.056,9.857
2021,53.61,35.27,-31.97,4.223,6.024,0.002,1.287,4.962,7.026
2022,35.83,14.35,-59.32,-16.551,-5.362,-6.623,-0.723,-0.409,5.561
2023,14.87,21.88,52.49,-7.856,-4.501,1.074,-1.099,0.831,4.761
