Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.36,1.68,,,,,,,
1969,1.73,1.48,-11.8,,,,,,
1970,1.53,1.42,-3.87,,,,,,
1971,1.44,1.84,29.67,,,,,,
1972,1.85,1.96,6.21,,,,,,
1973,1.96,0.9583,-51.06,-10.62,,,,,
1974,0.9583,1.02,6.52,-7.174,,,,,
1975,1.03,1.47,44.4,0.695,,,,,
1976,1.47,2.4,62.54,5.458,,,,,
1977,2.4,1.69,-29.56,-2.921,,,,,
1978,1.69,1.5,-11.11,9.375,-1.127,,,,
1979,1.5,1.8,20.31,12.03,1.977,,,,
1980,1.8,2.55,41.13,11.646,6.029,,,,
1981,2.55,2.36,-7.36,-0.336,2.52,,,,
1982,2.36,3.23,37.09,13.832,5.122,,,,
1983,3.17,4.36,34.78,23.788,16.359,6.564,,,
1984,4.36,4.11,-5.73,17.954,14.954,7.046,,,
1985,4.11,6.38,55.13,20.131,15.811,10.536,,,
1986,6.38,9.11,42.89,31.015,14.27,11.253,,,
1987,9.11,8.28,-9.09,20.716,17.223,10.083,,,
1988,8.38,10.09,21.89,18.272,20.999,16.993,9.378,,
1989,10.09,9.94,-1.55,19.319,18.635,16.391,9.991,,
1990,9.94,11.75,18.24,12.991,16.506,14.863,11.144,,
1991,11.75,12.63,7.45,6.752,18.263,11.707,10.111,,
1992,12.59,16.47,30.45,14.745,17.693,16.391,11.23,,
1993,16.47,18.97,15.18,13.458,15.84,18.431,16.099,10.182,
1994,18.88,18.56,-2.14,13.302,16.272,16.83,15.611,10.645,
1995,18.56,22.88,23.23,14.257,13.622,15.752,14.711,11.76,
1996,22.63,28.06,22.68,17.31,11.907,17.945,13.082,11.514,
1997,28.0,28.56,1.78,11.638,13.181,15.639,15.184,11.312,
1998,28.5,29.09,1.86,8.927,11.169,13.488,15.98,14.628,9.972
1999,29.06,31.28,7.52,11.004,12.147,14.488,15.345,14.674,10.705
2000,31.31,23.16,-25.97,0.244,7.021,8.975,11.663,11.66,9.753
2001,23.38,25.86,11.68,-1.62,7.429,7.203,12.716,9.976,9.209
2002,25.75,25.07,-3.04,-2.573,4.291,7.665,10.789,11.391,8.867
2003,25.2,32.01,27.66,1.931,5.371,8.001,10.482,13.023,12.407
2004,32.01,34.08,6.47,1.729,6.265,8.561,11.156,12.484,12.408
2005,34.15,28.95,-15.05,4.564,2.381,6.196,7.855,10.206,10.445
2006,29.11,32.1,10.9,4.418,1.354,6.416,6.5,11.005,9.029
2007,32.1,35.12,9.38,6.974,2.089,5.178,7.492,10.016,10.643
2008,35.5,21.21,-39.58,-7.902,-3.11,0.747,3.784,6.533,9.232
2009,21.23,29.27,37.97,-2.997,-0.662,3.084,5.548,8.169,9.742
2010,29.65,42.03,43.61,7.741,6.141,4.137,6.58,7.832,9.791
2011,42.26,41.74,-0.6899,5.392,4.904,2.683,6.159,6.278,10.049
2012,42.65,67.67,62.12,14.017,10.439,5.919,7.321,8.766,10.673
2013,69.17,94.83,40.13,34.921,11.472,8.197,8.379,9.376,10.811
2014,94.75,115.58,21.88,31.611,12.99,9.104,9.576,10.311,11.764
2015,115.58,98.82,-14.5,18.647,13.063,10.156,7.589,8.891,9.564
2016,97.27,94.76,-4.11,17.819,11.433,9.043,6.274,8.395,8.119
2017,95.43,116.82,23.28,11.538,12.771,10.805,7.297,8.152,9.224
2018,116.98,102.23,-12.49,1.514,17.032,8.049,6.486,6.97,8.025
2019,101.03,133.49,30.58,2.923,16.386,9.529,7.525,8.212,9.044
2020,133.97,144.22,8.04,7.854,13.122,11.299,9.576,7.642,8.718
2021,144.66,172.44,19.57,12.72,15.241,11.86,9.951,7.533,9.104
2022,172.1,125.74,-27.08,1.483,6.392,8.875,8.397,6.108,7.01
2023,126.79,142.01,12.94,6.794,4.121,13.515,7.734,6.547,6.94
