Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,6.73,7.28,,,,,,,
1969,7.34,5.71,-21.51,,,,,,
1970,5.83,5.48,-4.06,,,,,,
1971,5.57,5.8,5.82,,,,,,
1972,5.83,5.86,1.0,,,,,,
1973,5.86,4.64,-20.79,-8.614,,,,,
1974,4.64,3.57,-23.12,-8.965,,,,,
1975,3.62,4.58,28.45,-3.525,,,,,
1976,4.58,5.16,12.66,-2.311,,,,,
1977,5.16,5.36,3.93,-1.768,,,,,
1978,5.36,4.47,-16.76,-0.744,-4.76,,,,
1979,4.47,4.12,-7.79,2.907,-3.211,,,,
1980,4.12,3.62,-11.97,-4.596,-4.062,,,,
1981,3.62,3.97,9.6,-5.108,-3.72,,,,
1982,3.97,4.87,22.63,-1.899,-1.834,,,,
1983,4.87,4.78,-1.79,1.35,0.298,-2.766,,,
1984,4.76,5.83,21.82,7.19,5.027,0.139,,,
1985,5.83,6.67,14.43,13.001,3.831,1.319,,,
1986,6.67,8.47,26.96,16.364,5.081,2.557,,,
1987,8.5,7.66,-9.59,9.481,3.635,1.802,,,
1988,7.68,8.38,9.47,11.883,6.486,4.02,0.706,,
1989,8.38,9.95,18.69,11.284,9.218,7.072,2.816,,
1990,9.95,10.15,2.04,8.76,10.86,5.448,3.13,,
1991,10.15,12.21,20.29,7.589,11.89,5.91,3.792,,
1992,12.15,12.64,3.56,10.536,10.007,5.886,3.918,,
1993,12.64,12.53,-0.9175,8.378,10.116,7.113,5.092,2.196,
1994,12.53,8.81,-29.63,-2.404,4.215,5.197,4.62,1.75,
1995,8.87,11.6,31.58,2.707,5.69,8.073,4.756,3.045,
1996,11.6,10.67,-8.0,-2.66,2.336,6.813,3.699,2.468,
1997,10.73,11.11,4.08,-2.547,3.788,5.652,3.712,2.592,
1998,11.16,12.93,16.45,0.63,4.432,6.859,5.454,4.185,1.933
1999,13.02,10.61,-17.94,3.788,0.644,4.073,4.843,4.453,2.087
2000,10.64,20.96,97.54,12.561,7.521,7.932,9.178,6.273,4.573
2001,20.85,16.17,-22.88,8.67,2.849,4.405,7.274,4.675,3.477
2002,16.26,16.09,-0.488,7.688,2.443,5.072,6.158,4.495,3.424
2003,16.21,20.3,26.15,9.441,4.943,6.076,7.499,6.24,5.043
2004,20.37,24.72,21.78,18.431,10.868,6.255,7.49,7.43,6.663
2005,24.91,27.28,10.36,5.412,8.928,6.813,7.297,8.414,6.129
2006,27.48,33.26,21.9,15.516,12.041,6.909,7.078,8.874,6.408
2007,33.49,48.33,45.34,24.604,15.838,9.353,9.648,9.614,7.606
2008,48.4,28.48,-41.08,7.006,8.217,5.626,6.308,7.4,6.367
2009,28.44,29.98,5.28,3.934,10.946,8.507,5.67,6.769,6.839
2010,30.25,24.42,-18.54,-2.191,1.54,5.088,4.487,5.328,6.57
2011,24.6,27.3,11.78,-3.872,5.377,6.463,4.105,4.793,6.638
2012,27.7,26.57,-2.69,-11.277,5.144,5.985,3.784,5.101,5.819
2013,26.9,27.92,5.1,-0.396,3.239,5.266,4.087,4.932,6.06
2014,27.96,33.71,20.74,2.373,3.15,8.011,6.94,5.002,6.024
2015,33.85,34.13,1.25,6.925,2.266,3.304,5.544,4.97,5.593
2016,33.9,34.05,-0.2344,4.518,0.235,5.09,5.974,4.188,4.747
2017,34.05,30.95,-9.1,3.099,-4.359,4.458,5.256,3.647,4.765
2018,31.08,28.33,-8.47,0.292,-0.053,2.247,4.0,3.317,4.144
2019,28.25,35.88,26.65,1.256,1.813,2.515,6.281,5.778,4.368
2020,36.0,28.2,-21.4,-3.745,1.45,0.221,1.495,3.617,3.465
2021,28.28,30.06,6.6,-2.462,0.968,-0.672,3.149,4.23,3.049
2022,30.15,29.22,-2.79,-1.144,0.955,-3.299,3.028,3.944,2.833
2023,29.31,24.76,-15.26,-2.658,-1.194,-0.929,0.998,2.633,2.296
