Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,2.49,2.78,,,,,,,
1973,2.85,2.47,-10.88,,,,,,
1974,2.45,0.944,-61.83,,,,,,
1975,0.944,1.19,26.01,,,,,,
1976,1.19,1.65,38.34,,,,,,
1977,1.65,1.92,16.38,-7.135,,,,,
1978,1.92,1.77,-7.61,-6.448,,,,,
1979,1.77,1.74,-1.65,13.01,,,,,
1980,1.72,2.36,35.53,14.676,,,,,
1981,2.36,2.66,12.62,10.022,,,,,
1982,2.66,2.43,-8.62,4.824,-1.337,,,,
1983,2.4,3.37,38.68,13.745,3.156,,,,
1984,3.37,3.98,18.37,17.996,15.476,,,,
1985,3.98,5.95,49.43,20.315,17.462,,,,
1986,6.0,7.92,33.08,24.385,16.983,,,,
1987,7.92,5.04,-36.42,15.708,10.132,4.046,,,
1988,5.04,5.63,11.82,10.809,12.267,5.646,,,
1989,5.63,6.37,13.01,9.863,13.857,13.574,,,
1990,6.37,6.5,2.16,1.784,10.662,11.984,,,
1991,6.5,10.95,68.31,6.693,15.2,13.448,,,
1992,10.81,13.28,21.34,21.382,18.511,13.761,8.133,,
1993,13.28,13.05,-1.76,18.31,14.498,14.246,8.679,,
1994,13.05,12.49,-4.25,14.415,12.116,14.043,13.784,,
1995,12.49,17.33,38.71,21.668,11.283,14.216,14.331,,
1996,17.38,20.83,20.2,13.725,10.153,14.706,13.517,,
1997,20.8,34.0,63.24,20.686,21.033,19.232,15.454,10.534,
1998,33.85,32.49,-4.44,20.013,19.158,16.308,15.662,10.857,
1999,32.54,20.25,-37.67,10.147,12.261,11.456,13.056,13.047,
2000,20.35,22.01,8.71,4.897,12.972,9.112,11.811,12.378,
2001,22.11,24.13,9.62,2.985,8.222,7.71,11.656,11.328,
2002,24.16,26.89,11.42,-4.584,7.31,11.809,12.771,11.135,7.858
2003,27.24,29.98,11.51,-1.595,8.673,11.795,11.548,11.984,8.677
2004,29.98,35.59,18.7,11.939,11.039,12.153,11.576,12.832,12.861
2005,35.5,34.16,-4.02,9.189,7.022,11.697,9.131,11.282,11.84
2006,34.2,37.4,9.48,9.16,6.027,8.534,8.071,11.153,10.963
2007,37.8,23.65,-36.76,-2.535,-3.565,3.922,8.036,9.529,8.73
2008,23.77,7.96,-66.34,-23.296,-13.121,-3.242,1.747,3.498,5.139
2009,8.12,5.29,-33.54,-31.699,-12.561,-5.566,-0.925,1.145,3.776
2010,5.36,7.0,32.33,-27.169,-10.824,-5.865,0.371,0.652,3.691
2011,7.16,4.3,-38.57,-35.119,-15.843,-9.984,-4.566,-2.414,1.614
2012,4.39,7.13,65.81,-21.322,-12.431,-9.89,-3.062,1.397,3.653
2013,7.32,9.89,38.71,4.438,-10.497,-7.623,-1.377,2.279,3.654
2014,9.86,10.56,6.77,14.826,-11.441,-4.248,-0.836,2.042,3.306
2015,10.65,9.6,-9.09,6.521,-11.92,-5.381,-2.91,1.572,1.607
2016,9.35,14.36,49.58,27.273,-9.128,-3.401,-1.843,1.09,2.003
2017,14.56,17.28,20.33,19.369,-3.089,-2.905,-3.327,1.059,4.193
2018,17.39,13.38,-22.57,6.231,5.331,-5.236,-4.339,0.1,2.928
2019,13.16,17.16,28.25,10.197,12.488,-4.747,-0.824,1.279,3.358
2020,17.26,16.12,-6.06,10.922,8.699,-4.883,-1.545,-0.289,3.074
2021,16.27,21.8,35.24,8.708,17.625,-3.534,-0.506,0.182,2.322
2022,22.52,21.56,-1.1,4.525,11.701,-0.615,-1.098,-1.806,1.628
2023,21.77,18.56,-13.91,6.764,6.497,5.806,-2.369,-2.215,1.181
