Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.82,1.93,,,,,,,
1969,1.92,0.9787,-49.41,,,,,,
1970,1.08,0.9104,-6.98,,,,,,
1971,0.9047,1.39,53.12,,,,,,
1972,1.4,1.47,5.72,,,,,,
1973,1.47,1.15,-22.01,-9.837,,,,,
1974,1.15,0.8819,-23.27,-2.061,,,,,
1975,0.8819,1.06,20.65,3.09,,,,,
1976,1.06,1.4,31.55,0.143,,,,,
1977,1.41,1.35,-3.66,-1.689,,,,,
1978,1.35,1.62,19.83,7.094,-1.736,,,,
1979,1.62,2.2,36.27,20.061,8.437,,,,
1980,2.2,4.1,86.05,31.068,16.24,,,,
1981,4.07,2.98,-27.22,16.31,7.925,,,,
1982,2.97,3.87,29.77,23.446,10.164,,,,
1983,3.87,6.01,55.29,29.979,17.983,7.867,,,
1984,6.01,5.53,-7.96,20.243,20.152,12.238,,,
1985,5.53,6.51,17.7,9.688,19.902,14.014,,,
1986,6.51,8.26,26.92,22.618,19.422,12.615,,,
1987,8.26,6.92,-16.25,12.326,17.754,10.88,,,
1988,6.92,7.92,14.47,5.674,17.198,13.728,7.314,,
1989,7.92,8.65,9.2,9.36,14.673,16.441,11.511,,
1990,8.65,10.11,16.84,9.203,9.445,16.224,12.791,,
1991,10.11,9.97,-1.35,3.835,12.836,13.982,10.353,,
1992,9.92,10.56,5.94,8.821,10.559,14.698,10.361,,
1993,10.65,13.52,28.02,11.289,8.445,15.194,13.113,8.098,
1994,13.47,13.02,-3.7,8.522,8.94,12.585,14.409,10.907,
1995,12.88,19.25,47.9,13.746,11.451,10.86,15.6,12.982,
1996,19.21,22.17,15.13,17.331,10.377,14.315,14.811,11.715,
1997,22.17,19.03,-14.17,12.501,10.645,11.203,14.145,10.786,
1998,18.94,17.68,-7.06,5.512,8.362,7.458,12.693,11.55,7.662
1999,17.68,21.2,19.87,10.241,9.379,9.372,11.994,13.563,10.796
2000,21.42,21.09,-0.5222,1.843,7.63,8.152,8.534,12.707,11.044
2001,20.98,17.86,-15.31,-4.231,6.003,5.275,9.366,10.721,8.884
2002,17.7,20.71,15.96,1.706,6.967,7.582,8.749,11.541,9.218
2003,20.85,35.6,71.9,15.025,10.166,10.539,9.302,13.156,12.122
2004,35.4,49.55,39.19,18.506,14.299,12.34,11.588,13.267,14.372
2005,49.39,59.16,19.39,22.911,11.882,12.5,11.666,11.268,14.347
2006,59.08,61.08,3.25,27.88,10.666,12.844,10.521,12.841,13.412
2007,61.1,68.96,12.9,27.199,13.741,13.326,12.182,12.211,14.01
2008,69.05,32.24,-53.25,-1.963,6.192,5.965,7.271,6.95,10.483
2009,33.0,46.98,45.72,-1.06,8.282,8.931,8.829,8.935,10.743
2010,47.61,71.71,52.64,3.923,13.019,9.163,10.291,10.073,10.009
2011,72.41,73.37,2.31,3.735,15.176,8.305,10.495,9.129,11.27
2012,75.21,83.99,14.47,4.022,15.028,10.404,10.925,10.501,10.803
2013,85.31,118.16,40.68,29.663,12.746,13.501,11.449,11.417,10.438
2014,117.62,111.2,-5.89,18.806,8.419,11.682,11.32,10.755,10.521
2015,111.93,102.61,-7.72,7.429,5.661,11.124,8.727,9.713,9.628
2016,100.71,134.4,30.98,12.869,8.206,14.402,9.429,10.966,9.744
2017,135.9,196.35,46.09,18.512,11.031,16.178,12.378,12.402,11.797
2018,197.81,150.48,-23.36,4.955,16.656,10.087,11.301,10.118,10.313
2019,148.52,202.67,34.68,12.755,15.741,9.846,11.95,11.606,11.086
2020,203.82,250.81,23.75,19.572,13.338,10.109,13.178,10.814,11.298
2021,251.89,348.85,39.09,21.017,16.872,12.318,16.021,11.654,12.581
2022,348.85,257.57,-26.17,5.578,11.858,9.183,13.432,10.983,11.235
2023,259.75,314.05,21.93,15.852,10.269,16.388,11.501,12.197,11.054
