Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,0.5862,0.5286,,,,,,,
1973,0.5286,0.2877,-45.57,,,,,,
1974,0.2733,0.2158,-24.99,,,,,,
1975,0.2158,0.507,134.94,,,,,,
1976,0.5178,0.89,75.54,,,,,,
1977,0.8738,0.9466,6.36,12.359,,,,,
1978,0.9709,1.17,23.08,32.388,,,,,
1979,1.17,1.17,,40.225,,,,,
1980,1.2,1.67,43.75,26.923,,,,,
1981,1.75,1.6,-4.35,12.447,,,,,
1982,1.6,2.11,31.82,17.388,14.846,,,,
1983,2.11,2.91,37.93,19.989,26.036,,,,
1984,2.91,3.13,7.42,21.751,30.662,,,,
1985,3.13,3.98,27.27,18.969,22.882,,,,
1986,3.98,4.49,12.86,22.921,17.567,,,,
1987,4.49,5.12,13.92,19.398,18.389,16.344,,,
1988,5.12,5.33,4.17,12.867,16.374,21.484,,,
1989,5.33,6.49,21.6,15.702,18.688,25.472,,,
1990,6.49,7.47,15.13,13.419,16.161,19.643,,,
1991,7.47,9.87,32.14,17.062,19.955,17.398,,,
1992,9.71,11.44,15.95,17.444,18.417,18.073,16.618,,
1993,11.2,11.12,-2.8,15.845,14.346,16.197,20.049,,
1994,11.2,12.0,7.91,13.08,14.384,16.788,22.252,,
1995,12.0,13.2,10.0,12.06,12.738,14.778,17.7,,
1996,13.2,13.6,3.03,6.621,11.72,15.335,14.606,,
1997,13.5,15.25,12.13,5.918,11.532,14.095,14.909,14.395,
1998,15.75,16.0,4.92,7.548,11.619,12.034,13.972,17.438,
1999,15.81,10.19,-36.33,-3.217,4.615,8.187,11.429,16.672,
2000,10.31,8.56,-15.95,-8.298,1.371,5.238,8.515,11.969,
2001,8.88,14.46,68.88,1.234,3.893,8.109,11.636,11.797,
2002,14.51,15.28,5.67,0.039,2.937,7.562,10.406,11.768,11.866
2003,15.3,16.46,7.72,0.568,4.0,7.807,9.05,11.155,14.441
2004,16.44,19.66,19.44,14.046,5.061,7.669,9.623,11.948,16.23
2005,19.8,17.37,-11.65,15.203,2.783,5.787,7.645,9.82,12.502
2006,17.38,20.89,20.26,7.635,4.385,5.126,7.99,10.824,11.093
2007,20.89,20.3,-2.82,5.846,2.902,3.897,7.13,9.478,10.759
2008,20.26,13.29,-34.53,-4.188,-1.839,1.196,4.674,6.264,8.437
2009,13.36,20.33,52.97,0.672,7.151,3.577,5.875,7.771,9.985
2010,20.37,22.1,8.71,4.935,9.949,3.495,5.573,7.098,8.991
2011,22.33,24.55,11.09,3.282,5.436,4.016,4.661,7.032,9.529
2012,25.0,29.36,19.59,7.659,6.749,4.464,4.825,7.236,9.173
2013,30.08,41.51,41.38,25.581,9.691,6.562,6.808,8.557,9.264
2014,41.28,50.71,22.16,20.058,9.939,11.291,7.472,8.571,9.728
2015,50.17,44.06,-13.11,14.797,9.755,11.542,6.212,7.357,8.344
2016,43.36,53.83,22.17,17.002,9.928,9.158,7.121,7.021,8.632
2017,54.28,52.42,-2.62,12.292,9.951,8.565,6.368,6.278,8.062
2018,52.64,58.78,12.13,7.205,16.03,8.856,6.722,6.887,8.33
2019,58.07,76.76,30.59,8.645,14.209,9.506,10.624,7.706,8.583
2020,77.04,90.78,18.26,15.555,15.175,11.655,12.532,8.018,8.682
2021,91.25,101.0,11.26,13.412,15.193,11.077,10.207,8.351,8.06
2022,100.84,97.45,-3.51,13.203,12.746,11.025,9.707,7.701,7.402
2023,98.04,100.34,2.97,11.288,9.228,14.427,9.459,7.62,7.608
