Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,1.52,1.21,,,,,,,
1969,1.25,0.7234,-40.42,,,,,,
1970,0.7419,0.6221,-14.0,,,,,,
1971,0.6198,0.5414,-12.97,,,,,,
1972,0.5391,0.8202,51.5,,,,,,
1973,0.8202,0.4378,-46.62,-18.399,,,,,
1974,0.4378,0.6013,37.35,-3.63,,,,,
1975,0.6013,0.8548,42.16,6.562,,,,,
1976,0.8548,1.43,67.65,21.441,,,,,
1977,1.43,1.32,-7.72,9.984,,,,,
1978,1.32,1.43,8.36,26.71,1.685,,,,
1979,1.43,1.59,10.61,21.468,8.194,,,,
1980,1.59,2.25,41.86,21.357,13.719,,,,
1981,2.25,1.54,-31.56,1.493,11.02,,,,
1982,1.54,2.09,35.63,9.626,9.805,,,,
1983,2.09,2.67,28.03,13.301,19.818,5.418,,,
1984,2.67,2.67,,10.923,16.076,9.096,,,
1985,2.67,3.23,20.69,7.499,14.218,11.606,,,
1986,3.23,3.39,5.14,17.094,9.015,13.009,,,
1987,3.39,2.5,-26.36,3.647,6.595,7.713,,,
1988,2.51,3.03,21.4,2.562,7.798,13.766,4.697,,
1989,3.03,4.0,31.92,8.42,9.665,13.466,8.927,,
1990,4.0,3.53,-11.75,1.792,4.607,9.916,9.068,,
1991,3.53,4.0,13.32,3.365,10.016,7.098,10.516,,
1992,3.91,3.55,-11.29,7.265,5.441,6.818,7.601,,
1993,3.57,4.57,28.83,8.566,5.521,8.053,12.443,5.459,
1994,4.56,4.64,1.41,3.013,5.682,7.401,10.757,7.717,
1995,4.63,6.99,50.89,14.641,8.026,7.85,11.079,10.16,
1996,6.93,9.77,39.66,19.555,11.165,13.108,10.085,12.268,
1997,9.77,10.74,9.91,24.783,15.693,11.53,11.051,10.837,
1998,10.81,16.04,49.36,28.546,18.134,12.697,12.848,15.493,8.997
1999,16.11,19.17,19.54,32.807,16.965,14.044,13.256,14.853,11.543
2000,19.15,23.19,20.96,27.106,20.713,14.044,12.371,14.114,12.819
2001,22.93,19.06,-17.8,14.3,16.898,12.201,13.404,10.915,12.604
2002,19.08,18.27,-4.16,11.211,17.802,14.179,11.45,11.083,10.899
2003,18.37,27.95,53.0,11.747,19.852,15.966,12.459,12.627,14.86
2004,27.97,30.48,9.05,9.718,20.712,14.498,12.947,12.539,13.981
2005,30.44,32.98,8.2,7.298,16.782,16.064,12.319,11.338,12.948
2006,33.3,36.88,11.82,14.113,14.206,15.962,12.676,13.546,11.442
2007,36.92,45.14,22.42,19.83,15.44,18.474,15.566,13.078,12.495
2008,45.2,31.61,-29.97,2.492,7.019,13.761,12.44,10.391,10.871
2009,31.53,40.94,29.5,6.078,7.883,15.622,12.332,11.539,11.436
2010,41.41,46.43,13.41,7.08,7.189,13.454,13.75,11.251,10.617
2011,46.71,43.11,-7.15,3.171,8.504,10.402,12.623,10.707,11.747
2012,44.18,48.37,12.2,1.392,10.226,10.553,13.951,12.581,11.04
2013,49.21,67.12,38.76,16.253,9.156,10.013,14.379,13.192,11.347
2014,66.59,67.83,1.05,10.625,8.328,8.789,14.352,11.989,11.386
2015,67.91,56.66,-16.46,4.063,5.561,6.137,11.03,11.743,10.019
2016,55.71,64.66,14.1,8.446,5.775,8.484,9.91,11.775,10.327
2017,65.11,75.24,16.37,9.238,5.242,9.896,10.223,12.992,12.017
2018,75.44,62.8,-16.53,-1.322,7.106,5.545,7.063,11.051,10.633
2019,62.02,88.33,40.65,5.423,7.993,7.351,7.938,12.508,10.867
2020,88.32,71.51,-19.04,4.765,4.414,5.295,5.792,9.748,10.549
2021,71.38,86.06,20.35,5.885,7.157,5.812,7.829,9.093,10.771
2022,86.08,100.92,17.27,6.049,7.632,5.51,8.921,9.375,11.804
2023,100.99,86.28,-14.51,6.559,2.543,6.923,5.798,6.962,10.289
