Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,0.7052,1.32,,,,,,,
1969,1.28,0.8375,-36.46,,,,,,
1970,0.8362,0.8737,4.32,,,,,,
1971,0.8812,1.55,76.86,,,,,,
1972,1.54,2.71,75.45,,,,,,
1973,2.74,3.95,45.72,24.51,,,,,
1974,3.95,3.23,-18.2,30.992,,,,,
1975,3.25,3.41,5.68,31.304,,,,,
1976,3.42,4.33,26.81,22.809,,,,,
1977,4.33,4.9,13.23,12.576,,,,,
1978,4.9,6.39,30.24,10.098,17.083,,,,
1979,6.39,9.48,48.42,24.028,27.462,,,,
1980,9.43,17.74,87.2,39.072,35.132,,,,
1981,17.74,12.71,-28.37,24.031,23.419,,,,
1982,12.71,10.61,-16.55,16.709,14.624,,,,
1983,10.61,11.37,7.24,12.215,11.152,15.437,,,
1984,11.37,8.67,-23.75,-1.77,10.378,16.861,,,
1985,8.67,8.3,-4.26,-14.094,9.303,16.193,,,
1986,8.3,7.22,-13.01,-10.694,5.246,10.802,,,
1987,7.28,6.54,-9.45,-9.224,2.929,6.049,,,
1988,6.54,7.42,13.48,-8.182,1.506,4.293,9.016,,
1989,7.42,11.17,50.58,5.198,1.654,8.623,13.829,,
1990,11.17,13.16,17.81,9.657,-2.942,9.421,14.524,,
1991,13.11,14.19,7.78,14.469,1.108,8.235,11.708,,
1992,14.19,13.02,-8.22,14.764,2.068,6.732,8.164,,
1993,12.99,13.45,3.28,12.632,1.694,5.087,6.318,9.73,
1994,13.59,11.46,-14.8,0.514,2.829,1.273,6.537,11.032,
1995,11.54,15.75,37.47,3.659,6.615,-0.79,7.951,12.263,
1996,15.67,22.72,44.22,9.872,12.147,3.948,8.642,11.338,
1997,22.83,36.62,61.2,22.976,18.799,8.609,10.58,10.976,
1998,36.74,21.1,-42.39,9.424,11.017,4.208,6.155,6.932,9.679
1999,21.21,28.06,33.01,19.614,9.649,8.145,5.576,9.032,12.418
2000,27.81,39.97,42.43,20.473,11.75,11.048,4.145,10.347,13.591
2001,40.09,27.48,-31.26,3.878,6.833,9.32,3.931,7.672,10.058
2002,27.48,21.05,-23.4,-10.483,4.921,8.105,3.485,6.004,7.072
2003,21.15,27.36,30.01,5.334,7.359,9.089,4.488,5.99,6.664
2004,27.36,33.48,22.35,3.595,11.317,7.593,6.989,5.177,8.107
2005,33.4,48.58,45.11,3.979,11.923,9.097,9.237,4.112,9.259
2006,49.42,63.16,30.03,18.11,10.765,10.467,11.454,6.623,9.345
2007,63.01,98.37,55.75,36.12,10.386,14.433,14.515,9.317,10.515
2008,99.44,42.33,-56.97,9.121,7.21,7.943,9.097,5.399,6.505
2009,42.75,65.09,53.77,14.221,8.778,12.276,9.213,8.398,6.633
2010,66.39,83.5,28.28,11.441,7.645,11.762,9.679,9.674,5.299
2011,84.0,68.31,-18.19,1.58,9.533,7.615,8.175,9.405,5.766
2012,70.4,69.3,1.45,-6.766,12.654,4.344,8.719,9.902,6.455
2013,70.8,90.11,30.03,16.312,12.659,10.162,9.977,10.503,7.144
2014,89.48,85.41,-5.22,5.584,9.818,7.703,10.565,8.477,7.924
2015,84.81,69.75,-18.34,-3.535,3.683,3.782,7.724,6.898,7.353
2016,69.45,83.95,20.36,4.209,2.886,7.729,6.753,7.37,8.522
2017,84.86,67.39,-19.73,-0.557,-3.712,8.066,3.096,6.797,8.085
2018,68.07,36.08,-46.46,-16.728,-1.585,1.861,2.719,4.026,5.413
2019,35.49,40.2,11.42,-13.991,-4.705,1.227,1.814,5.148,4.361
2020,40.52,21.83,-45.7,-20.731,-12.555,-5.193,-2.979,1.314,1.701
2021,22.08,29.95,37.2,-18.628,-7.914,-4.853,0.431,1.111,2.521
2022,30.07,53.46,78.5,-4.526,-2.562,-3.984,4.77,1.525,4.821
2023,52.86,60.12,12.46,10.752,-3.966,2.367,4.015,4.277,5.118
