Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,6.0,8.88,,,,,,,
1973,8.88,7.83,-11.74,,,,,,
1974,7.88,3.5,-55.32,,,,,,
1975,3.46,5.33,52.38,,,,,,
1976,5.33,5.63,5.47,,,,,,
1977,5.63,4.54,-19.26,-12.556,,,,,
1978,4.5,6.08,33.95,-4.933,,,,,
1979,6.08,8.96,47.26,20.684,,,,,
1980,8.96,6.63,-26.05,4.462,,,,,
1981,6.63,7.04,6.29,4.571,,,,,
1982,7.08,9.0,27.81,14.667,0.134,,,,
1983,9.0,10.25,13.89,11.01,2.73,,,,
1984,10.25,11.58,13.01,5.264,12.71,,,,
1985,11.58,13.96,20.5,16.058,10.107,,,,
1986,13.96,17.08,22.39,19.394,11.737,,,,
1987,17.08,23.17,35.61,20.819,17.703,6.603,,,
1988,23.17,23.33,0.7191,17.879,14.393,7.55,,,
1989,23.25,21.67,-7.14,13.352,9.233,12.924,,,
1990,21.67,21.17,-2.31,8.684,12.311,9.631,,,
1991,21.17,21.58,1.97,4.788,11.853,9.371,,,
1992,21.75,20.92,-3.09,-2.022,8.801,10.722,4.378,,
1993,21.0,25.25,20.72,1.594,9.434,9.957,6.029,,
1994,25.17,22.17,-12.21,0.457,6.71,6.226,9.669,,
1995,22.17,30.17,36.09,7.342,8.011,10.629,9.054,,
1996,30.08,35.63,18.09,10.549,7.63,11.417,9.664,,
1997,35.88,43.63,22.46,15.836,6.533,11.097,11.979,6.575,
1998,43.63,34.81,-20.2,6.632,4.083,8.492,9.116,6.149,
1999,34.56,26.56,-23.7,3.679,2.056,5.69,5.583,8.444,
2000,26.75,27.88,4.94,-1.566,2.791,4.719,7.446,6.842,
2001,27.5,33.66,20.75,-1.131,4.546,4.627,8.138,7.415,
2002,33.6,28.11,-16.49,-8.417,2.998,1.297,5.86,7.565,3.916
2003,28.15,32.24,14.69,-1.522,2.474,2.18,5.897,6.9,4.831
2004,32.28,34.36,6.58,5.285,4.479,3.121,5.589,5.524,7.911
2005,34.38,37.56,9.31,6.142,2.215,3.896,5.073,7.184,6.725
2006,37.56,47.64,26.84,7.194,2.947,5.421,5.263,7.948,7.378
2007,47.81,48.24,1.26,11.406,1.009,5.728,3.735,6.947,8.196
2008,48.08,39.38,-18.37,4.082,1.241,3.007,2.652,5.531,6.426
2009,39.0,42.26,7.31,4.226,4.754,4.394,3.396,5.315,5.306
2010,42.74,56.58,33.89,8.539,7.334,4.281,5.038,5.757,7.408
2011,57.12,50.62,-10.53,1.221,4.165,2.369,4.355,4.442,6.797
2012,51.74,78.99,56.05,10.365,10.885,4.037,6.869,5.028,7.509
2013,80.72,109.52,38.65,22.7,13.008,7.941,7.612,6.381,8.216
2014,109.28,136.74,24.85,26.472,14.811,11.544,9.523,7.647,8.577
2015,136.85,171.43,25.37,24.82,16.395,12.872,9.075,8.726,8.719
2016,168.79,171.27,-0.0933,27.606,13.65,11.456,8.167,8.639,7.987
2017,171.78,174.3,1.77,17.151,13.707,12.935,7.171,8.85,6.958
2018,174.58,145.29,-16.64,5.815,13.945,10.558,7.406,7.25,6.286
2019,143.14,169.4,16.59,4.377,14.894,11.222,9.707,8.474,7.095
2020,170.4,171.14,1.03,-0.034,11.704,10.639,9.497,7.189,7.215
2021,171.72,215.38,25.85,4.69,15.581,10.581,9.725,7.462,7.971
2022,216.93,228.49,6.09,5.564,11.206,10.925,11.045,6.847,8.295
2023,230.18,270.52,18.39,13.238,9.464,13.709,11.222,8.547,8.226
