Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,8.56,8.64,,,,,,,
1969,8.64,7.76,-10.13,,,,,,
1970,8.03,7.99,2.94,,,,,,
1971,7.8,6.7,-16.19,,,,,,
1972,6.66,6.13,-8.52,,,,,,
1973,6.2,4.87,-20.5,-10.833,,,,,
1974,4.87,2.63,-46.09,-19.459,,,,,
1975,2.66,4.49,71.02,-10.887,,,,,
1976,4.49,4.99,11.02,-5.723,,,,,
1977,4.99,5.4,8.4,-2.504,,,,,
1978,5.4,4.07,-24.65,-3.525,-7.251,,,,
1979,4.07,3.5,-14.02,5.882,-7.653,,,,
1980,3.5,3.73,6.52,-3.641,-7.335,,,,
1981,3.73,3.65,-2.04,-6.063,-5.893,,,,
1982,3.65,4.76,30.21,-2.491,-2.498,,,,
1983,4.76,4.99,4.8,4.16,0.244,-3.594,,,
1984,4.99,5.75,15.27,10.438,8.136,-1.979,,,
1985,5.75,6.78,17.88,12.695,4.207,-1.089,,,
1986,6.74,7.73,14.05,16.192,4.474,0.958,,,
1987,7.73,6.81,-11.82,7.426,2.347,0.704,,,
1988,6.85,6.81,,6.417,5.282,2.26,-1.183,,
1989,6.78,8.87,30.17,9.056,9.745,8.442,0.671,,
1990,8.87,8.49,-4.29,4.601,8.573,4.338,0.304,,
1991,8.49,10.47,23.32,6.256,11.113,5.065,2.257,,
1992,10.39,11.72,12.0,11.47,9.429,5.302,3.294,,
1993,11.76,13.44,14.61,14.565,10.415,8.29,5.207,1.783,
1994,13.44,12.18,-9.35,6.548,7.795,8.669,7.965,1.82,
1995,12.18,15.0,23.12,12.056,8.265,9.722,6.217,2.551,
1996,14.92,13.78,-8.12,5.648,5.951,9.261,5.21,2.926,
1997,13.85,15.76,14.37,6.103,8.753,8.309,5.501,3.849,
1998,15.83,17.7,12.32,5.661,10.023,8.807,7.626,5.297,2.419
1999,17.74,14.31,-19.14,3.276,4.899,6.267,7.295,7.011,2.061
2000,14.05,20.25,41.49,6.186,9.082,7.567,8.827,6.21,3.148
2001,19.94,25.35,25.19,12.965,9.245,8.24,10.175,6.717,4.535
2002,25.27,28.39,11.99,12.492,9.251,9.985,9.34,6.864,5.242
2003,28.54,30.25,6.55,11.314,8.451,10.452,9.429,8.354,6.277
2004,30.24,33.52,10.81,18.559,10.654,9.268,9.215,9.458,8.854
2005,33.21,34.53,3.01,11.264,8.695,9.804,8.48,9.31,7.036
2006,34.76,36.86,6.75,7.774,10.339,8.753,8.123,9.691,6.893
2007,36.8,38.75,5.13,6.42,9.414,8.299,9.083,8.749,6.79
2008,38.75,37.0,-4.52,4.111,7.652,6.984,8.831,8.344,7.635
2009,37.0,33.32,-9.95,-0.12,8.819,6.939,6.841,7.281,7.801
2010,33.43,38.23,14.74,2.057,6.561,6.436,7.814,7.164,8.066
2011,38.37,46.29,21.08,4.661,6.206,8.413,7.715,7.422,8.836
2012,45.87,42.81,-7.52,2.013,4.193,6.889,6.692,7.631,7.596
2013,43.34,41.11,-3.97,2.129,3.115,5.779,5.749,7.456,7.282
2014,41.13,49.11,19.46,8.067,3.893,8.568,7.22,7.085,7.411
2015,49.19,46.79,-4.72,4.124,3.085,5.742,5.853,7.066,6.651
2016,46.42,49.19,5.13,1.223,2.928,4.519,6.569,6.384,6.363
2017,49.15,48.09,-2.24,2.353,2.183,3.576,5.736,5.81,6.733
2018,48.01,43.92,-8.67,1.331,1.729,2.517,4.649,4.851,6.41
2019,43.89,63.7,45.04,5.34,6.695,4.373,7.752,6.841,6.792
2020,63.65,61.43,-3.56,5.596,4.857,3.915,5.706,5.801,6.819
2021,61.38,68.58,11.64,6.872,4.009,4.226,5.102,6.63,6.465
2022,68.5,71.41,4.13,8.228,5.25,4.16,4.72,6.23,6.209
2023,71.43,67.22,-5.87,8.885,5.04,4.061,4.073,5.483,5.512
