Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1970,93.46,92.15,,,,,,,
1971,91.15,102.09,10.79,,,,,,
1972,101.67,118.05,15.63,,,,,,
1973,119.1,97.55,-17.37,,,,,,
1974,97.68,68.56,-29.72,,,,,,
1975,70.23,90.19,31.55,-0.429,,,,,
1976,90.9,107.46,19.15,1.031,,,,,
1977,107.0,95.1,-11.5,-4.231,,,,,
1978,93.82,96.11,1.06,-0.297,,,,,
1979,96.73,107.94,12.31,9.502,,,,,
1980,106.5,135.76,25.77,8.523,3.951,,,,
1981,136.01,122.55,-9.73,2.663,1.843,,,,
1982,122.64,140.64,14.76,8.14,1.766,,,,
1983,140.65,164.93,17.27,11.405,5.392,,,,
1984,164.93,167.24,1.4,9.152,9.327,,,,
1985,167.2,211.28,26.33,9.249,8.885,5.688,,,
1986,211.28,242.17,14.62,14.594,8.464,5.928,,,
1987,242.17,247.08,2.03,11.93,10.018,5.047,,,
1988,247.08,277.72,12.4,10.984,11.195,7.224,,,
1989,277.72,353.4,27.25,16.141,12.592,11.553,,,
1990,353.4,330.22,-6.56,9.342,9.296,9.038,6.59,,
1991,330.22,417.09,26.31,11.486,13.029,9.463,7.291,,
1992,417.09,435.71,4.46,12.014,11.972,10.68,6.747,,
1993,435.7,466.45,7.06,10.928,10.956,11.106,8.138,,
1994,466.51,459.27,-1.54,5.381,10.63,10.135,9.976,,
1995,459.21,615.93,34.11,13.278,11.293,10.607,10.083,7.895,
1996,615.93,740.74,20.26,12.173,11.829,12.743,10.134,8.25,
1997,740.74,970.43,31.01,17.369,14.66,13.743,12.315,8.792,
1998,970.43,1229.23,26.67,21.385,16.039,14.329,13.591,10.667,
1999,1229.23,1469.25,19.53,26.184,15.314,15.589,13.945,13.042,
2000,1469.25,1320.28,-10.14,16.473,14.865,12.994,12.046,11.332,9.28
2001,1320.28,1148.08,-13.04,9.159,10.656,10.932,11.836,9.938,8.401
2002,1148.08,879.82,-23.37,-1.941,7.28,8.835,9.601,9.307,6.925
2003,879.82,1111.92,26.38,-1.986,9.075,9.689,10.012,10.289,8.45
2004,1114.05,1211.92,8.99,-3.778,10.19,8.563,10.41,10.157,10.047
2005,1215.81,1248.29,3.0,-1.115,7.319,9.27,9.288,9.28,9.154
2006,1255.45,1418.3,13.62,4.318,6.711,8.502,9.24,10.291,8.981
2007,1419.36,1468.36,3.53,10.787,4.229,8.437,9.32,9.837,9.552
2008,1468.3,903.25,-38.49,-4.072,-3.034,4.504,6.074,7.039,7.754
2009,904.61,1115.1,23.45,-1.651,-2.72,6.092,5.914,7.884,8.095
2010,1116.56,1257.64,12.78,0.149,-0.485,4.874,6.915,7.396,7.703
2011,1257.62,1257.6,-0.0032,-2.376,0.915,3.592,5.673,6.811,8.071
2012,1258.86,1426.19,13.41,-0.581,4.949,2.6,6.108,7.264,8.028
2013,1426.19,1848.36,29.6,15.397,5.213,2.757,7.127,7.877,8.388
2014,1845.86,2058.9,11.39,13.048,5.443,2.275,7.79,7.304,8.728
2015,2058.9,2043.94,-0.7266,10.2,5.055,2.956,6.181,7.564,7.858
2016,2038.2,2238.83,9.54,12.227,4.671,4.553,5.686,6.953,7.695
2017,2251.57,2673.61,19.42,13.392,6.176,7.691,5.198,7.527,8.262
2018,2683.73,2506.85,-6.24,6.284,10.747,5.569,3.627,6.958,7.61
2019,2476.96,3230.78,28.88,9.43,11.224,6.755,4.018,8.116,7.655
2020,3244.67,3756.07,16.26,12.941,11.562,7.62,5.367,7.5,8.442
2021,3764.61,4766.18,26.89,16.313,14.252,8.416,7.377,7.731,8.459
2022,4778.14,3839.5,-19.44,7.507,10.41,6.618,7.645,5.656,7.523
2023,3853.29,4515.77,17.61,12.492,9.344,11.326,7.259,5.343,7.861
