Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,2.19,2.88,,,,,,,
1969,2.9,2.39,-16.91,,,,,,
1970,2.38,2.74,14.83,,,,,,
1971,2.72,3.58,30.63,,,,,,
1972,3.56,4.99,39.15,,,,,,
1973,4.99,2.92,-41.5,0.276,,,,,
1974,2.92,1.4,-51.9,-10.144,,,,,
1975,1.42,2.42,72.28,-2.453,,,,,
1976,2.39,3.61,49.42,0.167,,,,,
1977,3.61,3.58,-0.7671,-6.426,,,,,
1978,3.58,3.88,8.14,5.85,3.025,,,,
1979,3.81,6.98,80.11,37.894,11.313,,,,
1980,6.98,5.83,-16.42,19.226,7.843,,,,
1981,5.83,5.83,,10.061,4.997,,,,
1982,5.83,8.17,40.0,17.942,5.054,,,,
1983,8.17,9.08,11.22,18.536,12.013,7.956,,,
1984,9.08,8.63,-5.05,4.335,19.947,8.937,,,
1985,8.63,10.67,23.67,12.849,15.994,9.487,,,
1986,10.67,12.75,19.53,16.941,13.449,8.837,,,
1987,12.88,12.94,1.47,9.633,13.712,6.559,,,
1988,13.13,14.25,10.14,9.432,13.893,11.146,8.323,,
1989,14.25,19.5,36.84,17.708,10.82,19.196,11.066,,
1990,19.5,14.5,-25.64,6.326,9.539,12.677,8.688,,
1991,14.5,20.44,40.95,9.899,13.366,12.253,9.101,,
1992,20.31,21.25,3.98,10.429,10.031,12.607,7.513,,
1993,21.13,22.25,4.71,9.321,9.377,12.348,10.687,8.522,
1994,22.19,17.88,-19.66,-1.72,7.556,6.472,13.583,8.382,
1995,17.94,25.75,44.06,12.171,9.21,10.41,12.551,9.376,
1996,25.63,27.0,4.85,5.725,7.792,10.759,10.584,8.417,
1997,28.0,47.19,74.77,17.3,13.813,12.402,13.762,9.403,
1998,46.94,27.75,-41.19,4.517,6.892,7.732,10.337,9.425,7.844
1999,27.5,30.13,8.56,11.001,4.447,8.692,7.586,13.062,8.814
2000,29.88,31.19,3.53,3.908,7.96,7.413,8.747,10.766,8.445
2001,31.0,46.57,49.32,11.519,8.583,9.02,10.949,10.77,8.928
2002,46.58,34.58,-25.75,-6.029,4.99,6.772,7.481,9.496,6.666
2003,34.73,37.87,9.51,6.416,5.462,6.733,7.402,9.541,8.917
2004,37.9,48.99,29.36,10.21,10.605,6.334,9.07,8.106,12.581
2005,49.0,48.04,-1.94,9.023,6.435,8.313,7.813,8.802,10.474
2006,48.06,50.29,4.68,1.549,6.417,6.186,7.102,9.002,9.177
2007,50.45,48.48,-3.6,6.991,0.27,5.653,6.827,7.383,9.074
2008,48.54,34.1,-29.66,-2.075,2.082,2.887,4.459,5.435,7.514
2009,34.79,51.51,51.06,1.008,5.509,7.309,4.977,7.408,6.889
2010,51.74,66.87,29.82,6.838,7.925,6.569,7.943,7.617,8.472
2011,67.4,67.6,1.09,6.095,3.797,6.31,6.163,6.9,8.512
2012,69.03,73.97,9.42,8.817,7.9,3.042,6.435,7.222,7.62
2013,75.23,80.69,9.08,18.799,7.858,7.375,6.653,7.182,7.553
2014,80.57,96.08,19.07,13.279,6.968,8.038,8.771,6.587,8.365
2015,96.57,106.73,11.08,9.802,8.31,8.547,7.368,8.312,7.979
2016,104.94,114.69,7.46,11.152,8.594,6.193,7.5,7.143,7.597
2017,115.64,169.69,47.96,18.065,13.347,11.187,6.608,8.666,8.958
2018,170.52,119.74,-29.44,8.214,13.383,7.977,7.584,6.964,7.353
2019,117.6,165.74,38.42,11.522,12.397,8.465,8.898,9.316,7.394
2020,167.16,178.56,7.74,10.841,10.32,9.147,9.116,8.054,8.729
2021,169.84,188.62,5.63,10.462,10.806,9.213,7.244,8.086,7.689
2022,189.36,75.12,-60.17,-15.039,0.154,2.963,3.955,1.877,4.299
2023,76.32,94.45,25.73,-4.634,1.587,7.028,4.676,5.021,4.937
