Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1987,2.01,2.0,,,,,,,
1988,2.0,2.11,5.58,,,,,,
1989,2.11,2.2,4.23,,,,,,
1990,2.2,2.36,7.11,,,,,,
1991,2.36,3.35,42.18,,,,,,
1992,3.34,2.64,-21.33,5.71,,,,,
1993,2.64,3.49,32.2,10.588,,,,,
1994,3.51,3.14,-9.94,7.375,,,,,
1995,3.21,3.74,19.22,9.646,,,,,
1996,3.78,6.19,65.37,13.065,,,,,
1997,6.19,8.14,31.5,25.258,15.069,,,,
1998,8.14,12.34,51.64,28.735,19.317,,,,
1999,13.13,22.43,81.71,48.177,26.136,,,,
2000,22.5,14.23,-36.56,30.637,19.682,,,,
2001,14.55,11.87,-16.6,13.907,13.486,,,,
2002,12.14,8.19,-31.03,0.123,11.987,9.854,,,
2003,8.39,14.16,73.04,2.79,15.033,13.532,,,
2004,14.45,18.11,27.86,-4.188,19.151,15.089,,,
2005,18.14,15.01,-17.13,1.073,14.908,13.127,,,
2006,15.24,21.25,41.6,12.352,13.127,13.107,,,
2007,21.71,32.53,53.08,31.765,14.859,18.226,14.964,,
2008,32.41,22.46,-30.95,9.665,6.172,13.215,12.553,,
2009,22.41,27.84,23.94,8.981,2.184,15.66,13.53,,
2010,28.32,22.81,-18.08,8.73,4.832,12.811,12.011,,
2011,22.74,17.19,-24.63,-4.152,3.773,7.046,8.52,,
2012,17.62,13.49,-21.52,-16.142,5.117,3.425,8.498,7.934,
2013,13.77,16.34,21.13,-6.164,1.442,1.889,8.024,8.532,
2014,15.93,14.21,-13.04,-12.585,-2.396,-2.997,7.841,7.747,
2015,14.26,11.06,-22.17,-13.478,-3.008,-1.666,5.571,6.374,
2016,10.82,9.2,-16.82,-11.753,-8.031,-1.684,2.001,4.124,
2017,9.19,9.68,5.22,-6.422,-11.415,1.121,0.87,5.335,5.397
2018,9.82,8.46,-12.6,-12.336,-9.302,-3.376,-1.87,3.605,4.738
2019,8.35,6.97,-17.61,-13.278,-12.932,-6.167,-5.676,3.241,3.919
2020,7.09,4.04,-42.04,-18.243,-15.894,-8.378,-6.101,0.309,1.808
2021,4.13,4.24,4.95,-14.352,-13.062,-10.188,-5.017,-1.502,0.788
2022,4.32,3.57,-15.8,-18.086,-12.448,-13.697,-4.067,-3.243,1.011
2023,3.62,4.1,14.85,-13.487,-12.913,-10.719,-6.009,-4.312,0.538
