Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1970,1.05,0.7969,,,,,,,
1971,0.8125,0.9219,15.69,,,,,,
1972,0.9375,1.09,18.65,,,,,,
1973,1.09,1.2,9.99,,,,,,
1974,1.19,0.375,-68.83,,,,,,
1975,0.375,0.6562,74.99,-3.811,,,,,
1976,0.6562,0.8906,35.72,-0.688,,,,,
1977,0.8906,1.16,29.82,1.253,,,,,
1978,1.16,1.03,-10.81,-3.009,,,,,
1979,1.03,2.22,115.17,42.713,,,,,
1980,2.21,3.02,36.26,35.704,14.251,,,,
1981,3.0,2.19,-27.65,19.716,9.038,,,,
1982,2.19,3.56,62.86,25.141,12.565,,,,
1983,3.55,9.0,152.63,54.27,22.322,,,,
1984,9.0,6.5,-27.78,23.969,33.011,,,,
1985,6.47,5.78,-11.06,13.863,24.305,14.122,,,
1986,5.78,4.09,-29.19,13.307,16.467,10.442,,,
1987,4.13,4.03,-1.53,2.511,13.262,9.108,,,
1988,4.09,2.94,-27.13,-20.05,11.058,6.156,,,
1989,2.94,2.75,-6.38,-15.805,2.164,14.205,,,
1990,2.72,1.75,-36.36,-21.255,-5.31,6.758,4.012,,
1991,1.69,3.97,126.79,-0.594,6.129,10.478,7.574,,
1992,3.91,3.84,-3.15,-0.961,0.76,8.307,6.499,,
1993,3.84,6.94,80.49,18.741,-2.566,13.562,9.171,,
1994,6.88,8.47,22.07,25.231,2.683,9.337,16.867,,
1995,8.38,12.56,48.34,48.317,8.07,9.968,15.904,11.661,
1996,12.19,12.19,-2.99,25.153,11.539,12.125,13.977,10.88,
1997,12.06,16.0,31.28,33.032,14.784,10.538,14.021,11.344,
1998,15.78,21.19,32.42,25.013,21.837,5.875,16.323,12.17,
1999,21.06,66.0,211.5,50.776,37.411,16.71,18.484,22.976,
2000,65.06,37.25,-43.56,24.287,35.772,13.226,13.385,17.534,13.673
2001,37.25,30.14,-19.09,19.847,22.472,14.243,14.008,15.127,12.326
2002,30.4,13.01,-56.83,-4.053,12.978,8.126,6.694,10.152,8.616
2003,13.27,25.45,95.62,3.732,13.876,15.475,5.335,13.688,10.718
2004,25.45,17.07,-32.93,-23.698,7.259,12.943,4.946,8.501,13.573
2005,17.1,14.57,-14.65,-17.117,1.496,15.176,4.731,6.497,10.887
2006,14.5,14.96,2.68,-13.072,2.069,9.247,6.699,7.989,9.861
2007,14.9,10.34,-30.88,-4.49,-4.272,6.827,4.824,4.357,7.564
2008,10.35,4.22,-59.19,-30.189,-14.902,-3.262,1.824,-2.984,4.813
2009,4.22,10.73,154.27,-8.868,-16.612,1.589,7.044,2.025,5.392
2010,10.86,14.04,30.85,-0.738,-9.296,0.745,10.973,3.614,5.256
2011,14.13,13.63,-2.92,-1.845,-7.629,0.747,6.362,4.933,6.284
2012,13.95,16.89,23.92,10.312,2.644,0.362,7.687,5.899,5.327
2013,17.28,17.62,4.32,33.088,-3.61,-1.222,4.769,7.425,2.265
2014,17.44,19.79,12.32,13.024,1.49,-7.716,4.335,8.214,3.781
2015,19.92,20.67,4.45,8.043,3.559,-3.85,2.522,10.38,4.339
2016,20.46,25.4,22.88,13.258,5.436,-1.134,3.739,7.706,6.276
2017,25.51,41.87,64.84,19.91,15.011,8.104,4.927,10.028,8.115
2018,43.71,31.38,-25.05,12.235,22.218,1.406,1.983,6.221,8.212
2019,30.54,68.19,117.3,28.072,20.313,9.673,0.163,8.701,11.296
2020,68.84,119.89,75.82,42.131,23.92,15.086,6.019,9.444,15.131
2021,121.88,163.53,36.4,45.129,28.207,17.286,8.824,10.944,13.195
2022,164.86,87.35,-46.58,15.844,17.859,15.288,9.989,7.025,10.977
2023,88.85,108.46,24.17,28.151,19.93,24.164,7.517,6.749,9.597
