Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,3.14,3.28,,,,,,,
1973,3.28,2.08,-36.56,,,,,,
1974,2.08,1.94,-6.78,,,,,,
1975,1.94,2.96,52.73,,,,,,
1976,2.98,5.86,97.62,,,,,,
1977,5.87,4.26,-27.26,5.368,,,,,
1978,4.28,6.65,56.09,26.169,,,,,
1979,6.61,5.38,-19.1,22.63,,,,,
1980,5.38,5.73,6.57,14.123,,,,,
1981,5.81,7.82,36.37,5.94,,,,,
1982,7.95,8.1,3.59,13.714,9.461,,,,
1983,8.21,11.01,36.0,10.61,18.133,,,,
1984,11.01,8.84,-19.71,10.442,16.376,,,,
1985,8.73,11.55,30.58,15.05,14.585,,,,
1986,11.67,25.36,119.59,26.529,15.778,,,,
1987,25.83,27.26,7.51,27.47,20.396,15.162,,,
1988,28.21,40.5,48.56,29.758,19.802,21.888,,,
1989,40.88,35.25,-12.96,31.869,20.681,21.327,,,
1990,35.0,25.38,-28.01,17.053,16.047,15.402,,,
1991,25.63,23.75,-6.4,-1.303,11.75,9.779,,,
1992,23.88,23.5,-1.05,-2.925,11.239,12.058,10.347,,
1993,23.63,32.0,36.17,-4.602,11.259,11.042,14.645,,
1994,31.75,41.88,30.86,3.507,16.83,14.661,16.603,,
1995,42.0,42.25,0.8955,10.73,13.848,14.247,14.216,,
1996,42.25,57.5,36.09,19.344,8.531,14.226,12.096,,
1997,57.5,57.38,-0.2174,19.547,7.727,13.942,13.885,12.128,
1998,57.0,53.19,-7.3,10.697,2.763,11.072,10.956,13.844,
1999,52.75,97.38,83.08,18.384,10.696,17.346,15.58,16.957,
2000,97.5,62.95,-35.35,8.301,9.509,11.968,12.731,13.008,
2001,62.95,50.96,-19.05,-2.386,7.934,4.762,9.825,9.037,
2002,50.51,53.0,4.0,-1.576,8.473,4.532,9.847,10.61,9.719
2003,53.0,68.75,29.72,5.266,7.947,3.591,9.591,9.794,12.367
2004,69.0,81.87,19.08,-3.41,6.933,5.779,11.772,11.505,13.286
2005,82.1,104.62,27.79,10.694,9.491,9.903,11.648,12.32,12.619
2006,105.8,134.31,28.38,21.388,8.854,12.244,8.692,12.046,11.004
2007,135.25,106.17,-20.95,14.907,6.347,10.576,7.035,10.841,11.315
2008,106.6,65.44,-38.36,-0.982,2.094,4.885,2.428,7.39,7.92
2009,65.25,84.16,28.61,0.553,-1.448,4.763,4.447,9.432,9.6
2010,84.75,78.63,-6.57,-5.552,2.249,4.228,5.817,7.974,9.123
2011,79.02,66.13,-15.9,-13.212,2.64,0.937,5.254,3.908,7.376
2012,67.39,93.25,41.01,-2.562,5.813,3.29,7.134,5.042,8.486
2013,94.78,121.92,30.75,13.252,5.896,5.686,6.917,4.507,8.345
2014,121.6,125.48,2.92,8.316,4.363,1.705,5.64,5.21,9.246
2015,126.23,123.04,-1.94,9.368,1.635,4.569,5.49,6.518,8.205
2016,121.52,117.2,-4.75,12.126,-1.353,5.709,3.625,6.593,5.235
2017,118.17,127.17,8.51,6.401,1.821,6.008,4.059,6.987,5.268
2018,127.43,116.08,-8.72,-0.977,5.899,3.554,3.979,5.289,3.572
2019,114.68,140.54,21.07,2.293,5.261,3.668,1.851,4.962,4.718
2020,142.0,154.57,9.98,4.668,6.993,2.636,4.594,5.325,6.207
2021,155.81,185.3,19.88,9.595,10.853,2.169,6.668,4.792,7.088
2022,186.81,136.58,-26.29,1.438,3.89,1.693,4.847,3.53,6.042
2023,137.96,172.54,26.33,8.25,3.534,6.677,4.708,4.82,5.777
