Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,6.73,6.76,,,,,,,
1973,6.76,4.23,-37.5,,,,,,
1974,4.26,3.42,-19.18,,,,,,
1975,3.47,4.5,31.82,,,,,,
1976,4.45,5.48,21.84,,,,,,
1977,5.48,6.31,15.09,-1.368,,,,,
1978,6.26,7.19,13.93,11.193,,,,,
1979,7.19,10.5,46.04,25.151,,,,,
1980,10.5,9.21,-12.32,15.401,,,,,
1981,9.21,10.04,8.99,12.873,,,,,
1982,9.99,11.28,12.37,12.32,5.253,,,,
1983,11.07,12.94,14.68,12.471,11.83,,,,
1984,12.94,18.01,39.2,11.395,18.073,,,,
1985,18.01,12.73,-29.31,6.688,10.959,,,,
1986,12.73,10.14,-20.33,0.198,6.347,,,,
1987,10.14,9.73,-4.08,-2.913,4.426,2.458,,,
1988,9.83,10.35,6.38,-4.368,3.71,6.147,,,
1989,10.35,12.0,16.0,-7.799,1.344,8.729,,,
1990,12.11,12.21,1.72,-0.831,2.86,6.881,,,
1991,12.21,12.63,3.39,4.49,2.322,5.724,,,
1992,12.63,11.49,-9.02,3.381,0.185,4.077,2.688,,
1993,11.59,12.73,10.81,4.226,-0.163,3.882,5.663,,
1994,12.63,10.14,-20.33,-3.312,-5.583,-0.232,5.585,,
1995,10.14,11.38,12.24,-1.398,-1.115,1.42,4.748,,
1996,11.38,14.49,27.27,2.786,3.634,2.476,4.982,,
1997,14.49,18.52,27.86,10.018,6.648,3.361,5.531,4.114,
1998,18.47,14.75,-20.37,2.989,3.606,0.877,3.658,5.123,
1999,14.81,8.75,-40.68,-2.906,-3.109,-4.699,-0.907,3.829,
2000,8.69,11.5,31.43,0.21,-0.597,-0.675,1.116,3.824,
2001,11.38,12.51,8.78,-2.896,-0.095,1.41,1.106,3.357,
2002,12.46,14.51,15.99,-4.763,2.361,2.7,1.267,3.387,2.579
2003,14.55,21.51,48.24,7.837,5.386,4.998,2.574,4.481,5.571
2004,21.62,24.87,15.62,23.235,9.387,4.978,1.627,3.509,6.837
2005,24.91,31.48,26.58,22.312,10.711,6.518,4.631,5.039,6.699
2006,31.3,34.95,11.02,22.811,9.204,7.021,6.383,5.116,6.371
2007,34.56,40.93,17.11,23.048,8.253,8.838,7.448,5.291,6.431
2008,40.78,27.14,-33.69,4.76,6.287,5.177,4.938,3.007,4.527
2009,27.14,34.37,26.64,6.684,14.661,8.478,5.402,2.619,4.032
2010,34.76,38.04,10.68,3.858,12.708,8.378,5.846,4.476,4.841
2011,38.35,43.67,14.8,4.556,13.316,7.632,6.399,6.015,5.022
2012,44.04,47.32,8.36,2.944,12.548,6.454,7.334,6.531,4.896
2013,47.94,45.66,-3.51,10.965,7.818,7.824,6.595,6.117,4.293
2014,45.63,49.1,7.53,7.394,7.039,12.186,8.206,5.798,3.4
2015,49.06,32.59,-33.63,-3.045,0.347,7.191,5.402,4.005,3.183
2016,32.11,45.15,38.54,0.669,2.594,8.933,5.847,5.228,5.104
2017,45.5,48.64,7.73,0.552,1.741,8.398,4.946,5.942,5.511
2018,48.77,35.7,-26.6,-4.802,2.779,3.435,4.519,4.211,4.214
2019,35.42,53.31,49.33,1.659,4.487,5.214,9.456,6.864,5.096
2020,53.3,40.72,-23.62,4.555,0.683,1.731,6.526,5.232,4.097
2021,41.29,46.54,14.29,0.608,0.639,1.928,6.789,4.778,4.443
2022,46.61,39.86,-14.35,-3.903,-1.701,-0.176,5.183,3.114,4.233
2023,39.69,36.41,-8.66,0.395,-2.238,1.978,2.667,3.681,3.565
