Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1972,4.44,6.33,,,,,,,
1973,6.28,5.53,-12.59,,,,,,
1974,5.53,3.5,-36.72,,,,,,
1975,3.52,3.86,10.27,,,,,,
1976,3.94,4.5,16.6,,,,,,
1977,4.45,3.94,-12.5,-9.047,,,,,
1978,3.86,4.16,5.55,-5.534,,,,,
1979,4.13,5.09,22.56,7.778,,,,,
1980,5.03,4.84,-4.91,4.629,,,,,
1981,4.83,6.11,26.13,6.308,,,,,
1982,6.09,7.64,25.06,14.161,1.899,,,,
1983,7.64,7.56,-1.02,12.69,3.176,,,,
1984,7.56,6.7,-11.36,5.65,6.709,,,,
1985,6.7,9.98,48.95,15.573,9.965,,,,
1986,9.98,10.06,0.7822,10.487,8.377,,,,
1987,10.06,11.5,14.29,8.523,11.306,4.061,,,
1988,11.5,10.88,-5.43,7.553,10.091,4.615,,,
1989,10.88,14.78,35.92,17.144,11.249,10.08,,,
1990,14.78,15.69,6.13,9.471,12.481,9.8,,,
1991,15.69,18.22,16.14,12.613,11.545,9.771,,,
1992,18.19,19.25,5.66,10.853,9.682,11.155,5.719,,
1993,19.31,22.47,16.72,15.61,11.509,11.901,7.262,,
1994,22.44,22.38,-0.4175,8.652,12.818,10.376,9.721,,
1995,22.38,27.81,24.3,12.128,10.792,12.363,10.378,,
1996,27.81,29.31,5.39,9.975,11.286,11.019,9.822,,
1997,29.38,41.03,39.98,16.341,13.564,11.858,12.429,7.763,
1998,41.13,34.81,-15.16,9.149,12.333,10.716,11.207,7.636,
1999,34.75,33.69,-3.23,8.525,8.588,11.368,9.91,9.481,
2000,33.25,54.31,61.22,14.324,13.221,11.957,12.85,11.156,
2001,54.44,43.97,-19.04,8.45,9.21,10.333,10.371,9.546,
2002,44.15,34.05,-22.56,-3.661,5.869,7.505,7.758,9.01,5.769
2003,34.05,39.65,16.45,2.638,5.843,9.004,8.639,9.437,6.787
2004,39.75,37.07,-6.51,1.931,5.176,6.322,8.93,8.266,8.185
2005,37.45,44.67,20.5,-3.833,4.853,7.224,7.782,9.297,8.504
2006,44.85,53.69,20.19,4.075,6.24,7.471,8.734,9.082,8.615
2007,53.69,53.8,0.2049,9.58,2.747,7.092,8.02,8.12,9.105
2008,53.66,45.2,-15.99,2.655,2.646,4.77,7.381,7.415,8.277
2009,45.26,49.86,10.31,6.107,3.998,5.486,6.268,8.36,7.903
2010,50.15,55.71,11.73,4.516,0.255,4.741,6.541,7.12,8.485
2011,56.09,59.17,6.21,1.963,3.014,4.795,6.066,7.345,7.862
2012,60.11,71.82,21.38,5.948,7.749,3.803,6.805,7.602,7.755
2013,73.09,90.54,26.07,14.905,8.607,6.58,7.217,8.845,8.629
2014,90.51,105.85,16.91,16.249,11.062,7.931,8.079,8.193,9.636
2015,106.29,112.86,6.62,15.165,9.712,4.997,7.255,8.212,8.421
2016,110.71,122.42,8.47,15.651,8.592,7.065,7.409,7.918,8.686
2017,123.07,135.64,10.8,13.561,9.688,9.652,6.161,8.123,8.573
2018,136.3,119.75,-11.71,5.752,10.234,7.647,6.372,6.922,8.323
2019,117.49,136.95,14.36,5.287,10.632,9.103,7.264,7.515,7.703
2020,137.52,140.37,2.5,4.459,9.682,7.932,4.862,6.69,7.578
2021,140.63,156.43,11.44,5.025,10.21,7.389,6.551,6.928,7.43
2022,156.92,187.49,19.86,6.689,10.071,8.679,8.904,6.266,7.883
2023,186.71,162.3,-13.44,6.269,6.01,8.896,7.301,6.352,6.813
