Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1969,0.9666,0.9534,,,,,,,
1970,0.9876,0.9823,3.03,,,,,,
1971,0.9955,1.29,31.02,,,,,,
1972,1.29,1.45,12.66,,,,,,
1973,1.45,1.94,33.87,,,,,,
1974,1.94,1.44,-25.57,8.597,,,,,
1975,1.44,1.63,12.91,10.659,,,,,
1976,1.63,2.15,32.05,10.757,,,,,
1977,2.15,2.05,-4.63,7.171,,,,,
1978,2.05,2.16,5.37,2.172,,,,,
1979,2.16,3.04,40.29,16.119,12.295,,,,
1980,3.04,6.62,117.99,32.353,21.021,,,,
1981,6.62,4.37,-33.97,15.241,12.977,,,,
1982,4.35,3.95,-9.62,14.017,10.541,,,,
1983,3.95,4.27,7.98,14.603,8.209,,,,
1984,4.27,3.44,-19.46,2.503,9.099,8.931,,,
1985,3.44,4.53,31.81,-7.307,10.762,10.728,,,
1986,4.53,5.23,15.54,3.658,9.297,9.781,,,
1987,5.23,4.54,-13.25,2.823,8.276,7.906,,,
1988,4.54,5.4,18.98,4.808,9.596,7.063,,,
1989,5.4,6.44,19.26,13.361,7.796,10.502,10.022,,
1990,6.44,5.94,-7.83,5.569,-1.078,9.003,9.415,,
1991,5.92,8.7,46.55,10.714,7.128,9.767,10.014,,
1992,8.57,9.83,13.04,16.708,9.546,11.016,10.042,,
1993,9.88,10.53,7.05,14.29,9.446,11.139,8.826,,
1994,10.49,7.63,-27.55,3.449,8.292,6.327,8.695,8.675,
1995,7.69,11.09,45.46,13.3,9.366,3.499,10.062,10.181,
1996,11.2,15.03,35.48,11.555,11.134,8.584,10.211,10.32,
1997,15.06,15.66,4.16,9.761,13.181,9.617,10.701,9.986,
1998,15.59,11.27,-28.04,1.368,7.635,6.684,8.611,7.291,
1999,11.33,10.92,-3.05,7.433,5.423,8.005,6.603,8.441,8.467
2000,11.03,12.69,16.17,2.732,7.887,7.109,3.307,8.555,8.903
2001,12.69,14.25,12.32,-1.06,5.058,6.911,6.088,7.859,8.336
2002,14.19,14.97,5.04,-0.897,4.296,8.279,6.889,8.278,8.092
2003,15.03,17.37,16.05,9.037,5.133,8.1,7.268,8.696,7.58
2004,17.34,16.81,-3.21,9.011,8.219,6.605,8.256,7.08,8.536
2005,16.8,20.13,19.72,9.667,6.143,8.477,7.743,4.549,8.74
2006,20.13,23.0,14.3,10.048,4.346,6.696,7.687,6.869,8.221
2007,23.12,31.41,36.51,15.976,7.208,8.052,10.154,8.647,9.524
2008,31.45,23.9,-23.9,6.591,7.807,5.616,7.721,7.132,8.342
2009,23.96,31.95,33.68,13.705,11.333,10.018,8.338,9.324,8.157
2010,32.29,46.33,45.01,18.142,13.826,10.001,10.816,9.746,6.701
2011,46.91,52.97,14.33,18.157,14.031,8.761,9.452,9.704,8.672
2012,54.04,62.86,18.67,14.884,15.429,9.708,9.721,11.084,9.663
2013,64.12,84.0,33.63,28.581,17.071,14.329,10.941,11.603,10.441
2014,84.2,119.13,41.82,30.11,21.631,17.27,14.729,12.379,12.542
2015,119.93,78.2,-34.36,11.037,14.534,12.888,10.259,10.86,9.961
2016,76.87,103.68,32.58,14.375,16.251,14.145,10.138,10.42,10.469
2017,104.48,134.1,29.34,16.362,15.621,15.739,11.335,11.018,11.947
2018,134.71,138.23,3.08,10.475,19.185,14.83,13.353,10.848,11.414
2019,135.65,180.79,30.79,8.7,18.924,17.158,15.066,13.497,11.757
2020,180.95,208.22,15.17,21.636,16.216,16.854,15.015,12.446,12.588
2021,208.04,251.93,20.99,19.431,16.876,17.301,15.445,11.937,11.873
2022,253.25,207.07,-17.81,9.078,12.661,13.397,14.037,10.88,10.693
2023,207.29,221.03,6.74,9.842,10.158,15.985,13.562,12.642,10.68
