Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1980,1.71,6.04,,,,,,,
1981,6.04,3.55,-41.16,,,,,,
1982,3.67,3.77,6.01,,,,,,
1983,3.73,3.24,-13.92,,,,,,
1984,3.24,0.9709,-70.06,,,,,,
1985,0.9709,2.14,120.01,-18.74,,,,,
1986,2.14,1.07,-50.0,-21.326,,,,,
1987,1.07,0.7767,-27.28,-27.091,,,,,
1988,0.7767,1.38,77.51,-15.692,,,,,
1989,1.38,2.35,70.43,19.338,,,,,
1990,2.35,2.39,1.65,2.234,-8.854,,,,
1991,2.39,4.62,93.49,33.984,2.669,,,,
1992,4.62,3.55,-23.11,35.517,-0.599,,,,
1993,3.55,3.28,-7.65,18.905,0.123,,,,
1994,3.26,2.62,-20.12,2.199,10.437,,,,
1995,2.64,3.81,45.19,9.775,5.938,-3.025,,,
1996,3.79,4.45,16.84,-0.747,15.318,1.518,,,
1997,4.45,7.18,61.45,15.128,24.907,4.388,,,
1998,7.22,4.85,-32.41,8.137,13.393,2.726,,,
1999,4.91,4.54,-6.47,11.622,6.807,10.83,,,
2000,4.54,8.49,87.11,17.381,13.514,9.622,1.717,,
2001,8.49,8.71,2.51,14.375,6.546,15.003,4.59,,
2002,8.85,8.44,-3.1,3.287,9.046,17.239,4.112,,
2003,8.46,10.58,25.45,16.882,12.425,14.544,6.096,,
2004,10.62,20.74,95.94,35.504,22.985,15.624,16.542,,
2005,20.68,47.14,127.31,40.895,28.602,21.992,16.721,8.566,
2006,48.0,46.73,-0.8527,39.932,26.51,16.68,20.784,10.86,
2007,46.49,63.97,36.88,49.943,24.447,21.26,24.677,11.992,
2008,64.1,19.77,-69.1,13.319,15.087,12.722,14.237,7.502,
2009,19.81,15.3,-22.6,-5.903,12.918,12.484,9.82,11.661,
2010,15.76,21.12,38.03,-14.835,9.541,12.095,11.51,9.59,4.261
2011,21.45,19.23,-8.95,-16.271,8.242,10.249,7.391,12.249,5.793
2012,19.5,31.17,62.09,-13.393,13.957,10.283,11.474,15.915,7.295
2013,31.95,50.4,61.71,20.583,16.895,16.891,14.638,15.479,9.58
2014,50.14,49.5,-1.79,26.469,9.089,17.265,15.828,12.964,14.002
2015,49.55,70.71,42.85,27.338,4.138,15.179,15.725,14.51,12.366
2016,70.38,68.32,-3.38,28.859,3.871,14.719,14.633,11.377,14.861
2017,69.55,91.91,34.53,24.144,3.69,17.256,13.596,13.9,17.248
2018,92.19,74.97,-18.43,8.266,14.258,13.945,14.672,13.334,14.244
2019,73.82,93.65,24.92,13.601,19.862,10.572,16.338,15.379,13.07
2020,94.63,56.57,-39.59,-4.364,10.354,1.223,9.947,11.395,11.124
2021,57.03,75.11,32.77,1.913,14.597,3.214,11.374,11.968,9.741
2022,75.8,126.86,68.9,6.658,15.069,4.67,14.512,12.173,12.66
2023,125.75,133.58,5.3,12.246,10.238,13.584,13.517,14.183,13.152
