Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1978,6.67,6.67,,,,,,,
1979,6.83,7.33,10.0,,,,,,
1980,7.17,7.67,4.54,,,,,,
1981,7.67,7.67,,,,,,,
1982,7.67,8.92,16.3,,,,,,
1983,8.83,10.67,19.63,9.852,,,,,
1984,10.5,13.0,21.88,12.142,,,,,
1985,13.0,14.63,12.5,13.786,,,,,
1986,14.63,16.5,12.82,16.557,,,,,
1987,16.5,15.0,-9.09,10.955,,,,,
1988,15.0,11.88,-20.83,2.172,5.942,,,,
1989,12.0,14.63,23.16,2.391,7.155,,,,
1990,14.63,13.38,-8.55,-1.77,5.722,,,,
1991,13.38,20.88,56.07,4.821,10.533,,,,
1992,20.63,21.38,2.4,7.345,9.135,,,,
1993,21.38,22.88,7.02,14.006,7.927,8.565,,,
1994,22.63,20.0,-12.57,6.453,4.402,6.921,,,
1995,20.25,18.0,-10.0,6.112,2.095,5.852,,,
1996,18.0,24.5,36.11,3.249,4.032,8.05,,,
1997,24.63,28.13,14.8,5.641,6.49,7.958,,,
1998,28.25,25.88,-8.0,2.495,8.097,6.085,7.014,,
1999,25.81,15.13,-41.55,-5.428,0.337,1.017,3.69,,
2000,15.13,16.25,7.44,-2.025,1.962,0.703,3.825,,
2001,16.25,24.35,49.85,-0.123,1.549,2.628,5.946,,
2002,24.35,27.05,11.09,-0.78,2.38,4.009,5.704,,
2003,27.11,36.0,33.09,6.824,4.637,7.671,6.269,6.976,
2004,35.8,38.15,5.97,20.318,6.671,6.598,5.53,6.821,
2005,38.04,33.9,-11.14,15.843,6.535,6.394,4.291,6.125,
2006,33.9,43.02,26.9,12.056,5.791,4.937,4.908,7.141,
2007,43.0,44.69,3.88,10.563,4.738,5.038,5.61,6.658,
2008,44.68,42.2,-5.57,3.229,5.011,4.165,6.543,5.654,6.342
2009,42.32,44.32,5.02,3.044,11.346,5.448,5.698,5.028,6.182
2010,44.51,47.64,7.49,7.042,11.356,6.704,6.555,4.836,6.277
2011,48.03,54.53,14.46,4.856,8.396,5.479,4.917,4.898,6.757
2012,55.21,61.29,12.4,6.521,8.523,5.329,5.407,5.792,6.635
2013,62.08,53.57,-12.6,4.887,4.055,4.97,4.345,6.21,5.526
2014,53.15,75.67,41.25,11.292,7.089,11.328,6.88,6.794,6.047
2015,76.05,68.03,-10.1,7.386,7.214,10.016,6.874,6.721,5.256
2016,67.77,66.93,-1.62,4.183,4.519,6.973,5.153,4.77,4.778
2017,67.11,63.77,-4.72,0.796,3.619,5.884,4.177,4.468,4.942
2018,63.91,69.41,8.84,5.317,5.102,4.474,5.056,4.539,6.06
2019,68.79,81.78,17.82,1.565,6.317,5.215,8.803,5.795,5.904
2020,82.09,64.62,-20.98,-1.023,3.095,4.395,7.146,5.246,5.389
2021,64.64,85.77,32.73,5.086,4.633,4.707,6.498,5.14,4.822
2022,86.16,65.55,-23.57,0.552,0.674,2.587,4.525,3.442,3.805
2023,66.51,82.64,26.07,3.551,4.43,4.582,4.242,4.754,4.374
