Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,2.31,1.98,,,,,,,
1969,2.0,1.75,-11.81,,,,,,
1970,1.76,2.1,20.09,,,,,,
1971,2.11,2.65,26.4,,,,,,
1972,2.65,3.18,20.0,,,,,,
1973,3.18,4.42,38.97,17.423,,,,,
1974,4.42,4.07,-7.94,18.389,,,,,
1975,4.07,3.2,-21.46,8.789,,,,,
1976,3.21,3.2,,3.844,,,,,
1977,3.2,2.31,-27.81,-6.193,,,,,
1978,2.31,1.87,-18.92,-15.805,-0.57,,,,
1979,1.87,4.0,113.34,-0.346,8.618,,,,
1980,3.96,5.9,47.65,13.016,10.883,,,,
1981,5.9,3.42,-42.06,1.339,2.584,,,,
1982,3.42,2.12,-37.9,-1.702,-3.974,,,,
1983,2.12,3.45,62.5,13.03,-2.447,3.771,,,
1984,3.45,3.71,7.69,-1.494,-0.922,5.137,,,
1985,3.71,3.71,,-8.861,1.49,3.867,,,
1986,3.68,2.9,-21.85,-3.245,-0.98,0.603,,,
1987,2.92,2.92,0.5374,6.613,2.371,-0.567,,,
1988,2.95,3.81,30.48,2.005,7.376,-0.985,3.327,,
1989,3.81,4.82,26.64,5.374,1.882,1.134,5.196,,
1990,4.82,3.23,-33.01,-2.733,-5.847,0.062,2.176,,
1991,3.23,4.79,48.31,10.557,3.426,2.726,3.004,,
1992,4.76,4.9,2.28,10.908,8.739,5.141,2.185,,
1993,4.93,6.09,24.2,9.834,5.847,8.189,1.615,4.597,
1994,6.12,6.27,3.08,5.401,5.388,3.042,2.184,5.237,
1995,6.31,10.96,74.63,27.68,11.441,4.215,6.349,6.833,
1996,10.89,14.05,28.2,24.013,17.092,9.878,7.678,6.9,
1997,14.14,21.35,52.0,34.227,22.012,16.646,11.761,7.914,
1998,21.35,23.36,9.43,30.849,19.882,13.6,13.457,6.886,8.574
1999,23.22,22.9,-2.0,29.573,16.863,12.901,9.116,7.154,8.95
2000,23.22,29.92,30.67,22.245,24.933,14.932,8.456,9.353,9.259
2001,29.82,20.25,-32.32,7.585,15.507,13.833,9.3,7.659,7.014
2002,20.69,2.14,-89.42,-36.875,-7.95,-2.051,0.047,-0.305,-1.312
2003,2.2,7.79,263.71,-19.719,2.492,4.884,4.156,5.874,1.907
2004,7.79,12.92,65.89,-10.816,7.498,6.794,6.437,4.802,3.926
2005,12.89,18.38,42.23,-9.285,5.306,12.29,8.33,4.65,6.0
2006,18.49,20.72,12.73,0.46,3.961,10.256,10.332,7.472,6.424
2007,20.72,28.39,36.98,67.707,2.891,12.425,12.044,10.936,8.722
2008,28.52,11.49,-59.53,8.083,-6.85,4.323,5.674,4.93,6.239
2009,11.53,16.73,45.58,5.304,-3.091,6.762,6.42,6.21,4.885
2010,17.01,19.61,17.27,1.304,-4.137,3.955,9.437,6.887,4.085
2011,19.81,26.2,33.58,4.805,2.61,4.242,8.868,9.203,7.023
2012,27.55,32.74,24.97,2.892,31.361,2.891,9.962,10.151,9.553
2013,33.41,38.57,17.81,27.405,17.347,3.4,9.668,9.702,8.38
2014,38.39,44.94,16.52,21.851,13.276,4.597,10.349,9.341,8.67
2015,44.83,25.7,-42.81,5.558,3.409,-1.008,4.353,8.65,6.664
2016,25.52,31.14,21.17,3.515,4.158,2.91,4.06,7.775,8.234
2017,31.35,30.49,-2.09,-1.414,0.716,19.376,1.798,7.587,8.133
2018,30.67,22.05,-27.68,-10.581,6.735,7.183,-0.288,5.281,6.027
2019,21.8,23.72,7.57,-11.997,3.553,4.133,0.176,5.466,5.455
2020,23.94,20.05,-15.47,-4.844,0.222,0.581,-1.982,2.445,6.275
2021,20.3,26.04,29.88,-3.514,-0.061,1.535,1.265,2.499,5.806
2022,26.13,32.9,26.34,1.533,0.049,0.988,14.641,1.745,6.553
2023,32.71,34.69,5.44,9.486,-1.055,7.645,7.754,1.594,5.971
