Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,2.64,5.7,,,,,,,
1969,5.67,5.4,-5.26,,,,,,
1970,5.4,7.63,41.36,,,,,,
1971,7.67,6.17,-19.21,,,,,,
1972,5.97,7.52,21.89,,,,,,
1973,7.52,10.43,38.8,12.845,,,,,
1974,10.43,7.3,-30.03,6.215,,,,,
1975,7.4,9.9,35.62,5.347,,,,,
1976,9.9,12.4,25.25,14.981,,,,,
1977,12.4,7.3,-41.13,-0.592,,,,,
1978,7.3,6.57,-10.05,-8.829,1.431,,,,
1979,6.57,8.47,28.93,3.018,4.604,,,,
1980,8.47,9.1,7.48,-1.671,1.777,,,,
1981,9.1,7.73,-15.02,-9.019,2.28,,,,
1982,7.73,9.6,24.14,5.631,2.472,,,,
1983,9.6,9.0,-6.25,6.497,-1.464,3.092,,,
1984,9.0,7.77,-13.7,-1.71,0.626,2.455,,,
1985,7.77,8.2,5.58,-2.061,-1.866,0.481,,,
1986,8.2,10.07,22.76,5.431,-2.06,3.32,,,
1987,10.1,10.33,2.65,1.477,3.533,2.139,,,
1988,10.37,10.05,-2.74,2.231,4.342,-0.247,2.876,,
1989,10.0,11.05,9.95,7.297,2.695,2.802,3.645,,
1990,11.05,8.75,-20.81,1.307,-0.391,-0.82,0.687,,
1991,8.75,11.0,25.71,1.782,3.591,-0.795,2.933,,
1992,11.05,14.75,34.09,7.384,4.388,4.801,3.426,,
1993,14.75,17.85,21.02,12.175,7.088,6.89,2.723,4.672,
1994,17.75,15.0,-15.97,6.303,6.799,3.884,3.666,4.171,
1995,15.0,17.3,15.33,14.606,7.751,4.376,2.83,3.329,
1996,17.25,18.95,9.54,11.492,6.527,6.16,2.143,4.591,
1997,18.95,19.63,3.56,5.883,6.631,4.884,5.07,3.913,
1998,19.65,20.32,3.57,2.626,7.294,5.579,5.808,2.704,4.328
1999,20.8,28.73,41.33,13.88,10.027,9.109,6.297,5.633,5.73
2000,28.43,20.3,-29.33,3.25,8.78,6.23,4.093,2.914,3.316
2001,20.2,21.63,6.56,2.681,6.996,5.229,5.28,2.25,4.27
2002,21.8,19.68,-9.01,0.051,2.926,4.391,3.654,4.047,3.259
2003,19.74,25.6,30.05,4.728,3.672,6.432,5.366,5.591,3.038
2004,25.68,26.89,5.03,-1.315,6.011,6.108,6.404,4.729,4.442
2005,26.92,26.54,-1.31,5.507,4.372,7.678,6.048,4.374,3.342
2006,26.64,28.26,6.5,5.493,4.077,6.492,5.295,5.322,2.784
2007,28.4,29.5,4.37,8.432,4.157,4.729,5.387,4.593,4.765
2008,29.38,12.24,-58.49,-13.72,-4.943,-2.484,0.991,1.238,2.096
2009,12.54,17.26,40.93,-8.485,-4.968,0.94,2.255,3.244,2.401
2010,17.56,7.57,-56.12,-22.189,-9.393,-5.361,-0.722,-0.319,-0.612
2011,7.68,18.67,146.57,-7.956,-1.461,-0.099,2.68,2.5,2.983
2012,19.08,27.82,49.01,-1.166,3.522,2.352,3.223,4.042,3.61
2013,28.5,31.57,13.48,20.864,2.118,2.981,2.892,4.685,4.272
2014,31.38,35.89,13.68,15.767,2.929,1.495,4.459,4.825,5.233
2015,35.87,29.98,-16.47,31.688,1.226,2.633,2.787,5.049,4.416
2016,29.51,30.09,0.3669,10.016,0.629,2.225,2.339,4.107,3.716
2017,30.23,35.26,17.18,4.854,1.8,3.964,2.972,3.547,4.177
2018,35.3,21.86,-38.0,-7.087,5.971,-1.047,0.366,0.814,2.624
2019,21.1,30.2,38.15,-3.393,5.754,0.777,0.25,2.839,3.408
2020,30.21,33.53,11.03,2.263,16.047,1.571,2.541,2.682,4.58
2021,33.53,41.18,22.82,6.476,8.232,2.542,3.272,3.153,4.498
2022,41.45,31.0,-24.72,-2.542,1.088,0.331,2.298,1.845,2.507
2023,31.25,32.75,5.65,8.421,0.368,6.781,1.239,1.928,2.044
