Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,7.31,7.5,,,,,,,
1969,7.5,5.72,-23.75,,,,,,
1970,5.75,6.69,16.94,,,,,,
1971,6.69,6.81,1.87,,,,,,
1972,6.84,7.63,11.93,,,,,,
1973,7.63,6.31,-17.21,-3.396,,,,,
1974,6.31,4.0,-36.63,-6.904,,,,,
1975,4.0,6.59,64.84,-0.301,,,,,
1976,6.59,7.38,11.85,1.621,,,,,
1977,7.38,7.06,-4.24,-1.541,,,,,
1978,7.06,5.88,-16.81,-1.402,-2.404,,,,
1979,5.88,5.59,-4.79,6.923,-0.23,,,,
1980,5.59,5.38,-3.91,-3.976,-2.156,,,,
1981,5.38,6.03,12.21,-3.96,-1.209,,,,
1982,6.03,7.5,24.35,1.216,-0.172,,,,
1983,7.5,9.5,26.67,10.07,4.176,1.588,,,
1984,9.44,10.44,9.87,13.307,10.069,4.093,,,
1985,10.44,13.25,26.95,19.753,7.234,4.661,,,
1986,13.25,17.25,30.19,23.394,8.861,6.392,,,
1987,17.31,14.81,-14.13,14.577,7.69,4.521,,,
1988,14.81,16.38,10.55,11.511,10.788,6.566,3.983,,
1989,16.31,19.88,21.37,13.748,13.527,11.282,6.427,,
1990,19.88,17.0,-14.47,5.111,12.193,6.522,4.773,,
1991,17.0,21.5,26.47,4.503,13.557,7.389,5.917,,
1992,21.44,21.63,0.5814,7.87,11.173,7.75,5.348,,
1993,21.69,21.56,-0.289,5.649,8.541,9.048,6.336,4.314,
1994,21.63,22.0,2.03,2.047,7.739,9.564,8.898,5.536,
1995,21.88,24.56,11.65,7.636,6.366,10.653,6.799,5.34,
1996,24.44,22.94,-6.62,1.305,2.892,9.316,5.834,4.978,
1997,22.94,29.13,26.98,6.135,6.999,9.468,7.344,5.505,
1998,29.19,27.75,-4.72,5.178,5.413,7.408,8.067,6.103,4.458
1999,27.69,19.5,-29.73,-2.384,-0.193,4.253,6.446,6.542,4.173
2000,19.63,29.06,49.04,3.422,5.508,5.375,8.799,6.115,5.018
2001,28.56,27.74,-4.55,3.873,2.581,3.218,7.929,5.439,4.793
2002,27.8,11.0,-60.35,-17.698,-6.538,-1.963,1.933,1.79,1.227
2003,11.01,16.98,54.36,-9.357,-2.36,0.24,2.946,4.333,3.355
2004,17.08,18.2,7.18,-1.37,-1.878,-0.587,2.818,4.835,5.18
2005,18.22,18.46,1.43,-8.676,-2.815,0.551,1.672,5.055,3.493
2006,18.52,23.06,24.92,-3.628,0.052,0.468,1.462,5.512,3.871
2007,23.18,22.57,-2.12,15.459,-2.519,0.284,2.129,4.505,3.95
2008,22.51,18.55,-17.81,1.784,-3.948,-0.997,0.624,2.713,3.904
2009,18.59,21.22,14.39,3.118,0.849,-0.24,0.327,2.878,4.547
2010,21.38,23.55,10.98,4.991,-2.08,-0.28,1.643,2.327,5.045
2011,23.67,27.64,17.37,3.69,-0.036,1.25,1.264,1.904,5.206
2012,27.89,26.71,-3.36,3.426,9.277,-0.577,1.06,2.387,4.325
2013,27.03,27.94,4.61,8.537,5.106,0.046,1.305,2.159,3.661
2014,27.91,35.92,28.56,11.101,7.035,4.157,2.482,2.395,4.205
2015,36.02,35.91,-0.0278,8.804,6.88,1.421,1.918,3.036,3.379
2016,35.61,40.7,13.34,8.047,5.846,2.589,2.908,2.586,2.903
2017,40.74,48.11,18.21,12.49,7.862,10.337,2.54,3.249,4.005
2018,48.22,49.27,2.41,12.014,10.261,7.36,2.912,3.361,3.739
2019,49.16,63.49,28.86,12.066,11.582,8.686,6.08,4.331,3.946
2020,63.55,66.67,5.01,13.173,10.967,8.938,4.239,4.075,4.66
2021,66.54,67.7,1.54,10.713,9.372,7.444,4.562,4.424,3.897
2022,67.66,70.11,3.56,7.822,10.131,7.849,9.703,3.576,3.998
2023,69.81,56.51,-19.4,2.78,7.298,7.709,6.196,2.886,3.264
