Year,Open,Close,1YRCAGR,5YRCAGR,10YRCAGR,15YRCAGR,20YRCAGR,25YRCAGR,30YRCAGR
1968,2.16,2.46,,,,,,,
1969,2.46,1.93,-21.46,,,,,,
1970,1.94,2.29,18.83,,,,,,
1971,2.27,2.3,0.5102,,,,,,
1972,2.28,2.73,18.64,,,,,,
1973,2.73,2.94,7.57,3.629,,,,,
1974,2.95,2.02,-31.34,0.916,,,,,
1975,2.03,2.77,37.33,3.879,,,,,
1976,2.78,3.35,20.85,7.811,,,,,
1977,3.35,3.01,-10.26,1.972,,,,,
1978,3.0,3.07,2.08,0.869,2.24,,,,
1979,3.07,3.45,12.21,11.3,5.981,,,,
1980,3.45,5.04,46.26,12.717,8.208,,,,
1981,5.04,3.91,-22.48,3.14,5.45,,,,
1982,3.91,3.72,-4.8,4.327,3.143,,,,
1983,3.72,4.67,25.63,8.752,4.736,4.366,,,
1984,4.66,5.63,20.4,10.29,10.794,7.398,,,
1985,5.61,6.89,22.5,6.453,9.54,7.62,,,
1986,6.89,8.77,27.21,17.534,10.102,9.333,,,
1987,8.84,9.53,8.73,20.701,12.215,8.691,,,
1988,9.69,11.0,15.41,18.69,13.612,9.195,7.776,,
1989,10.91,12.5,13.64,17.295,13.739,12.92,9.791,,
1990,12.5,12.94,3.5,13.434,9.888,10.823,9.045,,
1991,12.94,15.22,17.63,11.656,14.558,10.618,9.909,,
1992,15.06,15.28,0.41,9.902,15.175,11.439,8.993,,
1993,15.31,15.78,3.27,7.484,12.948,11.532,8.765,7.718,
1994,15.81,15.19,-3.76,3.975,10.435,10.386,10.614,8.603,
1995,15.13,20.13,32.51,9.24,11.317,9.672,10.425,9.084,
1996,20.06,24.5,21.74,9.989,10.82,13.014,10.46,9.925,
1997,24.56,30.59,24.87,14.892,12.37,15.081,12.292,10.148,
1998,30.53,36.56,19.51,18.299,12.762,14.704,13.186,10.608,9.413
1999,36.38,40.28,10.17,21.536,12.413,14.018,13.074,12.717,10.658
2000,39.75,43.47,7.91,16.646,12.882,13.066,11.375,11.642,10.309
2001,43.34,39.3,-9.59,9.912,9.951,10.516,12.23,10.35,9.923
2002,39.3,34.94,-11.09,2.695,8.623,9.047,11.851,10.304,8.869
2003,35.0,41.0,17.34,2.319,10.019,9.167,11.474,10.924,9.181
2004,41.02,51.26,25.02,4.939,12.933,9.865,11.677,11.398,11.382
2005,51.02,56.17,9.58,5.26,10.807,10.282,11.062,10.124,10.552
2006,56.42,76.63,36.43,14.288,12.079,11.378,11.447,12.639,10.997
2007,76.26,93.69,22.26,21.808,11.844,12.851,12.106,13.775,12.143
2008,94.15,79.83,-14.79,14.255,8.122,11.413,10.418,12.025,11.472
2009,80.06,68.19,-14.58,5.874,5.405,10.529,8.853,10.491,10.458
2010,68.72,73.12,7.23,5.416,5.338,8.98,9.045,9.909,9.325
2011,73.72,84.76,15.92,2.037,7.989,8.626,8.965,9.498,10.798
2012,85.97,86.55,2.11,-1.573,9.495,7.18,9.058,9.226,11.06
2013,87.79,101.2,16.93,4.858,9.456,7.023,9.737,9.283,10.797
2014,100.6,92.45,-8.65,6.277,6.075,5.695,9.45,8.333,9.777
2015,92.25,77.95,-15.68,1.288,3.331,3.97,7.004,7.447,8.423
2016,77.5,90.26,15.79,1.265,1.651,5.7,6.737,7.38,8.081
2017,90.94,83.64,-7.33,-0.682,-1.128,5.992,5.158,7.036,7.509
2018,83.82,68.19,-18.47,-7.592,-1.564,3.45,3.166,6.029,6.27
2019,67.35,69.78,2.33,-5.471,0.231,2.078,2.786,6.289,5.9
2020,70.24,41.22,-40.93,-11.964,-5.571,-2.042,-0.265,2.908,3.938
2021,41.45,61.19,48.45,-7.48,-3.206,-1.489,2.238,3.729,4.747
2022,61.24,110.3,80.26,5.69,2.454,1.094,5.916,5.264,6.811
2023,109.78,113.52,2.92,10.731,1.155,2.375,5.224,4.636,6.799
