"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1980-12-01T06:00:00.000Z","0.1283","0.1607","0.1127","0.1523","","-32.73","1,344,852,520"
"1981-01-01T06:00:00.000Z","0.1540","0.1540","0.0636","0.0988","-35.13","-67.86","8,196,951,664"
"1982-01-01T06:00:00.000Z","0.0982","0.1557","0.0491","0.1334","35.02","2.29","21,365,028,824"
"1983-01-03T06:00:00.000Z","0.1334","0.2824","0.0770","0.1088","-18.44","-51.18","42,128,729,440"
"1984-01-02T06:00:00.000Z","0.1088","0.1535","0.0971","0.1300","19.49","-13.25","41,761,548,448"
"1985-01-01T06:00:00.000Z","0.1300","0.1390","0.0636","0.0982","-24.46","-57.20","45,499,216,180"
"1986-01-01T06:00:00.000Z","0.0982","0.1959","0.0971","0.1808","84.11","51.38","53,302,039,964"
"1987-01-01T06:00:00.000Z","0.1808","0.5335","0.1791","0.3750","107.41","74.68","59,923,038,760"
"1988-01-01T06:00:00.000Z","0.3772","0.4263","0.3170","0.3594","-4.16","-36.89","41,343,910,220"
"1989-01-02T06:00:00.000Z","0.3594","0.4498","0.2902","0.3147","-12.44","-45.17","46,110,591,564"
"1990-01-01T06:00:00.000Z","0.3147","0.4263","0.2165","0.3839","21.99","-10.75","43,446,466,364"
"1991-01-01T06:00:00.000Z","0.3839","0.6540","0.3594","0.5033","31.10","-1.63","57,501,741,448"
"1992-01-01T06:00:00.000Z","0.4978","0.6250","0.3705","0.5335","6.00","-26.73","40,655,099,376"
"1993-01-01T06:00:00.000Z","0.5312","0.5826","0.1964","0.2612","-51.04","-83.78","56,452,659,268"
"1994-01-03T06:00:00.000Z","0.2634","0.3906","0.2199","0.3482","33.31","0.5729","57,155,593,948"
"1995-01-02T06:00:00.000Z","0.3471","0.4475","0.2824","0.2846","-18.27","-51.00","74,269,043,352"
"1996-01-01T06:00:00.000Z","0.2879","0.3170","0.1429","0.1864","-34.50","-67.24","53,161,703,636"
"1997-01-01T06:00:00.000Z","0.1886","0.2656","0.1138","0.1172","-37.12","-69.86","71,899,132,736"
"1998-01-01T06:00:00.000Z","0.1217","0.3906","0.1205","0.3655","211.86","179.13","115,190,491,644"
"1999-01-01T06:00:00.000Z","0.3761","1.05","0.2857","0.9180","151.16","118.43","137,100,971,112"
"2000-01-03T06:00:00.000Z","0.9364","1.34","0.2433","0.2656","-71.07","-103.80","116,012,176,920"
"2001-01-01T06:00:00.000Z","0.2656","0.4843","0.2578","0.3911","47.25","14.52","94,817,748,116"
"2002-01-01T06:00:00.000Z","0.3937","0.4673","0.2386","0.2559","-34.57","-67.30","77,131,829,744"
"2003-01-01T06:00:00.000Z","0.2564","0.4466","0.2271","0.3816","49.12","16.39","71,369,552,172"
"2004-01-01T06:00:00.000Z","0.3848","1.24","0.3782","1.15","201.36","168.63","122,091,360,644"
"2005-01-03T06:00:00.000Z","1.16","2.69","1.12","2.57","123.26","90.53","183,208,576,600"
"2006-01-02T06:00:00.000Z","2.58","3.33","1.79","3.03","18.01","-14.72","215,894,210,920"
"2007-01-01T06:00:00.000Z","3.08","7.25","2.92","7.07","133.48","100.74","247,181,873,044"
"2008-01-01T06:00:00.000Z","7.12","7.15","2.83","3.05","-56.91","-89.65","286,125,289,000"
"2009-01-01T06:00:00.000Z","3.07","7.64","2.79","7.53","146.90","114.17","143,403,562,608"
"2010-01-01T06:00:00.000Z","7.62","11.67","6.79","11.52","53.07","20.33","151,054,402,532"
"2011-01-03T06:00:00.000Z","11.63","15.24","11.09","14.46","25.56","-7.18","124,070,869,628"
"2012-01-02T06:00:00.000Z","14.62","25.18","14.61","19.01","31.40","-1.33","131,976,439,580"
"2013-01-01T06:00:00.000Z","19.78","20.54","13.75","20.04","5.42","-27.31","102,440,411,776"
"2014-01-01T06:00:00.000Z","19.85","29.94","17.63","27.59","37.72","4.99","63,738,004,080"
"2015-01-01T06:00:00.000Z","27.85","33.63","23.00","26.32","-4.64","-37.37","52,273,685,808"
"2016-01-01T06:00:00.000Z","25.65","29.67","22.37","28.95","10.03","-22.70","38,745,005,920"
"2017-01-02T06:00:00.000Z","28.95","44.30","28.69","42.31","46.11","13.38","27,243,117,880"
"2018-01-01T06:00:00.000Z","42.54","58.37","36.65","39.44","-6.79","-39.52","34,157,535,432"
"2019-01-02T06:00:00.000Z","38.72","73.49","35.50","73.41","86.16","53.43","28,350,964,448"
"2020-01-02T06:00:00.000Z","74.06","138.79","53.15","132.69","80.75","48.01","39,878,214,962"
"2021-01-04T06:00:00.000Z","133.52","182.13","116.21","177.57","33.82","1.09","22,816,340,901"
"2022-01-03T06:00:00.000Z","177.83","182.94","125.87","129.93","-26.83","-59.56","22,069,178,302"
"2023-01-03T06:00:00.000Z","130.28","198.23","124.17","189.46","45.82","13.08","10,180,365,283"
