"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1986-08-01T05:00:00.000Z","0.2109","0.4141","0.2070","0.3984","","-31.49","155,686,400"
"1987-01-01T06:00:00.000Z","0.4062","1.75","0.4062","0.9219","131.40","99.91","1,133,980,800"
"1988-01-01T06:00:00.000Z","0.9219","1.59","0.7344","1.53","66.09","34.60","895,323,200"
"1989-01-02T06:00:00.000Z","1.53","1.88","0.8750","1.27","-17.35","-48.84","1,504,152,000"
"1990-01-01T06:00:00.000Z","1.27","3.17","1.06","1.82","43.83","12.33","2,185,728,000"
"1991-01-01T06:00:00.000Z","1.82","4.23","1.67","4.09","124.90","93.40","2,250,627,200"
"1992-01-01T06:00:00.000Z","4.05","4.28","1.58","1.97","-51.91","-83.40","2,744,016,000"
"1993-01-01T06:00:00.000Z","2.00","4.63","1.95","2.78","41.26","9.77","2,754,907,952"
"1994-01-03T06:00:00.000Z","2.78","4.81","2.56","3.72","33.71","2.22","1,894,545,624"
"1995-01-02T06:00:00.000Z","3.75","9.28","3.41","7.75","108.40","76.91","2,858,850,376"
"1996-01-01T06:00:00.000Z","7.75","8.03","3.56","4.67","-39.72","-71.21","3,026,229,624"
"1997-01-01T06:00:00.000Z","4.70","6.64","4.06","5.16","10.37","-21.13","3,014,249,608"
"1998-01-01T06:00:00.000Z","5.11","6.48","2.95","5.84","13.34","-18.16","2,242,037,608"
"1999-01-01T06:00:00.000Z","5.84","19.75","4.71","16.81","187.70","156.20","1,993,778,004"
"2000-01-03T06:00:00.000Z","16.81","43.66","13.36","29.09","73.05","41.55","2,135,792,554"
"2001-01-01T06:00:00.000Z","29.19","30.81","11.10","15.53","-46.64","-78.13","2,376,925,616"
"2002-01-01T06:00:00.000Z","15.57","21.66","8.25","12.40","-20.13","-51.62","1,993,250,092"
"2003-01-01T06:00:00.000Z","12.50","23.19","12.29","19.54","57.57","26.08","1,763,895,642"
"2004-01-01T06:00:00.000Z","19.82","32.24","17.15","31.37","60.54","29.05","1,453,245,678"
"2005-01-03T06:00:00.000Z","31.50","39.34","25.80","36.96","17.82","-13.67","1,611,303,225"
"2006-01-02T06:00:00.000Z","37.31","43.22","25.98","41.12","11.26","-20.24","1,414,465,801"
"2007-01-01T06:00:00.000Z","40.72","48.47","37.20","42.73","3.92","-27.58","1,695,914,081"
"2008-01-01T06:00:00.000Z","42.90","46.44","19.49","21.29","-50.18","-81.67","1,980,499,000"
"2009-01-01T06:00:00.000Z","21.11","38.20","15.70","36.78","72.76","41.26","1,899,415,298"
"2010-01-01T06:00:00.000Z","36.65","37.80","25.45","30.78","-16.31","-47.81","2,309,849,654"
"2011-01-03T06:00:00.000Z","30.83","35.99","22.67","28.27","-8.15","-39.65","1,587,127,415"
"2012-01-02T06:00:00.000Z","28.70","38.25","28.04","37.68","33.29","1.79","1,027,298,823"
"2013-01-01T06:00:00.000Z","37.92","61.09","37.36","59.88","58.91","27.42","906,519,365"
"2014-01-01T06:00:00.000Z","59.06","77.56","57.15","72.70","21.41","-10.08","847,261,506"
"2015-01-01T06:00:00.000Z","72.70","96.42","68.98","93.94","29.22","-2.28","705,457,871"
"2016-01-01T06:00:00.000Z","91.77","111.09","71.27","102.95","9.59","-21.90","712,117,449"
"2017-01-02T06:00:00.000Z","103.43","186.27","102.81","175.24","70.22","38.72","620,167,640"
"2018-01-01T06:00:00.000Z","175.85","277.61","175.26","226.24","29.10","-2.39","825,729,564"
"2019-01-02T06:00:00.000Z","219.91","332.88","215.15","329.81","45.78","14.28","672,773,994"
"2020-01-02T06:00:00.000Z","330.00","536.88","255.13","500.12","51.64","20.14","777,615,928"
"2021-01-04T06:00:00.000Z","500.30","699.54","420.78","567.06","13.38","-18.11","598,059,594"
"2022-01-03T06:00:00.000Z","566.65","575.00","274.73","336.53","-40.65","-72.15","893,370,286"
"2023-01-03T06:00:00.000Z","340.16","569.98","318.60","563.21","67.36","35.86","537,946,774"
