"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.5197","0.6287","0.4547","0.6171","","-13.50","59,074,177"
"1969-01-01T06:00:00.000Z","0.6171","0.6287","0.3956","0.5197","-15.78","-29.28","35,591,798"
"1970-01-01T06:00:00.000Z","0.5197","0.5510","0.2134","0.3016","-41.97","-55.47","59,750,793"
"1971-01-01T06:00:00.000Z","0.3109","0.4478","0.3109","0.3410","13.06","-0.4358","122,370,014"
"1972-01-03T06:00:00.000Z","0.3410","0.4524","0.2970","0.4153","21.79","8.29","88,420,152"
"1973-01-01T06:00:00.000Z","0.4153","0.9373","0.3944","0.7934","91.04","77.54","94,490,098"
"1974-01-01T06:00:00.000Z","0.7934","0.9141","0.5011","0.7350","-7.36","-20.86","52,839,161"
"1975-01-01T06:00:00.000Z","0.7401","1.68","0.6737","1.58","114.57","101.07","144,347,307"
"1976-01-01T06:00:00.000Z","1.58","1.91","1.04","1.29","-17.96","-31.46","151,168,657"
"1977-01-03T06:00:00.000Z","1.29","1.41","0.9340","1.16","-10.53","-24.03","114,487,704"
"1978-01-02T06:00:00.000Z","1.16","1.25","0.8360","0.9454","-18.33","-31.83","162,198,843"
"1979-01-01T06:00:00.000Z","0.9369","2.20","0.9200","2.19","131.55","118.05","204,710,841"
"1980-01-01T06:00:00.000Z","2.19","3.07","1.60","2.63","20.24","6.74","387,618,058"
"1981-01-01T06:00:00.000Z","2.62","2.62","1.51","2.15","-18.33","-31.83","291,621,392"
"1982-01-01T06:00:00.000Z","2.15","2.55","1.37","2.52","17.27","3.77","296,226,087"
"1983-01-03T06:00:00.000Z","2.52","3.11","2.23","2.46","-2.33","-15.83","601,872,241"
"1984-01-02T06:00:00.000Z","2.46","2.89","1.89","2.47","0.4061","-13.09","403,709,968"
"1985-01-01T06:00:00.000Z","2.47","3.66","2.38","3.53","42.75","29.25","446,003,344"
"1986-01-01T06:00:00.000Z","3.53","5.00","3.33","3.93","11.31","-2.19","696,613,221"
"1987-01-01T06:00:00.000Z","3.93","6.23","3.74","4.77","21.43","7.93","756,107,020"
"1988-01-01T06:00:00.000Z","4.77","5.22","4.18","4.92","3.15","-10.35","635,037,884"
"1989-01-02T06:00:00.000Z","4.92","8.72","4.83","8.58","74.47","60.98","525,133,142"
"1990-01-01T06:00:00.000Z","8.58","10.09","6.77","8.87","3.30","-10.20","444,771,563"
"1991-01-01T06:00:00.000Z","8.77","13.61","7.55","13.56","52.88","39.39","450,016,333"
"1992-01-01T06:00:00.000Z","13.10","13.40","9.16","11.39","-16.00","-29.50","396,279,097"
"1993-01-01T06:00:00.000Z","11.44","12.46","9.45","10.27","-9.86","-23.36","360,422,790"
"1994-01-03T06:00:00.000Z","10.32","15.01","10.10","14.66","42.79","29.29","327,555,731"
"1995-01-02T06:00:00.000Z","14.48","14.92","10.66","13.43","-8.36","-21.86","565,519,498"
"1996-01-01T06:00:00.000Z","13.43","18.12","12.22","17.24","28.33","14.83","338,014,861"
"1997-01-01T06:00:00.000Z","17.24","20.26","13.32","17.84","3.51","-9.99","452,193,561"
"1998-01-01T06:00:00.000Z","17.95","19.44","12.80","14.79","-17.09","-30.59","361,293,306"
"1999-01-01T06:00:00.000Z","14.74","14.74","10.37","11.00","-25.66","-39.16","342,344,779"
"2000-01-03T06:00:00.000Z","10.88","14.46","7.80","14.29","29.90","16.40","434,672,502"
"2001-01-01T06:00:00.000Z","14.29","15.80","10.24","14.35","0.4501","-13.05","406,982,723"
"2002-01-01T06:00:00.000Z","14.22","14.85","10.00","12.40","-13.59","-27.09","368,225,199"
"2003-01-01T06:00:00.000Z","12.50","15.24","10.50","15.22","22.74","9.24","395,857,601"
"2004-01-01T06:00:00.000Z","15.23","22.55","14.90","22.31","46.58","33.08","630,762,107"
"2005-01-03T06:00:00.000Z","22.47","25.55","17.50","24.66","10.53","-2.97","777,626,803"
"2006-01-02T06:00:00.000Z","24.75","46.71","24.05","31.96","29.60","16.10","1,312,355,194"
"2007-01-01T06:00:00.000Z","32.28","47.33","30.20","46.43","45.28","31.78","1,700,766,866"
"2008-01-01T06:00:00.000Z","46.38","48.95","13.53","28.83","-37.91","-51.41","1,987,370,748"
"2009-01-01T06:00:00.000Z","28.93","33.00","23.13","31.31","8.60","-4.90","1,510,249,034"
"2010-01-01T06:00:00.000Z","31.48","34.03","24.22","30.08","-3.93","-17.43","1,422,555,775"
"2011-01-03T06:00:00.000Z","30.39","38.02","23.69","28.60","-4.92","-18.42","1,558,401,010"
"2012-01-02T06:00:00.000Z","29.19","33.98","24.38","27.39","-4.23","-17.73","1,212,978,667"
"2013-01-01T06:00:00.000Z","28.14","43.99","27.90","43.40","58.45","44.95","1,059,247,299"
"2014-01-01T06:00:00.000Z","43.22","53.91","37.92","52.00","19.82","6.32","899,932,241"
"2015-01-01T06:00:00.000Z","52.20","53.31","33.84","36.68","-29.46","-42.96","998,237,191"
"2016-01-01T06:00:00.000Z","36.11","47.88","29.86","45.65","24.45","10.96","901,322,389"
"2017-01-02T06:00:00.000Z","45.69","47.44","38.59","40.08","-12.20","-25.70","761,766,852"
"2018-01-01T06:00:00.000Z","40.20","52.06","39.16","40.97","2.22","-11.28","937,998,592"
"2019-01-02T06:00:00.000Z","40.57","47.20","36.45","46.35","13.13","-0.3679","854,463,150"
"2020-01-02T06:00:00.000Z","46.57","52.05","28.92","50.41","8.76","-4.74","759,878,111"
"2021-01-04T06:00:00.000Z","50.40","69.30","49.28","67.59","34.08","20.58","633,907,373"
"2022-01-03T06:00:00.000Z","67.60","98.88","65.64","92.85","37.37","23.87","814,893,163"
"2023-01-03T06:00:00.000Z","92.75","92.85","69.92","79.79","-14.07","-27.57","498,492,912"
