"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1985-06-03T05:00:00.000Z","0.5000","1.03","0.5000","1.03","","-21.72","134,278,496"
"1986-01-01T06:00:00.000Z","1.08","1.68","0.8854","1.60","55.57","33.84","265,300,064"
"1987-01-01T06:00:00.000Z","1.60","4.25","1.50","2.59","61.69","39.97","460,252,088"
"1988-01-01T06:00:00.000Z","2.59","3.91","2.00","3.63","39.76","18.03","368,925,600"
"1989-01-02T06:00:00.000Z","3.63","5.44","3.31","4.88","34.48","12.76","401,143,200"
"1990-01-01T06:00:00.000Z","4.88","7.53","4.00","6.34","30.13","8.41","560,025,600"
"1991-01-01T06:00:00.000Z","6.34","7.78","3.69","4.31","-32.02","-53.74","925,078,392"
"1992-01-01T06:00:00.000Z","4.34","7.06","2.91","5.78","34.06","12.33","843,734,400"
"1993-01-01T06:00:00.000Z","5.88","7.09","4.63","5.63","-2.70","-24.42","1,050,133,600"
"1994-01-03T06:00:00.000Z","5.59","10.38","5.28","9.91","76.11","54.39","821,499,600"
"1995-01-02T06:00:00.000Z","9.81","13.25","7.81","8.56","-13.56","-35.29","679,363,196"
"1996-01-01T06:00:00.000Z","8.50","11.06","4.63","7.00","-18.25","-39.97","665,237,992"
"1997-01-01T06:00:00.000Z","7.09","12.78","7.00","9.25","32.14","10.42","913,764,792"
"1998-01-01T06:00:00.000Z","9.16","12.52","5.41","10.67","15.37","-6.35","1,082,371,992"
"1999-01-01T06:00:00.000Z","10.75","12.36","4.25","8.44","-20.94","-42.66","921,231,604"
"2000-01-03T06:00:00.000Z","8.50","14.02","4.86","6.73","-20.18","-41.91","771,522,800"
"2001-01-01T06:00:00.000Z","6.70","10.55","6.05","9.32","38.36","16.63","793,334,408"
"2002-01-01T06:00:00.000Z","9.35","11.84","5.09","7.15","-23.26","-44.99","831,910,102"
"2003-01-01T06:00:00.000Z","7.18","12.45","6.41","12.29","71.89","50.17","709,991,334"
"2004-01-01T06:00:00.000Z","12.16","38.98","12.10","37.95","208.79","187.07","953,704,611"
"2005-01-03T06:00:00.000Z","38.20","48.27","26.20","42.93","13.12","-8.60","766,291,118"
"2006-01-02T06:00:00.000Z","42.97","44.75","29.56","40.46","-5.75","-27.48","746,933,858"
"2007-01-01T06:00:00.000Z","40.63","51.32","36.74","49.76","22.99","1.26","687,644,954"
"2008-01-01T06:00:00.000Z","49.64","49.71","12.45","19.65","-60.51","-82.23","1,050,593,133"
"2009-01-01T06:00:00.000Z","19.55","27.97","11.70","25.41","29.31","7.59","1,121,306,527"
"2010-01-01T06:00:00.000Z","25.61","39.80","22.50","38.20","50.33","28.61","950,003,691"
"2011-01-03T06:00:00.000Z","38.63","46.15","22.99","30.33","-20.60","-42.32","851,222,349"
"2012-01-02T06:00:00.000Z","31.22","42.69","27.70","35.35","16.55","-5.17","744,540,066"
"2013-01-01T06:00:00.000Z","36.05","50.50","33.01","50.32","42.35","20.62","741,520,592"
"2014-01-01T06:00:00.000Z","49.33","63.00","44.76","60.06","19.36","-2.36","640,359,064"
"2015-01-01T06:00:00.000Z","60.06","65.78","42.06","60.93","1.45","-20.27","662,218,891"
"2016-01-01T06:00:00.000Z","60.01","83.08","41.60","74.01","21.47","-0.2552","555,121,159"
"2017-01-02T06:00:00.000Z","74.61","131.10","74.50","104.83","41.64","19.92","533,395,828"
"2018-01-01T06:00:00.000Z","105.34","159.94","101.55","128.61","22.68","0.9619","543,553,516"
"2019-01-02T06:00:00.000Z","125.39","185.75","121.12","183.46","42.65","20.93","450,692,703"
"2020-01-02T06:00:00.000Z","184.21","307.22","125.38","305.34","66.43","44.71","424,385,960"
"2021-01-04T06:00:00.000Z","304.11","344.39","245.05","281.19","-7.91","-29.63","340,759,662"
"2022-01-03T06:00:00.000Z","280.73","284.96","163.20","186.87","-33.54","-55.27","424,151,937"
"2023-01-03T06:00:00.000Z","190.62","232.15","179.61","220.02","17.74","-3.98","241,110,040"
