"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","2.88","2.88","2.75","2.88","","-16.89","92,700"
"1973-01-01T06:00:00.000Z","2.88","7.00","2.88","7.00","143.48","126.58","5,513,100"
"1974-01-01T06:00:00.000Z","8.75","11.63","4.88","5.13","-26.79","-43.68","6,379,100"
"1975-01-01T06:00:00.000Z","5.13","6.88","2.88","3.25","-36.59","-53.48","2,880,900"
"1976-01-01T06:00:00.000Z","3.50","5.38","2.88","3.63","11.54","-5.36","2,315,900"
"1977-01-03T06:00:00.000Z","3.63","7.44","3.31","4.75","31.03","14.14","3,290,300"
"1978-01-02T06:00:00.000Z","5.50","6.69","3.69","4.75","","-16.89","3,341,900"
"1979-01-01T06:00:00.000Z","4.75","9.50","4.75","9.50","100.00","83.11","5,116,000"
"1980-01-01T06:00:00.000Z","11.13","20.50","8.13","14.50","52.63","35.74","8,531,300"
"1981-01-01T06:00:00.000Z","14.50","15.25","5.25","5.38","-62.93","-79.82","4,101,100"
"1982-01-01T06:00:00.000Z","5.38","14.63","3.81","14.50","169.77","152.87","4,688,700"
"1983-01-03T06:00:00.000Z","14.50","16.88","11.50","13.75","-5.17","-22.07","5,559,500"
"1984-01-02T06:00:00.000Z","13.63","16.00","8.00","9.00","-34.55","-51.44","3,960,300"
"1985-01-01T06:00:00.000Z","8.75","16.50","8.50","15.50","72.22","55.33","5,444,000"
"1986-01-01T06:00:00.000Z","15.38","25.25","14.13","19.00","22.58","5.69","9,705,300"
"1987-01-01T06:00:00.000Z","19.00","34.25","13.63","17.38","-8.55","-25.45","16,069,900"
"1988-01-01T06:00:00.000Z","17.00","17.88","9.50","10.00","-42.45","-59.34","6,724,600"
"1989-01-02T06:00:00.000Z","10.00","11.00","7.00","8.38","-16.25","-33.14","5,851,800"
"1990-01-01T06:00:00.000Z","8.38","10.75","4.50","6.13","-26.87","-43.76","10,293,500"
"1991-01-01T06:00:00.000Z","6.13","6.50","3.50","3.81","-37.76","-54.65","7,413,400"
"1992-01-01T06:00:00.000Z","3.88","5.81","3.38","4.25","11.48","-5.42","9,573,900"
"1993-01-01T06:00:00.000Z","4.25","16.38","3.75","13.00","205.88","188.99","62,710,200"
"1994-01-03T06:00:00.000Z","13.00","14.75","8.25","10.63","-18.27","-35.16","36,405,800"
"1995-01-02T06:00:00.000Z","10.50","14.50","8.88","12.50","17.65","0.7532","22,824,900"
"1996-01-01T06:00:00.000Z","12.63","20.50","12.63","14.00","12.00","-4.89","36,740,300"
"1997-01-01T06:00:00.000Z","13.88","14.75","4.31","5.38","-61.61","-78.50","29,426,100"
"1998-01-01T06:00:00.000Z","5.31","8.00","2.63","4.13","-23.26","-40.15","28,842,600"
"1999-01-01T06:00:00.000Z","4.06","9.69","4.00","7.44","80.30","63.41","25,834,500"
"2000-01-03T06:00:00.000Z","7.25","7.94","4.88","6.00","-19.33","-36.22","26,377,900"
"2001-01-01T06:00:00.000Z","6.00","11.75","5.21","9.87","64.50","47.61","60,714,600"
"2002-01-01T06:00:00.000Z","9.93","17.98","9.83","14.86","50.56","33.66","186,603,900"
"2003-01-01T06:00:00.000Z","14.60","16.47","9.72","12.07","-18.78","-35.67","248,541,501"
"2004-01-01T06:00:00.000Z","12.07","16.73","11.47","13.75","13.92","-2.98","184,190,100"
"2005-01-03T06:00:00.000Z","13.64","19.86","10.80","19.76","43.71","26.82","195,924,600"
"2006-01-02T06:00:00.000Z","20.10","45.67","19.94","41.24","108.70","91.81","503,908,300"
"2007-01-01T06:00:00.000Z","41.99","59.45","33.25","54.63","32.47","15.57","521,352,106"
"2008-01-01T06:00:00.000Z","55.25","83.45","20.87","51.33","-6.04","-22.93","972,234,680"
"2009-01-01T06:00:00.000Z","51.31","74.00","42.65","54.00","5.20","-11.69","1,051,463,342"
"2010-01-01T06:00:00.000Z","56.15","88.20","49.64","76.70","42.04","25.14","632,164,534"
"2011-01-03T06:00:00.000Z","76.86","77.00","34.50","36.32","-52.65","-69.54","576,175,308"
"2012-01-02T06:00:00.000Z","37.34","57.35","31.42","52.46","44.44","27.54","507,109,983"
"2013-01-01T06:00:00.000Z","53.64","53.78","23.77","26.38","-49.71","-66.61","466,686,059"
"2014-01-01T06:00:00.000Z","27.00","42.41","21.65","24.89","-5.65","-22.54","600,108,779"
"2015-01-01T06:00:00.000Z","24.36","34.89","21.00","26.28","5.58","-11.31","682,236,646"
"2016-01-01T06:00:00.000Z","27.00","60.10","26.09","42.00","59.82","42.92","607,254,748"
"2017-01-02T06:00:00.000Z","41.90","51.86","39.30","46.18","9.95","-6.94","382,178,802"
"2018-01-01T06:00:00.000Z","46.47","49.80","32.18","40.40","-12.52","-29.41","367,010,577"
"2019-01-02T06:00:00.000Z","40.48","64.88","38.72","61.61","52.50","35.61","343,072,193"
"2020-01-02T06:00:00.000Z","62.08","89.23","31.00","70.51","14.45","-2.45","423,831,501"
"2021-01-04T06:00:00.000Z","73.45","76.69","47.07","53.14","-24.63","-41.53","381,066,716"
"2022-01-03T06:00:00.000Z","52.03","67.14","36.69","51.99","-2.16","-19.06","788,340,128"
"2023-01-03T06:00:00.000Z","52.82","61.15","44.49","48.13","-7.42","-24.32","449,043,910"
