"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","36.50","40.50","32.63","37.75","","-2.93","3,010,700"
"1969-01-01T06:00:00.000Z","37.00","40.00","28.13","30.13","-20.20","-23.13","5,203,900"
"1970-01-01T06:00:00.000Z","30.63","31.88","22.00","28.50","-5.39","-8.33","8,520,900"
"1971-01-01T06:00:00.000Z","28.50","32.38","26.00","30.38","6.58","3.65","11,954,800"
"1972-01-03T06:00:00.000Z","30.00","31.88","26.00","30.00","-1.23","-4.17","10,509,900"
"1973-01-01T06:00:00.000Z","30.25","30.75","21.25","25.00","-16.67","-19.60","10,295,800"
"1974-01-01T06:00:00.000Z","25.00","27.13","13.50","14.38","-42.50","-45.43","11,602,800"
"1975-01-01T06:00:00.000Z","14.75","21.63","14.75","21.00","46.09","43.15","15,270,500"
"1976-01-01T06:00:00.000Z","21.00","25.50","20.13","25.50","21.43","18.50","16,523,100"
"1977-01-03T06:00:00.000Z","25.50","25.75","23.00","24.38","-4.41","-7.34","15,476,700"
"1978-01-02T06:00:00.000Z","24.38","24.50","20.75","21.13","-13.33","-16.27","14,056,400"
"1979-01-01T06:00:00.000Z","21.13","23.50","17.25","17.88","-15.38","-18.32","19,173,800"
"1980-01-01T06:00:00.000Z","17.88","19.75","15.25","16.88","-5.59","-8.53","25,810,300"
"1981-01-01T06:00:00.000Z","16.88","18.38","15.38","16.25","-3.70","-6.64","33,618,100"
"1982-01-01T06:00:00.000Z","16.25","19.75","15.38","17.75","9.23","6.30","41,921,900"
"1983-01-03T06:00:00.000Z","17.75","20.13","16.88","17.13","-3.52","-6.45","59,206,900"
"1984-01-02T06:00:00.000Z","17.13","21.38","15.13","21.13","23.36","20.42","79,004,200"
"1985-01-01T06:00:00.000Z","21.13","24.88","19.88","23.63","11.83","8.90","69,259,900"
"1986-01-01T06:00:00.000Z","23.63","31.50","22.75","27.50","16.40","13.47","117,580,700"
"1987-01-01T06:00:00.000Z","27.63","31.63","23.13","26.25","-4.55","-7.48","127,165,602"
"1988-01-01T06:00:00.000Z","26.25","29.75","25.88","27.25","3.81","0.8765","90,515,702"
"1989-01-02T06:00:00.000Z","27.13","33.38","25.75","33.00","21.10","18.17","82,743,600"
"1990-01-01T06:00:00.000Z","33.00","33.13","26.00","28.00","-15.15","-18.08","71,143,900"
"1991-01-01T06:00:00.000Z","28.00","34.25","26.63","34.25","22.32","19.39","70,296,000"
"1992-01-01T06:00:00.000Z","34.13","35.25","30.38","33.13","-3.28","-6.22","65,387,000"
"1993-01-01T06:00:00.000Z","33.13","40.38","32.00","37.13","12.08","9.14","68,249,100"
"1994-01-03T06:00:00.000Z","37.25","37.38","27.25","32.88","-11.45","-14.38","89,354,900"
"1995-01-02T06:00:00.000Z","32.75","40.63","31.25","40.50","23.19","20.26","79,775,900"
"1996-01-01T06:00:00.000Z","40.50","44.75","38.63","41.13","1.54","-1.39","94,969,600"
"1997-01-01T06:00:00.000Z","41.25","52.00","39.13","51.63","25.53","22.60","96,606,900"
"1998-01-01T06:00:00.000Z","51.44","53.31","42.06","47.06","-8.84","-11.77","101,952,600"
"1999-01-01T06:00:00.000Z","47.06","48.19","30.56","32.13","-31.74","-34.67","112,347,800"
"2000-01-03T06:00:00.000Z","32.00","48.94","25.94","46.50","44.75","41.81","189,331,600"
"2001-01-01T06:00:00.000Z","46.13","51.20","39.25","43.53","-6.39","-9.32","247,625,399"
"2002-01-01T06:00:00.000Z","43.30","48.80","15.10","27.33","-37.22","-40.15","599,869,914"
"2003-01-01T06:00:00.000Z","27.58","31.51","19.01","30.51","11.64","8.70","481,679,297"
"2004-01-01T06:00:00.000Z","30.51","35.53","28.50","34.34","12.55","9.62","302,233,200"
"2005-01-03T06:00:00.000Z","34.21","40.80","32.25","37.09","8.01","5.08","407,583,104"
"2006-01-02T06:00:00.000Z","37.27","43.13","32.27","42.58","14.80","11.87","453,053,504"
"2007-01-01T06:00:00.000Z","42.49","51.24","41.67","46.56","9.35","6.41","569,992,817"
"2008-01-01T06:00:00.000Z","46.31","49.11","25.54","33.28","-28.52","-31.46","788,296,842"
"2009-01-01T06:00:00.000Z","33.49","36.51","24.00","34.79","4.54","1.60","1,128,734,727"
"2010-01-01T06:00:00.000Z","35.10","37.94","28.17","35.98","3.42","0.4875","857,300,381"
"2011-01-03T06:00:00.000Z","36.27","41.71","33.09","41.31","14.81","11.88","949,478,329"
"2012-01-02T06:00:00.000Z","41.96","45.41","36.97","42.68","3.32","0.3834","847,392,574"
"2013-01-01T06:00:00.000Z","43.17","51.59","41.83","46.74","9.51","6.58","806,873,901"
"2014-01-01T06:00:00.000Z","46.98","63.22","45.80","60.72","29.91","26.98","680,800,210"
"2015-01-01T06:00:00.000Z","60.88","65.38","52.29","58.27","-4.03","-6.97","709,564,495"
"2016-01-01T06:00:00.000Z","57.82","71.32","56.75","62.96","8.05","5.12","699,586,717"
"2017-01-02T06:00:00.000Z","63.01","78.07","61.82","73.57","16.85","13.92","579,441,876"
"2018-01-01T06:00:00.000Z","73.18","81.05","62.70","74.74","1.59","-1.34","746,862,553"
"2019-01-02T06:00:00.000Z","74.61","96.22","72.25","94.51","26.45","23.52","603,543,346"
"2020-01-02T06:00:00.000Z","94.50","104.97","65.14","83.27","-11.89","-14.83","794,603,678"
"2021-01-04T06:00:00.000Z","83.33","91.49","74.80","88.97","6.85","3.91","708,089,865"
"2022-01-03T06:00:00.000Z","88.63","105.60","80.30","94.95","6.72","3.79","755,091,411"
"2023-01-03T06:00:00.000Z","94.90","98.32","77.01","77.52","-18.36","-21.29","491,608,914"
