"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","14.26","22.66","13.94","21.58","","-10.71","5,888,788"
"1973-01-01T06:00:00.000Z","21.86","22.40","15.31","19.09","-11.50","-22.22","9,260,297"
"1974-01-01T06:00:00.000Z","19.48","20.11","7.64","13.21","-30.83","-41.55","9,029,014"
"1975-01-01T06:00:00.000Z","13.52","20.68","12.25","15.91","20.48","9.77","9,063,656"
"1976-01-01T06:00:00.000Z","15.91","18.93","13.29","15.12","-5.00","-15.71","9,645,943"
"1977-01-03T06:00:00.000Z","15.12","16.61","11.93","16.61","9.87","-0.8448","9,072,152"
"1978-01-02T06:00:00.000Z","15.91","23.07","14.02","20.19","21.56","10.84","18,521,727"
"1979-01-01T06:00:00.000Z","20.09","24.66","18.99","23.67","17.24","6.53","17,479,953"
"1980-01-01T06:00:00.000Z","23.07","31.82","19.39","29.83","26.05","15.34","24,874,864"
"1981-01-01T06:00:00.000Z","29.83","41.32","29.04","38.64","29.50","18.79","19,897,097"
"1982-01-01T06:00:00.000Z","38.64","49.82","32.82","47.14","22.01","11.29","33,444,445"
"1983-01-03T06:00:00.000Z","47.14","57.99","39.01","47.92","1.66","-9.05","46,027,026"
"1984-01-02T06:00:00.000Z","47.92","54.45","37.95","50.81","6.03","-4.68","62,380,218"
"1985-01-01T06:00:00.000Z","50.62","82.04","48.48","79.06","55.60","44.88","40,120,398"
"1986-01-01T06:00:00.000Z","79.06","107.03","77.57","91.18","15.33","4.62","48,910,678"
"1987-01-01T06:00:00.000Z","91.18","124.93","79.81","89.50","-1.84","-12.55","65,260,883"
"1988-01-01T06:00:00.000Z","90.06","102.55","73.09","101.06","12.92","2.20","49,304,790"
"1989-01-02T06:00:00.000Z","100.69","167.07","98.83","154.39","52.77","42.05","46,643,017"
"1990-01-01T06:00:00.000Z","154.39","157.93","106.28","143.34","-7.16","-17.87","52,323,843"
"1991-01-01T06:00:00.000Z","143.34","190.19","134.25","183.43","27.97","17.25","44,423,108"
"1992-01-01T06:00:00.000Z","182.73","226.32","152.90","216.30","17.92","7.20","48,563,666"
"1993-01-01T06:00:00.000Z","219.09","280.39","205.34","245.43","13.47","2.76","46,861,697"
"1994-01-03T06:00:00.000Z","245.43","281.79","228.65","274.10","11.68","0.9677","44,102,023"
"1995-01-02T06:00:00.000Z","272.35","400.66","268.85","388.07","41.58","30.87","45,635,873"
"1996-01-01T06:00:00.000Z","387.02","488.24","369.72","454.15","17.03","6.31","43,100,211"
"1997-01-01T06:00:00.000Z","455.20","708.36","446.81","684.37","50.69","39.98","45,769,483"
"1998-01-01T06:00:00.000Z","693.81","968.73","612.39","912.09","33.28","22.56","50,009,689"
"1999-01-01T06:00:00.000Z","920.35","1,331.85","902.65","1,275.81","39.88","29.16","55,715,239"
"2000-01-03T06:00:00.000Z","1,264.01","1,836.27","926.99","1,744.45","36.73","26.02","61,362,237"
"2001-01-01T06:00:00.000Z","1,740.03","1,740.03","1,168.13","1,405.30","-19.44","-30.16","78,715,301"
"2002-01-01T06:00:00.000Z","1,406.18","1,415.92","842.65","1,023.88","-27.14","-37.85","93,294,446"
"2003-01-01T06:00:00.000Z","1,028.31","1,174.32","759.64","1,173.09","14.57","3.86","89,738,791"
"2004-01-01T06:00:00.000Z","1,176.98","1,369.19","960.70","1,162.29","-0.9203","-11.63","90,243,178"
"2005-01-03T06:00:00.000Z","1,169.90","1,300.16","883.35","1,207.60","3.90","-6.81","134,750,905"
"2006-01-02T06:00:00.000Z","1,220.16","1,291.49","1,018.04","1,268.31","5.03","-5.69","97,807,216"
"2007-01-01T06:00:00.000Z","1,271.85","1,291.49","900.17","1,031.85","-18.64","-29.36","187,068,538"
"2008-01-01T06:00:00.000Z","1,036.98","1,051.67","22.12","27.79","-97.31","-108.02","903,994,425"
"2009-01-01T06:00:00.000Z","27.79","49.47","5.84","26.53","-4.52","-15.24","5,296,271,764"
"2010-01-01T06:00:00.000Z","27.02","54.58","19.06","50.99","92.19","81.48","2,657,280,164"
"2011-01-03T06:00:00.000Z","51.63","55.64","19.18","23.20","-54.50","-65.21","2,164,577,968"
"2012-01-02T06:00:00.000Z","23.77","37.67","23.40","35.30","52.16","41.44","4,551,075,285"
"2013-01-01T06:00:00.000Z","36.29","53.33","34.56","51.05","44.62","33.90","3,460,736,360"
"2014-01-01T06:00:00.000Z","50.81","56.79","46.80","56.01","9.72","-0.9972","2,093,356,805"
"2015-01-01T06:00:00.000Z","56.53","64.93","48.68","61.97","10.64","-0.0722","2,092,664,712"
"2016-01-01T06:00:00.000Z","60.66","67.03","48.41","65.31","5.39","-5.32","1,799,662,919"
"2017-01-02T06:00:00.000Z","65.95","67.47","57.85","59.58","-8.77","-19.49","1,451,225,909"
"2018-01-01T06:00:00.000Z","60.00","65.05","36.16","39.41","-33.85","-44.57","1,631,689,508"
"2019-01-02T06:00:00.000Z","38.90","58.66","38.67","51.33","30.25","19.53","1,134,363,169"
"2020-01-02T06:00:00.000Z","51.64","56.42","16.07","37.86","-26.24","-36.96","1,765,859,712"
"2021-01-04T06:00:00.000Z","37.65","62.54","36.80","56.86","50.18","39.47","1,104,907,583"
"2022-01-03T06:00:00.000Z","57.18","65.73","47.05","63.24","11.22","0.5073","1,237,400,849"
"2023-01-03T06:00:00.000Z","63.45","64.88","45.66","59.24","-6.33","-17.04","718,948,610"
