"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","0.0553","0.0677","0.0547","0.0677","","-31.72","8,139,648"
"1973-01-01T06:00:00.000Z","0.0677","0.0964","0.0313","0.0488","-27.92","-59.63","201,011,712"
"1974-01-01T06:00:00.000Z","0.0482","0.0632","0.0117","0.0143","-70.70","-102.41","126,688,000"
"1975-01-01T06:00:00.000Z","0.0156","0.0488","0.0150","0.0241","68.53","36.82","170,579,840"
"1976-01-01T06:00:00.000Z","0.0247","0.0397","0.0150","0.0169","-29.88","-61.59","165,357,184"
"1977-01-03T06:00:00.000Z","0.0169","0.0293","0.0150","0.0176","4.14","-27.57","182,004,736"
"1978-01-02T06:00:00.000Z","0.0176","0.0579","0.0143","0.0371","110.80","79.08","475,168,512"
"1979-01-01T06:00:00.000Z","0.0365","0.1589","0.0365","0.1589","328.30","296.59","854,924,416"
"1980-01-01T06:00:00.000Z","0.1491","0.3535","0.1146","0.3242","104.03","72.31","617,015,808"
"1981-01-01T06:00:00.000Z","0.3242","0.3711","0.1055","0.1094","-66.26","-97.97","649,241,600"
"1982-01-01T06:00:00.000Z","0.1094","0.1855","0.0898","0.1777","62.43","30.72","694,912,000"
"1983-01-03T06:00:00.000Z","0.1738","0.3809","0.1738","0.3008","69.27","37.56","1,157,798,400"
"1984-01-02T06:00:00.000Z","0.3008","0.3105","0.1660","0.2109","-29.89","-61.60","1,170,086,400"
"1985-01-01T06:00:00.000Z","0.2109","0.2812","0.1367","0.1621","-23.14","-54.85","1,523,161,600"
"1986-01-01T06:00:00.000Z","0.1621","0.2598","0.1250","0.1484","-8.45","-40.17","1,131,609,600"
"1987-01-01T06:00:00.000Z","0.1484","0.5234","0.1484","0.3047","105.32","73.61","3,016,249,600"
"1988-01-01T06:00:00.000Z","0.3086","0.5625","0.2617","0.3477","14.11","-17.60","4,035,257,600"
"1989-01-02T06:00:00.000Z","0.3477","0.5117","0.3359","0.4453","28.07","-3.65","3,544,755,200"
"1990-01-01T06:00:00.000Z","0.4453","0.6328","0.2578","0.3359","-24.57","-56.28","2,907,008,000"
"1991-01-01T06:00:00.000Z","0.3359","0.5938","0.3047","0.5508","63.98","32.26","3,370,636,800"
"1992-01-01T06:00:00.000Z","0.5430","1.21","0.5039","1.05","91.49","59.77","3,865,900,800"
"1993-01-01T06:00:00.000Z","1.06","2.50","1.01","2.42","129.63","97.91","4,702,196,800"
"1994-01-03T06:00:00.000Z","2.42","3.41","2.27","2.64","9.03","-22.69","4,921,318,400"
"1995-01-02T06:00:00.000Z","2.61","7.48","2.31","4.92","86.39","54.68","9,058,959,304"
"1996-01-01T06:00:00.000Z","4.97","5.59","2.72","4.49","-8.73","-40.45","8,228,495,944"
"1997-01-01T06:00:00.000Z","4.48","13.55","4.34","7.53","67.65","35.93","11,198,554,420"
"1998-01-01T06:00:00.000Z","7.56","11.75","5.39","10.67","41.70","9.99","7,679,683,856"
"1999-01-01T06:00:00.000Z","10.72","32.25","10.72","31.67","196.78","165.06","8,262,141,380"
"2000-01-03T06:00:00.000Z","32.09","57.50","17.06","19.09","-39.71","-71.43","7,918,789,918"
"2001-01-01T06:00:00.000Z","19.41","29.55","13.29","20.05","5.01","-26.71","10,005,305,204"
"2002-01-01T06:00:00.000Z","20.43","27.95","10.26","13.03","-35.01","-66.73","8,536,449,841"
"2003-01-01T06:00:00.000Z","13.45","25.94","11.25","22.44","72.22","40.50","7,444,198,415"
"2004-01-01T06:00:00.000Z","22.61","24.75","15.36","17.10","-23.80","-55.51","8,195,372,429"
"2005-01-03T06:00:00.000Z","17.20","19.47","14.33","17.94","4.91","-26.80","6,494,171,002"
"2006-01-02T06:00:00.000Z","18.04","21.06","14.39","18.45","2.84","-28.87","6,712,177,674"
"2007-01-01T06:00:00.000Z","18.32","23.00","17.35","17.76","-3.74","-35.46","6,190,648,473"
"2008-01-01T06:00:00.000Z","17.73","21.75","7.80","10.13","-42.96","-74.68","6,241,260,054"
"2009-01-01T06:00:00.000Z","10.12","14.22","8.19","13.94","37.61","5.90","5,358,768,010"
"2010-01-01T06:00:00.000Z","14.05","14.94","10.27","14.05","0.7891","-30.93","5,585,849,200"
"2011-01-03T06:00:00.000Z","14.13","16.93","9.70","10.71","-23.77","-55.49","4,466,897,114"
"2012-01-02T06:00:00.000Z","10.93","13.94","9.95","11.44","6.82","-24.90","3,349,022,122"
"2013-01-01T06:00:00.000Z","11.64","18.18","11.39","17.68","54.55","22.83","3,207,823,457"
"2014-01-01T06:00:00.000Z","17.69","25.71","16.40","24.92","40.95","9.23","3,378,330,333"
"2015-01-01T06:00:00.000Z","24.99","25.64","14.25","18.67","-25.08","-56.80","4,312,906,237"
"2016-01-01T06:00:00.000Z","18.31","33.68","15.44","32.27","72.84","41.13","3,252,206,358"
"2017-01-02T06:00:00.000Z","32.36","60.89","31.66","51.12","58.41","26.70","2,533,087,085"
"2018-01-01T06:00:00.000Z","51.68","62.40","28.79","32.74","-35.95","-67.67","3,409,842,686"
"2019-01-02T06:00:00.000Z","32.04","63.07","31.48","61.04","86.44","54.72","2,264,325,976"
"2020-01-02T06:00:00.000Z","62.00","90.61","36.64","86.30","41.38","9.67","2,097,310,636"
"2021-01-04T06:00:00.000Z","87.24","163.02","86.15","157.36","82.34","50.62","2,051,219,693"
"2022-01-03T06:00:00.000Z","157.74","167.06","71.12","97.38","-38.12","-69.83","2,009,332,651"
"2023-01-03T06:00:00.000Z","99.77","154.54","96.12","153.99","58.13","26.42","1,020,636,449"
