"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","0.4583","0.4583","0.4306","0.4306","","-43.60","3,288,340"
"1973-01-01T06:00:00.000Z","0.4306","0.9259","0.2222","0.4213","-2.16","-45.76","70,829,988"
"1974-01-01T06:00:00.000Z","0.3982","0.6296","0.0556","0.0694","-83.53","-127.13","51,498,080"
"1975-01-01T06:00:00.000Z","0.0787","0.5463","0.0694","0.4722","580.40","536.80","82,890,936"
"1976-01-01T06:00:00.000Z","0.5046","1.25","0.4537","0.9352","98.05","54.45","166,714,652"
"1977-01-03T06:00:00.000Z","0.9352","1.09","0.6296","0.8241","-11.88","-55.48","150,752,368"
"1978-01-02T06:00:00.000Z","0.7963","1.58","0.6435","1.21","46.62","3.02","132,845,192"
"1979-01-01T06:00:00.000Z","1.19","3.21","1.01","3.02","150.00","106.40","113,461,492"
"1980-01-01T06:00:00.000Z","3.00","7.42","2.24","5.75","90.35","46.74","103,578,112"
"1981-01-01T06:00:00.000Z","5.75","6.04","2.33","2.94","-48.91","-92.52","80,114,536"
"1982-01-01T06:00:00.000Z","2.94","7.00","2.58","6.28","113.83","70.22","116,076,424"
"1983-01-03T06:00:00.000Z","6.28","17.75","6.06","16.81","167.66","124.06","154,268,000"
"1984-01-02T06:00:00.000Z","16.81","20.56","12.56","14.75","-12.27","-55.87","233,618,200"
"1985-01-01T06:00:00.000Z","14.69","18.19","11.06","14.50","-1.69","-45.30","215,394,600"
"1986-01-01T06:00:00.000Z","14.50","16.75","6.44","6.88","-52.59","-96.19","193,397,000"
"1987-01-01T06:00:00.000Z","6.88","12.44","3.75","4.94","-28.18","-71.79","319,918,200"
"1988-01-01T06:00:00.000Z","4.94","8.44","3.56","4.31","-12.66","-56.26","265,589,200"
"1989-01-02T06:00:00.000Z","4.31","5.25","3.56","3.94","-8.70","-52.30","146,702,200"
"1990-01-01T06:00:00.000Z","3.94","5.69","1.81","2.44","-38.10","-81.70","223,387,400"
"1991-01-01T06:00:00.000Z","2.44","8.88","2.00","8.75","258.97","215.37","525,775,002"
"1992-01-01T06:00:00.000Z","8.69","10.75","3.69","9.06","3.57","-40.03","595,204,400"
"1993-01-01T06:00:00.000Z","9.00","16.44","8.50","8.88","-2.07","-45.67","606,611,894"
"1994-01-03T06:00:00.000Z","8.88","15.88","8.38","12.44","40.14","-3.46","527,462,602"
"1995-01-02T06:00:00.000Z","12.63","19.63","8.06","8.25","-33.67","-77.27","777,996,996"
"1996-01-01T06:00:00.000Z","8.25","14.19","5.13","12.88","56.06","12.46","568,593,002"
"1997-01-01T06:00:00.000Z","12.94","24.25","8.56","8.88","-31.07","-74.67","1,237,076,216"
"1998-01-01T06:00:00.000Z","9.13","16.38","6.38","14.50","63.38","19.78","1,400,164,590"
"1999-01-01T06:00:00.000Z","14.50","16.50","7.28","14.47","-0.2152","-43.82","1,322,843,624"
"2000-01-03T06:00:00.000Z","14.97","48.50","13.56","13.81","-4.54","-48.14","2,349,845,724"
"2001-01-01T06:00:00.000Z","14.13","34.65","7.69","15.86","14.82","-28.78","1,883,444,304"
"2002-01-01T06:00:00.000Z","16.28","20.60","3.10","6.46","-59.27","-102.87","1,827,599,926"
"2003-01-01T06:00:00.000Z","6.56","18.50","4.78","14.90","130.65","87.05","2,488,489,777"
"2004-01-01T06:00:00.000Z","15.10","24.95","10.76","22.02","47.79","4.18","2,750,884,784"
"2005-01-03T06:00:00.000Z","22.11","31.84","14.08","30.60","38.96","-4.64","2,491,104,222"
"2006-01-02T06:00:00.000Z","31.02","42.70","16.90","20.35","-33.50","-77.10","4,846,139,162"
"2007-01-01T06:00:00.000Z","20.08","20.63","7.26","7.50","-63.14","-106.75","6,752,235,484"
"2008-01-01T06:00:00.000Z","7.40","8.08","1.62","2.16","-71.20","-114.80","6,019,688,124"
"2009-01-01T06:00:00.000Z","2.19","10.04","1.86","9.68","348.15","304.54","5,914,993,493"
"2010-01-01T06:00:00.000Z","9.79","10.24","5.53","8.18","-15.50","-59.10","6,513,150,352"
"2011-01-03T06:00:00.000Z","8.44","9.58","4.31","5.40","-33.99","-77.59","5,529,344,210"
"2012-01-02T06:00:00.000Z","5.53","8.35","1.81","2.40","-55.56","-99.16","5,179,805,108"
"2013-01-01T06:00:00.000Z","2.55","4.65","2.26","3.87","61.25","17.65","6,328,077,263"
"2014-01-01T06:00:00.000Z","3.85","4.80","2.35","2.67","-31.01","-74.61","5,983,325,412"
"2015-01-01T06:00:00.000Z","2.70","3.37","1.61","2.87","7.49","-36.11","3,444,500,704"
"2016-01-01T06:00:00.000Z","2.77","12.42","1.75","11.34","295.12","251.52","7,739,018,950"
"2017-01-02T06:00:00.000Z","11.42","15.65","9.42","10.28","-9.35","-52.95","16,355,857,605"
"2018-01-01T06:00:00.000Z","10.42","34.14","9.04","18.46","79.57","35.97","21,238,690,952"
"2019-01-02T06:00:00.000Z","18.01","47.31","16.94","45.86","148.43","104.82","16,737,686,682"
"2020-01-02T06:00:00.000Z","46.86","97.98","36.75","91.71","99.98","56.37","15,586,127,825"
"2021-01-04T06:00:00.000Z","92.11","164.46","72.50","143.90","56.91","13.30","12,916,441,140"
"2022-01-03T06:00:00.000Z","145.13","152.42","54.57","64.77","-54.99","-98.59","22,946,406,937"
"2023-01-03T06:00:00.000Z","66.00","132.83","60.05","109.45","68.98","25.38","10,856,654,289"
