"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-06-01T05:00:00.000Z","0.3437","0.3437","0.1224","0.1510","","-29.28","225,568,096"
"1984-01-02T06:00:00.000Z","0.1510","0.1719","0.0781","0.1042","-30.99","-60.27","202,618,736"
"1985-01-01T06:00:00.000Z","0.0990","0.3281","0.0964","0.2812","169.87","140.59","411,195,152"
"1986-01-01T06:00:00.000Z","0.2786","0.6120","0.2578","0.4609","63.90","34.63","1,610,847,104"
"1987-01-01T06:00:00.000Z","0.4635","0.9323","0.3333","0.6458","40.12","10.84","2,672,262,520"
"1988-01-01T06:00:00.000Z","0.6458","0.7552","0.5260","0.7031","8.87","-20.41","1,694,958,304"
"1989-01-02T06:00:00.000Z","0.7031","1.26","0.6458","1.02","45.19","15.91","3,823,515,616"
"1990-01-01T06:00:00.000Z","1.02","2.65","0.8958","2.59","154.09","124.81","4,274,676,984"
"1991-01-01T06:00:00.000Z","2.59","9.50","2.35","9.47","265.07","235.79","4,039,927,032"
"1992-01-01T06:00:00.000Z","9.22","9.77","6.16","8.83","-6.77","-36.05","2,635,725,592"
"1993-01-01T06:00:00.000Z","8.84","8.97","3.88","6.19","-29.91","-59.19","4,000,606,400"
"1994-01-03T06:00:00.000Z","6.16","7.53","4.34","7.38","19.19","-10.09","2,801,923,952"
"1995-01-02T06:00:00.000Z","7.36","14.94","7.02","14.84","101.27","71.99","2,893,079,200"
"1996-01-01T06:00:00.000Z","14.88","16.63","12.84","13.59","-8.42","-37.70","2,358,263,588"
"1997-01-01T06:00:00.000Z","13.66","17.34","11.22","13.53","-0.4605","-29.74","3,196,017,928"
"1998-01-01T06:00:00.000Z","13.52","27.25","11.66","26.14","93.19","63.91","2,812,643,992"
"1999-01-01T06:00:00.000Z","26.16","66.44","25.69","60.06","129.77","100.49","2,434,135,105"
"2000-01-03T06:00:00.000Z","70.00","80.44","50.00","63.94","6.45","-22.83","2,254,588,299"
"2001-01-01T06:00:00.000Z","65.88","75.06","45.44","56.44","-11.73","-41.01","2,441,533,301"
"2002-01-01T06:00:00.000Z","56.90","62.94","30.57","48.34","-14.35","-43.63","3,612,730,795"
"2003-01-01T06:00:00.000Z","48.59","72.37","48.09","61.79","27.82","-1.46","2,545,065,291"
"2004-01-01T06:00:00.000Z","62.07","66.88","52.00","64.15","3.82","-25.46","2,107,695,963"
"2005-01-03T06:00:00.000Z","64.20","86.92","56.19","78.86","22.93","-6.35","2,070,624,667"
"2006-01-02T06:00:00.000Z","79.36","81.24","63.52","68.31","-13.38","-42.66","2,233,157,027"
"2007-01-01T06:00:00.000Z","68.42","76.95","46.21","46.44","-32.02","-61.30","3,265,455,141"
"2008-01-01T06:00:00.000Z","46.60","66.51","39.16","57.75","24.35","-4.93","2,773,594,338"
"2009-01-01T06:00:00.000Z","58.59","64.76","44.96","56.57","-2.04","-31.32","2,096,738,676"
"2010-01-01T06:00:00.000Z","56.63","61.26","50.26","54.90","-2.95","-32.23","1,685,161,313"
"2011-01-03T06:00:00.000Z","55.20","65.00","47.66","64.21","16.96","-12.32","1,746,824,277"
"2012-01-02T06:00:00.000Z","64.95","90.81","63.30","86.20","34.25","4.97","1,149,800,578"
"2013-01-01T06:00:00.000Z","87.36","119.70","81.56","114.08","32.34","3.06","986,232,516"
"2014-01-01T06:00:00.000Z","114.36","173.14","108.20","159.29","39.63","10.35","898,122,425"
"2015-01-01T06:00:00.000Z","160.16","181.81","130.09","162.33","1.91","-27.37","893,430,721"
"2016-01-01T06:00:00.000Z","159.00","176.85","133.64","146.21","-9.93","-39.21","862,889,117"
"2017-01-02T06:00:00.000Z","147.86","191.10","147.12","173.90","18.94","-10.34","796,357,058"
"2018-01-01T06:00:00.000Z","175.35","210.19","163.31","194.67","11.94","-17.34","870,365,149"
"2019-01-02T06:00:00.000Z","192.52","244.99","166.30","241.07","23.84","-5.44","706,412,812"
"2020-01-02T06:00:00.000Z","243.00","264.97","177.05","229.92","-4.63","-33.90","709,005,144"
"2021-01-04T06:00:00.000Z","231.25","276.69","198.64","224.97","-2.15","-31.43","669,843,354"
"2022-01-03T06:00:00.000Z","223.63","296.67","214.39","262.64","16.74","-12.54","748,011,437"
"2023-01-03T06:00:00.000Z","260.87","276.84","211.71","256.71","-2.26","-31.54","412,438,815"
