"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1980-06-02T05:00:00.000Z","2.69","3.07","2.44","2.61","","-14.04","26,905,387"
"1981-01-01T06:00:00.000Z","2.61","3.61","2.48","3.56","36.17","22.13","44,242,195"
"1982-01-01T06:00:00.000Z","3.56","4.44","2.59","4.09","15.11","1.07","91,334,267"
"1983-01-03T06:00:00.000Z","4.09","6.30","3.96","5.96","45.70","31.66","85,496,987"
"1984-01-02T06:00:00.000Z","5.96","6.44","4.04","5.65","-5.28","-19.32","76,902,321"
"1985-01-01T06:00:00.000Z","5.65","7.78","5.59","7.67","35.74","21.70","75,988,399"
"1986-01-01T06:00:00.000Z","7.65","9.70","7.56","7.81","1.93","-12.10","76,830,792"
"1987-01-01T06:00:00.000Z","7.81","9.33","6.07","6.78","-13.27","-27.31","99,724,770"
"1988-01-01T06:00:00.000Z","6.81","8.52","6.48","8.30","22.40","8.37","51,825,090"
"1989-01-02T06:00:00.000Z","8.22","12.81","8.00","12.52","50.89","36.86","58,530,100"
"1990-01-01T06:00:00.000Z","12.52","12.63","7.93","10.30","-17.75","-31.79","49,530,460"
"1991-01-01T06:00:00.000Z","10.30","12.37","8.81","11.74","14.03","-0.0078","53,437,636"
"1992-01-01T06:00:00.000Z","11.70","16.00","11.59","16.00","36.28","22.24","60,384,648"
"1993-01-01T06:00:00.000Z","15.96","17.33","13.70","14.33","-10.42","-24.45","58,604,019"
"1994-01-03T06:00:00.000Z","14.30","15.89","13.00","14.22","-0.7751","-14.81","56,365,211"
"1995-01-02T06:00:00.000Z","14.17","22.61","13.94","22.17","55.86","41.82","69,902,900"
"1996-01-01T06:00:00.000Z","21.78","28.78","21.11","27.61","24.56","10.53","107,094,148"
"1997-01-01T06:00:00.000Z","27.67","39.25","26.78","39.08","41.55","27.51","84,527,207"
"1998-01-01T06:00:00.000Z","38.75","50.38","32.17","36.92","-5.54","-19.58","112,873,557"
"1999-01-01T06:00:00.000Z","36.88","46.67","26.06","40.00","8.35","-5.68","166,172,279"
"2000-01-03T06:00:00.000Z","39.38","42.75","20.69","34.25","-14.37","-28.41","307,844,302"
"2001-01-01T06:00:00.000Z","34.25","44.80","29.75","35.52","3.71","-10.33","271,161,800"
"2002-01-01T06:00:00.000Z","35.73","39.63","13.30","18.89","-46.82","-60.85","393,297,281"
"2003-01-01T06:00:00.000Z","19.10","26.79","17.41","23.94","26.73","12.70","339,945,728"
"2004-01-01T06:00:00.000Z","24.06","29.44","18.15","23.86","-0.3342","-14.37","394,093,506"
"2005-01-03T06:00:00.000Z","24.10","37.14","20.64","35.95","50.67","36.63","390,682,896"
"2006-01-02T06:00:00.000Z","36.02","42.76","31.01","35.34","-1.70","-15.73","439,321,702"
"2007-01-01T06:00:00.000Z","35.30","51.32","34.30","47.69","34.95","20.91","474,672,064"
"2008-01-01T06:00:00.000Z","47.57","50.00","32.83","45.68","-4.21","-18.25","740,390,441"
"2009-01-01T06:00:00.000Z","46.19","46.19","34.81","38.34","-16.07","-30.10","810,090,002"
"2010-01-01T06:00:00.000Z","38.45","46.24","35.10","46.01","20.01","5.97","631,830,882"
"2011-01-03T06:00:00.000Z","46.26","54.58","39.68","46.80","1.72","-12.32","607,806,684"
"2012-01-02T06:00:00.000Z","47.50","57.92","45.04","55.61","18.82","4.79","474,991,055"
"2013-01-01T06:00:00.000Z","56.25","84.33","54.65","83.89","50.85","36.82","449,432,357"
"2014-01-01T06:00:00.000Z","83.36","98.10","76.49","94.83","13.04","-0.9950","364,328,562"
"2015-01-01T06:00:00.000Z","95.49","107.08","86.38","92.21","-2.76","-16.80","307,756,343"
"2016-01-01T06:00:00.000Z","90.71","116.59","83.83","111.53","20.95","6.92","286,122,358"
"2017-01-02T06:00:00.000Z","112.09","152.78","109.82","134.00","20.15","6.11","273,580,211"
"2018-01-01T06:00:00.000Z","134.25","166.55","130.87","145.36","8.48","-5.56","253,184,071"
"2019-01-02T06:00:00.000Z","143.58","212.65","141.63","208.29","43.29","29.26","228,280,701"
"2020-01-02T06:00:00.000Z","209.20","238.19","143.93","211.27","1.43","-12.61","387,424,128"
"2021-01-04T06:00:00.000Z","211.04","326.25","200.65","300.56","42.26","28.23","421,087,470"
"2022-01-03T06:00:00.000Z","300.18","341.98","246.21","300.14","-0.1397","-14.18","247,774,314"
"2023-01-03T06:00:00.000Z","301.05","347.37","280.89","334.34","11.39","-2.64","138,224,047"
