"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-09-01T05:00:00.000Z","1.08","1.13","0.7292","0.9722","","-16.61","2,848,888"
"1984-01-02T06:00:00.000Z","0.9653","1.03","0.5417","0.6320","-34.99","-51.61","10,493,820"
"1985-01-01T06:00:00.000Z","0.6389","1.40","0.6389","1.31","107.67","91.06","14,983,036"
"1986-01-01T06:00:00.000Z","1.33","1.65","1.06","1.14","-13.23","-29.84","52,689,172"
"1987-01-01T06:00:00.000Z","1.17","1.53","0.5486","0.6736","-40.86","-57.47","35,414,716"
"1988-01-01T06:00:00.000Z","0.6736","0.9514","0.6667","0.8542","26.81","10.20","12,319,176"
"1989-01-02T06:00:00.000Z","0.8611","1.03","0.6945","0.7222","-15.45","-32.07","22,139,908"
"1990-01-01T06:00:00.000Z","0.7222","1.11","0.6458","0.8542","18.28","1.66","11,802,644"
"1991-01-01T06:00:00.000Z","0.8542","1.21","0.8264","1.00","17.07","0.4546","15,278,464"
"1992-01-01T06:00:00.000Z","1.00","2.13","0.9931","2.13","112.50","95.89","110,358,968"
"1993-01-01T06:00:00.000Z","2.11","3.97","1.93","3.97","86.93","70.32","81,087,652"
"1994-01-03T06:00:00.000Z","3.92","4.44","2.35","2.72","-31.47","-48.08","67,216,936"
"1995-01-02T06:00:00.000Z","2.72","3.18","2.13","2.31","-15.30","-31.92","99,336,796"
"1996-01-01T06:00:00.000Z","2.32","3.67","2.32","3.32","43.98","27.36","75,520,332"
"1997-01-01T06:00:00.000Z","3.32","4.82","3.18","4.69","41.42","24.81","134,480,648"
"1998-01-01T06:00:00.000Z","4.71","5.98","2.64","4.09","-12.80","-29.41","79,959,528"
"1999-01-01T06:00:00.000Z","4.08","5.33","3.14","3.65","-10.94","-27.55","41,556,184"
"2000-01-03T06:00:00.000Z","3.64","3.85","1.86","2.84","-22.00","-38.61","60,297,776"
"2001-01-01T06:00:00.000Z","2.85","3.35","2.44","3.25","14.28","-2.33","45,644,584"
"2002-01-01T06:00:00.000Z","3.25","5.46","3.17","4.50","38.51","21.90","147,841,128"
"2003-01-01T06:00:00.000Z","4.56","6.12","3.92","5.84","29.77","13.15","172,077,268"
"2004-01-01T06:00:00.000Z","5.82","5.97","3.60","4.99","-14.58","-31.19","243,351,120"
"2005-01-03T06:00:00.000Z","4.99","6.20","4.14","5.85","17.23","0.6205","268,478,988"
"2006-01-02T06:00:00.000Z","5.87","9.68","5.66","6.26","7.01","-9.61","440,278,476"
"2007-01-01T06:00:00.000Z","6.29","8.75","5.35","5.84","-6.68","-23.30","460,022,612"
"2008-01-01T06:00:00.000Z","5.82","8.52","3.85","4.92","-15.78","-32.39","477,202,748"
"2009-01-01T06:00:00.000Z","4.93","7.57","3.49","7.23","46.99","30.37","416,936,152"
"2010-01-01T06:00:00.000Z","7.29","11.45","6.85","9.52","31.64","15.03","402,793,912"
"2011-01-03T06:00:00.000Z","9.60","11.21","7.45","10.03","5.36","-11.26","438,832,960"
"2012-01-02T06:00:00.000Z","10.24","15.99","10.11","15.77","57.20","40.59","434,379,568"
"2013-01-01T06:00:00.000Z","16.10","27.59","15.50","26.97","71.05","54.43","378,765,072"
"2014-01-01T06:00:00.000Z","26.96","28.58","22.07","28.20","4.58","-12.03","303,650,056"
"2015-01-01T06:00:00.000Z","28.31","40.58","25.05","38.30","35.81","19.20","329,598,966"
"2016-01-01T06:00:00.000Z","37.73","51.49","30.15","47.35","23.61","7.00","349,894,173"
"2017-01-02T06:00:00.000Z","47.70","63.70","46.44","61.28","29.42","12.81","246,127,790"
"2018-01-01T06:00:00.000Z","61.45","68.39","40.34","42.70","-30.32","-46.93","367,604,682"
"2019-01-02T06:00:00.000Z","42.21","56.66","40.38","47.64","11.57","-5.04","418,526,698"
"2020-01-02T06:00:00.000Z","47.91","58.66","33.80","54.82","15.07","-1.54","383,995,118"
"2021-01-04T06:00:00.000Z","54.70","86.74","52.08","85.85","56.60","39.99","264,843,518"
"2022-01-03T06:00:00.000Z","85.84","86.10","46.58","57.24","-33.33","-49.94","275,800,016"
"2023-01-03T06:00:00.000Z","57.86","76.94","57.45","73.57","28.53","11.91","179,326,407"
