"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.02","3.15","1.56","2.71","","-11.89","25,078,696"
"1969-01-01T06:00:00.000Z","2.84","3.03","1.52","1.62","-40.00","-51.89","13,839,230"
"1970-01-01T06:00:00.000Z","1.70","2.07","0.8618","1.08","-33.33","-45.22","8,380,524"
"1971-01-01T06:00:00.000Z","1.09","1.47","0.9219","1.15","6.48","-5.41","14,412,986"
"1972-01-03T06:00:00.000Z","1.16","1.71","1.10","1.30","13.04","1.15","18,359,778"
"1973-01-01T06:00:00.000Z","1.30","1.52","0.8618","1.03","-20.76","-32.65","12,020,502"
"1974-01-01T06:00:00.000Z","1.03","1.23","0.7516","0.8418","-18.45","-30.34","8,124,816"
"1975-01-01T06:00:00.000Z","0.8518","1.20","0.7315","0.8418","","-11.89","12,977,208"
"1976-01-01T06:00:00.000Z","0.8418","1.59","0.8217","1.59","88.56","76.67","20,182,602"
"1977-01-03T06:00:00.000Z","1.59","2.72","1.48","1.88","18.18","6.29","26,842,686"
"1978-01-02T06:00:00.000Z","1.85","3.82","1.74","2.98","58.65","46.76","17,617,874"
"1979-01-01T06:00:00.000Z","2.96","7.58","2.81","6.73","126.27","114.37","23,645,848"
"1980-01-01T06:00:00.000Z","6.66","12.09","4.04","10.46","55.36","43.47","32,790,130"
"1981-01-01T06:00:00.000Z","10.46","12.23","7.41","8.44","-19.31","-31.20","26,658,506"
"1982-01-01T06:00:00.000Z","8.39","8.39","3.35","4.55","-46.15","-58.04","25,314,238"
"1983-01-03T06:00:00.000Z","4.55","7.09","3.57","5.19","14.29","2.40","34,380,066"
"1984-01-02T06:00:00.000Z","5.19","6.33","4.00","4.38","-15.63","-27.52","19,870,950"
"1985-01-01T06:00:00.000Z","4.38","5.79","4.27","4.71","7.41","-4.48","20,175,186"
"1986-01-01T06:00:00.000Z","4.71","5.19","3.30","3.90","-17.24","-29.13","22,889,198"
"1987-01-01T06:00:00.000Z","3.90","5.47","2.87","3.25","-16.67","-28.56","31,286,278"
"1988-01-01T06:00:00.000Z","3.25","3.84","2.60","3.41","5.00","-6.89","23,080,000"
"1989-01-02T06:00:00.000Z","3.41","7.95","3.41","7.95","133.33","121.44","88,424,842"
"1990-01-01T06:00:00.000Z","7.85","8.98","5.79","6.33","-20.41","-32.30","89,731,612"
"1991-01-01T06:00:00.000Z","6.33","8.98","5.19","6.87","8.55","-3.34","106,497,366"
"1992-01-01T06:00:00.000Z","6.82","9.58","5.19","8.12","18.11","6.22","138,317,168"
"1993-01-01T06:00:00.000Z","8.06","14.50","7.63","10.12","24.67","12.78","178,977,126"
"1994-01-03T06:00:00.000Z","10.17","12.66","9.63","10.82","6.95","-4.94","197,964,200"
"1995-01-02T06:00:00.000Z","10.93","13.42","9.63","12.77","18.00","6.11","212,335,652"
"1996-01-01T06:00:00.000Z","12.77","16.40","10.55","15.21","19.07","7.18","260,708,716"
"1997-01-01T06:00:00.000Z","15.26","19.51","13.04","15.18","-0.1782","-12.07","286,983,152"
"1998-01-01T06:00:00.000Z","15.23","16.77","9.12","10.96","-27.81","-39.70","282,880,824"
"1999-01-01T06:00:00.000Z","10.98","21.62","7.63","15.99","45.93","34.04","520,120,090"
"2000-01-03T06:00:00.000Z","15.88","32.12","13.91","30.33","89.68","77.79","748,736,416"
"2001-01-01T06:00:00.000Z","30.14","31.55","16.56","23.75","-21.69","-33.58","1,104,362,788"
"2002-01-01T06:00:00.000Z","23.41","28.88","21.12","27.14","14.25","2.36","824,511,202"
"2003-01-01T06:00:00.000Z","27.47","41.67","26.26","40.55","49.42","37.53","811,331,664"
"2004-01-01T06:00:00.000Z","40.63","55.16","36.79","50.57","24.71","12.82","557,995,398"
"2005-01-03T06:00:00.000Z","50.57","78.15","47.45","68.52","35.50","23.61","737,652,702"
