"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.07","1.27","0.8210","1.20","","-12.24","56,816,365"
"1969-01-01T06:00:00.000Z","1.21","1.21","0.8439","1.03","-14.13","-26.37","65,574,738"
"1970-01-01T06:00:00.000Z","1.06","1.27","0.8864","1.24","19.94","7.70","68,513,359"
"1971-01-01T06:00:00.000Z","1.18","1.50","1.18","1.39","11.87","-0.3733","65,532,222"
"1972-01-03T06:00:00.000Z","1.42","1.98","1.42","1.83","32.07","19.83","64,804,318"
"1973-01-01T06:00:00.000Z","1.83","2.98","1.82","2.14","16.58","4.34","50,535,023"
"1974-01-01T06:00:00.000Z","2.14","3.16","1.94","2.61","22.40","10.16","78,413,600"
"1975-01-01T06:00:00.000Z","2.61","4.41","2.44","3.83","46.63","34.39","85,953,247"
"1976-01-01T06:00:00.000Z","3.83","4.69","3.36","4.01","4.59","-7.65","66,828,779"
"1977-01-03T06:00:00.000Z","4.01","4.06","2.43","2.96","-26.11","-38.35","79,301,423"
"1978-01-02T06:00:00.000Z","2.96","3.68","2.60","2.73","-7.80","-20.04","63,284,799"
"1979-01-01T06:00:00.000Z","2.74","4.30","2.74","4.25","55.55","43.31","74,866,361"
"1980-01-01T06:00:00.000Z","4.25","6.27","3.73","4.78","12.59","0.3466","96,398,326"
"1981-01-01T06:00:00.000Z","4.78","5.65","3.93","4.35","-9.06","-21.30","89,363,201"
"1982-01-01T06:00:00.000Z","4.33","4.75","2.73","4.20","-3.32","-15.56","149,367,686"
"1983-01-03T06:00:00.000Z","4.20","5.89","3.93","5.16","22.68","10.44","191,373,317"
"1984-01-02T06:00:00.000Z","5.16","5.59","4.22","5.32","3.08","-9.16","154,260,239"
"1985-01-01T06:00:00.000Z","5.32","7.89","5.14","7.41","39.40","27.16","177,424,222"
"1986-01-01T06:00:00.000Z","7.41","9.64","6.73","8.12","9.55","-2.69","213,501,925"
"1987-01-01T06:00:00.000Z","8.15","12.45","6.70","9.42","16.01","3.78","195,168,215"
"1988-01-01T06:00:00.000Z","9.42","12.34","8.44","9.53","1.23","-11.01","211,775,588"
"1989-01-02T06:00:00.000Z","9.53","11.27","9.24","11.09","16.36","4.12","175,365,603"
"1990-01-01T06:00:00.000Z","11.09","14.10","9.91","12.65","14.06","1.82","172,738,905"
"1991-01-01T06:00:00.000Z","12.65","17.13","11.85","17.07","34.93","22.69","134,886,414"
"1992-01-01T06:00:00.000Z","17.02","22.88","16.84","21.61","26.57","14.33","123,560,336"
"1993-01-01T06:00:00.000Z","21.61","22.42","17.33","20.45","-5.35","-17.59","141,548,134"
"1994-01-03T06:00:00.000Z","20.45","23.29","17.91","20.63","0.8472","-11.39","125,898,673"
"1995-01-02T06:00:00.000Z","20.51","27.56","20.28","24.38","18.21","5.97","137,160,920"
"1996-01-01T06:00:00.000Z","24.33","32.65","23.29","31.95","31.04","18.80","162,966,971"
"1997-01-01T06:00:00.000Z","31.95","41.43","30.68","38.02","18.99","6.75","134,146,982"
"1998-01-01T06:00:00.000Z","38.02","41.92","26.81","36.98","-2.74","-14.97","157,823,456"
"1999-01-01T06:00:00.000Z","36.75","45.53","23.75","31.03","-16.09","-28.33","215,920,836"
"2000-01-03T06:00:00.000Z","30.80","39.06","21.26","37.90","22.16","9.92","223,519,840"
"2001-01-01T06:00:00.000Z","37.56","45.30","29.82","43.37","14.41","2.18","251,574,978"
"2002-01-01T06:00:00.000Z","43.45","49.48","36.98","39.52","-8.87","-21.11","276,860,857"
