"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-12-01T06:00:00.000Z","5.58","5.58","5.58","5.58","","-9.14","192,897"
"1984-01-02T06:00:00.000Z","5.50","6.67","5.08","6.58","17.91","8.77","4,939,247"
"1985-01-01T06:00:00.000Z","6.50","11.33","6.42","10.67","62.02","52.88","6,586,397"
"1986-01-01T06:00:00.000Z","10.67","11.83","8.83","9.92","-7.03","-16.17","4,302,047"
"1987-01-01T06:00:00.000Z","9.92","10.50","7.17","8.17","-17.65","-26.79","3,472,697"
"1988-01-01T06:00:00.000Z","8.17","11.50","8.17","10.83","32.65","23.51","6,740,291"
"1989-01-02T06:00:00.000Z","10.83","12.00","9.75","11.92","10.00","0.8603","2,858,298"
"1990-01-01T06:00:00.000Z","11.92","12.50","10.42","11.08","-6.99","-16.13","2,089,250"
"1991-01-01T06:00:00.000Z","10.92","15.33","10.50","15.33","38.35","29.21","2,545,847"
"1992-01-01T06:00:00.000Z","15.33","15.92","12.67","15.67","2.17","-6.97","2,989,392"
"1993-01-01T06:00:00.000Z","15.67","21.17","15.17","18.42","17.55","8.41","3,694,247"
"1994-01-03T06:00:00.000Z","18.42","20.25","15.88","17.00","-7.69","-16.83","2,380,307"
"1995-01-02T06:00:00.000Z","16.88","23.00","16.13","23.00","35.29","26.15","2,616,200"
"1996-01-01T06:00:00.000Z","22.88","31.00","20.88","23.88","3.80","-5.34","5,469,400"
"1997-01-01T06:00:00.000Z","24.00","30.50","22.13","30.25","26.70","17.56","6,482,500"
"1998-01-01T06:00:00.000Z","29.63","32.25","24.75","32.25","6.61","-2.53","10,300,800"
"1999-01-01T06:00:00.000Z","32.50","33.00","19.63","20.44","-36.63","-45.77","15,701,700"
"2000-01-03T06:00:00.000Z","20.00","26.25","14.25","24.38","19.27","10.13","23,701,200"
"2001-01-01T06:00:00.000Z","24.50","25.75","19.45","21.25","-12.82","-21.96","20,964,200"
"2002-01-01T06:00:00.000Z","21.25","24.55","17.56","23.32","9.74","0.6018","22,915,500"
"2003-01-01T06:00:00.000Z","23.55","25.50","20.85","24.30","4.20","-4.94","44,578,142"
"2004-01-01T06:00:00.000Z","24.55","27.59","23.40","27.35","12.55","3.41","83,514,702"
"2005-01-03T06:00:00.000Z","27.40","29.97","25.00","26.16","-4.35","-13.49","84,105,300"
"2006-01-02T06:00:00.000Z","26.30","33.09","25.55","31.91","21.98","12.84","73,222,100"
"2007-01-01T06:00:00.000Z","31.81","33.47","23.87","28.04","-12.13","-21.27","113,631,053"
"2008-01-01T06:00:00.000Z","28.04","29.29","19.68","23.70","-15.48","-24.62","145,020,384"
"2009-01-01T06:00:00.000Z","23.71","30.32","20.07","29.40","24.05","14.91","147,307,757"
"2010-01-01T06:00:00.000Z","29.50","31.99","25.86","31.20","6.12","-3.02","98,262,023"
"2011-01-03T06:00:00.000Z","31.44","35.55","28.51","33.35","6.89","-2.25","117,301,118"
"2012-01-02T06:00:00.000Z","33.83","37.33","30.39","35.12","5.31","-3.83","104,623,392"
"2013-01-01T06:00:00.000Z","35.61","47.44","34.87","45.42","29.33","20.19","108,704,805"
"2014-01-01T06:00:00.000Z","45.34","58.18","44.16","55.74","22.72","13.58","148,379,388"
"2015-01-01T06:00:00.000Z","55.92","64.79","50.83","63.04","13.10","3.96","144,883,373"
"2016-01-01T06:00:00.000Z","63.02","81.97","60.00","74.15","17.62","8.48","144,441,162"
"2017-01-02T06:00:00.000Z","74.34","93.56","72.54","85.89","15.83","6.69","99,054,906"
"2018-01-01T06:00:00.000Z","85.93","100.76","76.46","92.72","7.95","-1.19","141,426,608"
"2019-01-02T06:00:00.000Z","92.29","115.19","89.19","111.86","20.64","11.50","220,526,837"
"2020-01-02T06:00:00.000Z","112.04","121.08","77.92","95.43","-14.69","-23.83","244,684,765"
"2021-01-04T06:00:00.000Z","95.40","105.30","84.59","104.77","9.79","0.6479","221,208,602"
"2022-01-03T06:00:00.000Z","105.00","122.95","97.71","112.07","6.97","-2.17","249,103,353"
"2023-01-03T06:00:00.000Z","112.34","125.28","105.78","115.47","3.03","-6.11","138,439,526"
