"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","6.30","7.70","4.84","6.63","","-9.29","2,481,600"
"1969-01-01T06:00:00.000Z","6.58","8.31","4.08","5.03","-24.06","-33.35","2,140,800"
"1970-01-01T06:00:00.000Z","5.09","5.19","3.03","4.28","-14.91","-24.20","6,577,600"
"1971-01-01T06:00:00.000Z","4.25","4.72","3.22","3.45","-19.34","-28.64","16,374,400"
"1972-01-03T06:00:00.000Z","3.50","5.38","3.05","5.38","55.66","46.36","13,193,600"
"1973-01-01T06:00:00.000Z","5.41","6.44","4.13","4.41","-18.02","-27.32","11,611,200"
"1974-01-01T06:00:00.000Z","4.41","5.50","2.75","2.81","-36.17","-45.46","9,698,400"
"1975-01-01T06:00:00.000Z","2.81","4.84","2.38","3.41","21.11","11.82","17,245,600"
"1976-01-01T06:00:00.000Z","3.38","3.64","2.19","2.72","-20.18","-29.47","13,376,800"
"1977-01-03T06:00:00.000Z","2.72","2.94","1.89","1.98","-27.01","-36.31","15,617,600"
"1978-01-02T06:00:00.000Z","2.00","2.44","1.53","1.88","-5.51","-14.81","18,624,800"
"1979-01-01T06:00:00.000Z","1.88","2.69","1.78","2.25","20.00","10.71","14,429,600"
"1980-01-01T06:00:00.000Z","2.25","3.16","1.94","2.84","26.39","17.10","34,026,400"
"1981-01-01T06:00:00.000Z","2.84","3.50","2.36","3.47","21.98","12.68","31,646,400"
"1982-01-01T06:00:00.000Z","3.44","5.02","2.69","4.53","30.63","21.33","20,912,800"
"1983-01-03T06:00:00.000Z","4.48","6.86","4.31","6.81","50.35","41.05","30,324,000"
"1984-01-02T06:00:00.000Z","6.72","8.00","5.75","8.00","17.43","8.14","31,173,200"
"1985-01-01T06:00:00.000Z","8.00","9.84","7.50","9.22","15.23","5.94","38,799,600"
"1986-01-01T06:00:00.000Z","9.22","11.88","8.63","10.31","11.86","2.57","40,848,800"
"1987-01-01T06:00:00.000Z","10.31","14.63","7.56","10.63","3.03","-6.26","51,101,600"
"1988-01-01T06:00:00.000Z","10.63","13.00","9.63","11.38","7.06","-2.23","38,838,200"
"1989-01-02T06:00:00.000Z","11.38","16.63","10.50","16.19","42.31","33.01","37,905,400"
"1990-01-01T06:00:00.000Z","16.19","16.50","7.75","10.75","-33.59","-42.88","78,515,600"
"1991-01-01T06:00:00.000Z","10.75","12.88","9.50","12.69","18.02","8.73","58,593,400"
"1992-01-01T06:00:00.000Z","12.56","14.56","11.63","14.38","13.30","4.01","54,090,200"
"1993-01-01T06:00:00.000Z","14.44","15.75","12.56","14.69","2.17","-7.12","46,394,800"
"1994-01-03T06:00:00.000Z","14.50","18.00","13.19","17.75","20.85","11.56","58,477,600"
"1995-01-02T06:00:00.000Z","17.69","25.06","16.56","25.06","41.20","31.90","52,234,200"
"1996-01-01T06:00:00.000Z","25.06","36.50","23.75","35.38","41.15","31.85","60,723,100"
