"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","3.37","4.79","3.37","4.78","","-11.41","144,288,678"
"1973-01-01T06:00:00.000Z","4.82","5.13","3.06","3.31","-30.64","-42.05","270,127,698"
"1974-01-01T06:00:00.000Z","3.05","3.55","1.31","1.91","-42.22","-53.64","324,706,015"
"1975-01-01T06:00:00.000Z","1.95","3.31","1.88","2.71","41.35","29.94","332,386,817"
"1976-01-01T06:00:00.000Z","2.70","3.12","2.28","2.99","10.54","-0.8685","320,068,946"
"1977-01-03T06:00:00.000Z","2.95","3.08","2.58","2.64","-11.69","-23.10","242,274,366"
"1978-01-02T06:00:00.000Z","2.64","3.11","2.04","2.14","-18.82","-30.23","266,099,191"
"1979-01-01T06:00:00.000Z","2.14","2.71","2.04","2.20","2.57","-8.84","293,027,746"
"1980-01-01T06:00:00.000Z","2.20","2.97","1.86","2.96","34.73","23.32","385,737,164"
"1981-01-01T06:00:00.000Z","2.96","4.00","2.76","3.25","9.63","-1.79","620,750,869"
"1982-01-01T06:00:00.000Z","3.25","5.21","2.60","4.73","45.61","34.20","880,995,398"
"1983-01-03T06:00:00.000Z","4.73","7.30","4.12","4.80","1.56","-9.86","1,058,000,251"
"1984-01-02T06:00:00.000Z","4.80","5.74","3.68","5.54","15.32","3.91","1,139,384,298"
"1985-01-01T06:00:00.000Z","5.52","8.10","5.28","7.80","40.86","29.45","1,357,366,131"
"1986-01-01T06:00:00.000Z","7.80","10.33","7.44","8.34","6.84","-4.57","1,368,182,507"
"1987-01-01T06:00:00.000Z","8.39","11.96","6.11","6.74","-19.21","-30.62","1,555,727,305"
"1988-01-01T06:00:00.000Z","6.81","8.95","6.74","7.84","16.39","4.98","828,537,730"
"1989-01-02T06:00:00.000Z","7.84","11.60","7.77","10.27","30.99","19.57","803,596,225"
"1990-01-01T06:00:00.000Z","10.27","10.38","5.15","6.07","-40.86","-52.27","1,070,645,401"
"1991-01-01T06:00:00.000Z","6.07","8.95","5.30","6.04","-0.6059","-12.02","1,430,928,803"
"1992-01-01T06:00:00.000Z","6.04","7.47","5.89","7.33","21.34","9.93","1,102,632,495"
"1993-01-01T06:00:00.000Z","7.33","10.79","6.59","9.09","24.12","12.71","1,269,968,624"
"1994-01-03T06:00:00.000Z","8.83","9.76","7.44","8.69","-4.45","-15.87","1,345,526,286"
"1995-01-02T06:00:00.000Z","8.65","13.29","8.54","12.18","40.25","28.84","1,220,859,478"
"1996-01-01T06:00:00.000Z","12.26","17.78","11.37","16.64","36.56","25.14","1,108,400,964"
"1997-01-01T06:00:00.000Z","16.49","26.95","15.79","26.28","57.96","46.55","1,196,583,175"
"1998-01-01T06:00:00.000Z","26.21","34.93","19.73","30.19","14.85","3.43","1,449,252,265"
"1999-01-01T06:00:00.000Z","30.11","49.73","27.94","48.96","62.20","50.78","1,549,919,813"
"2000-01-03T06:00:00.000Z","48.44","55.66","35.19","48.54","-0.8636","-12.28","1,448,585,508"
"2001-01-01T06:00:00.000Z","48.15","50.41","21.38","31.53","-35.04","-46.45","1,679,178,165"
"2002-01-01T06:00:00.000Z","31.50","39.68","23.46","31.23","-0.9527","-12.37","1,464,328,028"
"2003-01-01T06:00:00.000Z","31.63","43.39","27.30","42.61","36.44","25.02","1,306,606,039"
"2004-01-01T06:00:00.000Z","42.79","50.40","41.81","49.80","16.88","5.46","1,114,087,500"
"2005-01-03T06:00:00.000Z","50.01","53.06","43.74","51.46","3.33","-8.09","1,441,494,305"
"2006-01-02T06:00:00.000Z","51.70","62.50","49.73","60.67","17.90","6.48","1,242,925,921"
"2007-01-01T06:00:00.000Z","61.18","65.89","50.37","52.02","-14.26","-25.67","1,876,075,062"
"2008-01-01T06:00:00.000Z","52.09","52.63","16.55","18.55","-64.34","-75.75","3,758,375,433"
"2009-01-01T06:00:00.000Z","18.57","42.25","9.71","40.52","118.44","107.02","4,834,253,243"
"2010-01-01T06:00:00.000Z","40.81","49.19","36.60","42.92","5.92","-5.49","2,752,022,070"
"2011-01-03T06:00:00.000Z","43.30","53.80","41.30","47.17","9.90","-1.51","1,989,653,694"
"2012-01-02T06:00:00.000Z","48.30","61.42","47.40","57.48","21.86","10.44","1,405,969,806"
"2013-01-01T06:00:00.000Z","58.33","90.79","58.31","90.73","57.85","46.43","1,200,464,422"
"2014-01-01T06:00:00.000Z","90.90","96.24","78.41","93.04","2.55","-8.87","964,864,366"
"2015-01-01T06:00:00.000Z","93.17","93.94","67.57","69.55","-25.25","-36.66","1,605,298,594"
"2016-01-01T06:00:00.000Z","68.09","75.74","50.27","74.08","6.51","-4.90","1,400,324,802"
"2017-01-02T06:00:00.000Z","74.89","100.53","74.74","99.31","34.06","22.64","896,245,167"
"2018-01-01T06:00:00.000Z","99.73","114.55","87.54","95.32","-4.02","-15.43","924,753,783"
"2019-01-02T06:00:00.000Z","93.91","129.34","93.23","124.49","30.60","19.19","823,830,386"
"2020-01-02T06:00:00.000Z","124.66","138.13","67.00","120.91","-2.88","-14.29","1,326,853,454"
"2021-01-04T06:00:00.000Z","121.30","189.03","112.10","163.60","35.31","23.89","899,513,391"
"2022-01-03T06:00:00.000Z","164.51","199.55","130.65","147.75","-9.69","-21.10","876,064,456"
"2023-01-03T06:00:00.000Z","149.54","182.15","144.20","159.62","8.03","-3.38","536,012,268"
