"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","3.11","4.89","3.11","4.45","","-10.64","17,950,400"
"1973-01-01T06:00:00.000Z","4.45","5.25","4.16","4.94","10.88","0.2418","22,442,400"
"1974-01-01T06:00:00.000Z","4.89","4.97","0.8281","0.9375","-81.01","-91.65","41,990,400"
"1975-01-01T06:00:00.000Z","0.9531","1.72","0.9531","1.22","30.01","19.37","51,606,400"
"1976-01-01T06:00:00.000Z","1.23","1.56","1.16","1.52","24.35","13.72","44,613,600"
"1977-01-03T06:00:00.000Z","1.53","1.59","1.28","1.42","-6.18","-16.82","36,888,000"
"1978-01-02T06:00:00.000Z","1.41","2.08","1.41","1.50","5.49","-5.14","48,376,000"
"1979-01-01T06:00:00.000Z","1.50","2.08","1.39","1.70","13.54","2.90","38,280,800"
"1980-01-01T06:00:00.000Z","1.70","2.08","1.25","1.69","-0.9160","-11.55","57,035,200"
"1981-01-01T06:00:00.000Z","1.69","2.25","1.63","1.86","10.19","-0.4493","59,208,800"
"1982-01-01T06:00:00.000Z","1.86","2.58","1.47","2.34","26.05","15.42","80,768,800"
"1983-01-03T06:00:00.000Z","2.38","3.73","2.31","3.42","46.00","35.36","110,987,200"
"1984-01-02T06:00:00.000Z","3.42","4.56","2.88","4.48","31.05","20.41","81,804,000"
"1985-01-01T06:00:00.000Z","4.47","5.89","4.23","5.66","26.13","15.49","134,027,200"
"1986-01-01T06:00:00.000Z","5.63","6.94","5.00","5.38","-4.97","-15.61","209,877,200"
"1987-01-01T06:00:00.000Z","5.44","7.28","3.88","4.31","-19.77","-30.40","213,136,400"
"1988-01-01T06:00:00.000Z","4.38","7.28","4.38","6.81","57.97","47.34","191,317,200"
"1989-01-02T06:00:00.000Z","6.81","13.75","6.75","11.56","69.72","59.09","306,029,192"
"1990-01-01T06:00:00.000Z","11.56","11.81","4.22","5.72","-50.54","-61.18","409,998,000"
"1991-01-01T06:00:00.000Z","5.72","10.69","5.38","10.16","77.59","66.96","402,318,000"
"1992-01-01T06:00:00.000Z","10.09","13.34","9.91","12.84","26.46","15.83","739,217,572"
"1993-01-01T06:00:00.000Z","12.91","14.50","11.13","12.25","-4.62","-15.26","674,723,592"
"1994-01-03T06:00:00.000Z","12.22","14.34","10.84","11.28","-7.91","-18.54","760,150,408"
"1995-01-02T06:00:00.000Z","11.28","18.69","11.16","17.41","54.29","43.66","732,272,400"
"1996-01-01T06:00:00.000Z","17.34","26.31","16.09","24.44","40.40","29.76","984,445,996"
"1997-01-01T06:00:00.000Z","24.50","35.84","24.00","30.41","24.42","13.79","1,197,064,188"
"1998-01-01T06:00:00.000Z","30.50","44.22","22.00","30.06","-1.13","-11.77","1,889,038,006"
"1999-01-01T06:00:00.000Z","29.88","38.19","23.81","25.09","-16.53","-27.16","2,264,103,218"
"2000-01-03T06:00:00.000Z","25.13","30.50","18.16","22.94","-8.59","-19.23","2,938,067,754"
"2001-01-01T06:00:00.000Z","22.66","32.77","22.50","31.48","37.22","26.58","2,985,066,982"
"2002-01-01T06:00:00.000Z","31.16","38.55","26.98","34.78","10.52","-0.1197","3,255,320,456"
"2003-01-01T06:00:00.000Z","34.95","42.45","32.13","40.22","15.61","4.97","3,116,096,800"
"2004-01-01T06:00:00.000Z","39.88","47.47","38.51","46.99","16.85","6.21","2,615,295,257"
"2005-01-03T06:00:00.000Z","46.66","47.44","41.13","46.15","-1.79","-12.42","2,846,397,570"
"2006-01-02T06:00:00.000Z","46.92","55.08","42.75","53.39","15.69","5.05","3,230,900,677"
"2007-01-01T06:00:00.000Z","53.40","54.21","40.61","41.26","-22.72","-33.36","5,683,898,070"
"2008-01-01T06:00:00.000Z","41.53","45.08","10.01","14.08","-65.87","-76.51","19,906,935,872"
"2009-01-01T06:00:00.000Z","13.92","19.10","2.53","15.06","6.96","-3.68","83,694,139,264"
"2010-01-01T06:00:00.000Z","15.24","19.86","10.91","13.34","-11.42","-22.06","47,622,495,856"
"2011-01-03T06:00:00.000Z","13.85","15.31","4.92","5.56","-58.32","-68.96","53,652,708,320"
"2012-01-02T06:00:00.000Z","5.75","11.69","5.62","11.61","108.81","98.18","49,416,525,264"
"2013-01-01T06:00:00.000Z","12.05","15.98","10.98","15.57","34.11","23.47","30,122,977,790"
"2014-01-01T06:00:00.000Z","15.69","18.21","14.37","17.89","14.90","4.26","21,597,161,626"
"2015-01-01T06:00:00.000Z","17.99","18.48","14.60","16.83","-5.93","-16.56","21,277,964,247"
"2016-01-01T06:00:00.000Z","16.45","23.39","10.99","22.10","31.31","20.68","27,335,086,163"
"2017-01-02T06:00:00.000Z","22.60","30.03","22.01","29.52","33.57","22.94","19,798,476,278"
"2018-01-01T06:00:00.000Z","29.75","33.05","22.66","24.64","-16.53","-27.17","17,052,195,556"
"2019-01-02T06:00:00.000Z","24.08","35.72","24.01","35.22","42.94","32.30","13,669,002,640"
"2020-01-02T06:00:00.000Z","35.35","35.67","17.95","30.31","-13.94","-24.58","17,219,358,003"
"2021-01-04T06:00:00.000Z","30.46","48.69","29.57","44.49","46.78","36.15","12,207,746,110"
"2022-01-03T06:00:00.000Z","45.09","50.11","29.31","33.12","-25.56","-36.19","11,684,807,760"
"2023-01-03T06:00:00.000Z","33.23","37.00","26.32","28.98","-12.50","-23.14","8,350,158,506"
