"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-12-01T06:00:00.000Z","0.3340","0.3340","0.3125","0.3203","","-13.56","3,756,800"
"1973-01-01T06:00:00.000Z","0.3359","0.3438","0.1250","0.1328","-58.54","-72.09","41,779,200"
"1974-01-01T06:00:00.000Z","0.1328","0.2305","0.1289","0.1758","32.38","18.82","17,574,400"
"1975-01-01T06:00:00.000Z","0.1777","0.3164","0.1777","0.2910","65.53","51.97","23,859,200"
"1976-01-01T06:00:00.000Z","0.2891","0.3945","0.2559","0.2949","1.34","-12.22","42,144,000"
"1977-01-03T06:00:00.000Z","0.2988","0.3301","0.2578","0.2949","","-13.56","26,726,400"
"1978-01-02T06:00:00.000Z","0.2949","0.4473","0.2891","0.3516","19.23","5.67","45,606,400"
"1979-01-01T06:00:00.000Z","0.3516","0.4512","0.3242","0.3633","3.33","-10.23","45,433,600"
"1980-01-01T06:00:00.000Z","0.3633","0.4570","0.2969","0.4199","15.58","2.02","80,006,400"
"1981-01-01T06:00:00.000Z","0.4199","0.5625","0.3809","0.5254","25.13","11.57","75,366,400"
"1982-01-01T06:00:00.000Z","0.5254","1.00","0.4785","0.8945","70.25","56.70","98,512,000"
"1983-01-03T06:00:00.000Z","0.8945","1.14","0.7930","0.9766","9.18","-4.38","73,350,400"
"1984-01-02T06:00:00.000Z","0.9805","1.42","0.8906","1.41","43.99","30.43","71,401,600"
"1985-01-01T06:00:00.000Z","1.41","2.00","1.36","1.93","37.23","23.67","83,760,000"
"1986-01-01T06:00:00.000Z","1.93","2.84","1.64","2.20","14.17","0.6122","97,563,200"
"1987-01-01T06:00:00.000Z","2.22","3.03","1.70","2.21","0.3540","-13.20","132,992,000"
"1988-01-01T06:00:00.000Z","2.21","2.24","1.60","1.74","-21.20","-34.76","172,617,600"
"1989-01-02T06:00:00.000Z","1.74","2.15","1.58","2.10","20.63","7.07","146,320,000"
"1990-01-01T06:00:00.000Z","2.10","2.16","1.63","1.68","-20.08","-33.63","106,697,600"
"1991-01-01T06:00:00.000Z","1.68","2.39","1.60","2.38","41.39","27.84","228,064,000"
"1992-01-01T06:00:00.000Z","2.39","2.47","1.75","2.21","-6.91","-20.47","262,524,800"
"1993-01-01T06:00:00.000Z","2.23","2.33","1.57","1.89","-14.49","-28.04","356,240,000"
"1994-01-03T06:00:00.000Z","1.88","2.01","1.52","1.97","4.14","-9.42","323,873,600"
"1995-01-02T06:00:00.000Z","1.97","2.42","1.61","1.73","-11.91","-25.46","528,846,400"
"1996-01-01T06:00:00.000Z","1.73","2.02","1.45","1.64","-5.41","-18.96","461,288,000"
"1997-01-01T06:00:00.000Z","1.62","2.44","1.48","2.21","34.76","21.21","398,427,200"
"1998-01-01T06:00:00.000Z","2.20","3.06","1.79","2.86","29.33","15.78","601,440,000"
"1999-01-01T06:00:00.000Z","2.91","3.70","2.21","2.46","-13.94","-27.49","696,196,800"
"2000-01-03T06:00:00.000Z","2.45","3.00","1.63","2.88","16.99","3.43","583,411,200"
"2001-01-01T06:00:00.000Z","2.86","4.51","2.38","4.42","53.49","39.93","840,227,200"
"2002-01-01T06:00:00.000Z","4.42","6.81","4.08","6.40","44.81","31.25","1,073,904,800"
"2003-01-01T06:00:00.000Z","6.42","7.47","5.29","7.45","16.37","2.82","965,333,728"
"2004-01-01T06:00:00.000Z","7.42","11.30","7.06","10.99","47.66","34.10","653,122,400"
"2005-01-03T06:00:00.000Z","11.00","11.61","8.77","9.93","-9.69","-23.24","606,764,800"
"2006-01-02T06:00:00.000Z","10.06","11.25","8.54","10.90","9.77","-3.79","639,674,000"
"2007-01-01T06:00:00.000Z","10.93","14.01","10.88","11.25","3.21","-10.34","850,787,048"
"2008-01-01T06:00:00.000Z","11.27","14.05","6.84","10.40","-7.58","-21.13","1,061,786,420"
"2009-01-01T06:00:00.000Z","10.56","13.12","9.13","12.93","24.31","10.75","1,123,507,312"
"2010-01-01T06:00:00.000Z","12.96","17.43","11.68","17.01","31.62","18.07","782,603,488"
"2011-01-03T06:00:00.000Z","17.19","20.28","14.85","17.86","4.95","-8.60","757,665,054"
"2012-01-02T06:00:00.000Z","18.12","22.73","17.83","22.38","25.32","11.76","497,069,826"
"2013-01-01T06:00:00.000Z","22.71","25.98","20.76","25.83","15.44","1.89","472,609,750"
"2014-01-01T06:00:00.000Z","25.63","35.25","23.88","34.09","31.96","18.40","491,361,694"
"2015-01-01T06:00:00.000Z","34.30","38.60","28.98","36.37","6.69","-6.87","560,483,232"
"2016-01-01T06:00:00.000Z","35.80","41.12","31.15","37.53","3.22","-10.34","793,775,640"
"2017-01-02T06:00:00.000Z","37.85","43.24","35.65","37.85","0.8392","-12.72","609,833,912"
"2018-01-01T06:00:00.000Z","38.12","50.98","34.71","45.98","21.48","7.92","773,746,601"
"2019-01-02T06:00:00.000Z","45.25","81.88","43.87","64.67","40.65","27.09","575,040,156"
"2020-01-02T06:00:00.000Z","64.67","102.76","51.26","93.18","44.09","30.53","518,891,932"
"2021-01-04T06:00:00.000Z","91.73","98.09","77.95","96.27","3.32","-10.24","483,053,300"
"2022-01-03T06:00:00.000Z","95.96","97.99","46.00","51.14","-46.88","-60.43","535,889,357"
"2023-01-03T06:00:00.000Z","51.55","62.14","49.70","54.93","7.41","-6.14","294,904,498"
