"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.36","1.76","1.11","1.29","","-9.27","81,315,291"
"1969-01-01T06:00:00.000Z","1.30","2.03","1.29","1.92","49.53","40.25","69,980,570"
"1970-01-01T06:00:00.000Z","1.94","2.21","1.27","1.68","-12.66","-21.93","112,568,625"
"1971-01-01T06:00:00.000Z","1.66","2.53","1.66","2.32","38.16","28.89","68,761,522"
"1972-01-03T06:00:00.000Z","2.39","3.65","2.34","3.62","55.95","46.67","64,613,376"
"1973-01-01T06:00:00.000Z","3.62","4.00","2.68","3.13","-13.68","-22.95","90,342,621"
"1974-01-01T06:00:00.000Z","3.13","3.16","1.57","2.23","-28.83","-38.10","100,301,235"
"1975-01-01T06:00:00.000Z","2.27","3.34","2.05","2.57","15.69","6.42","109,594,938"
"1976-01-01T06:00:00.000Z","2.57","3.01","2.14","2.63","2.21","-7.07","157,022,217"
"1977-01-03T06:00:00.000Z","2.63","2.66","1.84","2.47","-6.17","-15.44","149,821,864"
"1978-01-02T06:00:00.000Z","2.47","3.23","2.12","2.66","7.89","-1.38","188,541,891"
"1979-01-01T06:00:00.000Z","2.65","3.22","2.30","3.09","15.85","6.58","179,917,806"
"1980-01-01T06:00:00.000Z","3.09","3.68","2.32","3.44","11.32","2.04","330,172,759"
"1981-01-01T06:00:00.000Z","3.44","4.39","2.11","4.35","26.71","17.44","263,971,861"
"1982-01-01T06:00:00.000Z","4.37","6.63","3.95","6.29","44.40","35.13","287,637,768"
"1983-01-03T06:00:00.000Z","6.29","8.14","5.20","6.04","-3.88","-13.15","278,767,009"
"1984-01-02T06:00:00.000Z","6.04","6.46","3.05","3.41","-43.55","-52.82","468,405,415"
"1985-01-01T06:00:00.000Z","3.41","4.39","3.22","4.09","20.00","10.73","580,050,023"
"1986-01-01T06:00:00.000Z","4.09","5.52","3.93","5.00","22.22","12.95","636,949,922"
"1987-01-01T06:00:00.000Z","5.00","7.60","4.03","5.91","18.18","8.91","807,099,002"
"1988-01-01T06:00:00.000Z","5.91","6.79","4.22","4.58","-22.53","-31.80","780,250,771"
"1989-01-02T06:00:00.000Z","4.58","6.72","4.55","6.50","41.84","32.57","701,712,430"
"1990-01-01T06:00:00.000Z","6.50","7.67","5.33","7.24","11.50","2.23","771,472,730"
"1991-01-01T06:00:00.000Z","7.24","10.62","6.66","10.39","43.50","34.23","595,895,248"
"1992-01-01T06:00:00.000Z","10.33","10.53","7.93","8.41","-19.06","-28.33","588,635,630"
"1993-01-01T06:00:00.000Z","8.48","8.51","5.20","6.33","-24.71","-33.98","895,367,013"
"1994-01-03T06:00:00.000Z","6.27","7.50","5.62","7.34","15.90","6.63","622,751,965"
"1995-01-02T06:00:00.000Z","7.31","11.63","6.95","10.88","48.23","38.96","707,163,869"
"1996-01-01T06:00:00.000Z","10.88","12.51","10.33","10.65","-2.09","-11.36","944,380,480"
"1997-01-01T06:00:00.000Z","10.65","15.66","10.36","13.11","23.02","13.75","749,560,309"
