"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1988-12-01T06:00:00.000Z","3.91","3.92","3.83","3.83","","-6.13","17,316,630"
"1989-01-02T06:00:00.000Z","3.84","3.92","3.27","3.77","-1.43","-7.56","54,078,678"
"1990-01-01T06:00:00.000Z","3.77","4.02","2.69","2.79","-26.09","-32.21","23,526,050"
"1991-01-01T06:00:00.000Z","2.79","3.58","2.56","3.06","9.81","3.68","8,522,317"
"1992-01-01T06:00:00.000Z","3.09","3.28","2.06","2.27","-25.89","-32.02","13,917,967"
"1993-01-01T06:00:00.000Z","2.24","2.98","2.23","2.43","7.23","1.10","95,852,341"
"1994-01-03T06:00:00.000Z","2.45","2.94","2.27","2.68","10.12","3.99","89,086,616"
"1995-01-02T06:00:00.000Z","2.64","3.95","2.57","3.91","45.92","39.79","55,036,036"
"1996-01-01T06:00:00.000Z","3.98","5.89","3.85","5.84","49.30","43.17","35,269,415"
"1997-01-01T06:00:00.000Z","5.85","10.74","5.71","10.60","81.62","75.49","30,613,821"
"1998-01-01T06:00:00.000Z","10.66","20.73","8.92","15.75","48.55","42.43","25,610,461"
"1999-01-01T06:00:00.000Z","16.18","17.22","11.44","13.96","-11.33","-17.45","10,181,767"
"2000-01-03T06:00:00.000Z","14.15","15.50","11.56","14.45","3.52","-2.60","20,946,802"
"2001-01-01T06:00:00.000Z","14.58","16.36","8.32","12.25","-15.23","-21.36","61,257,842"
"2002-01-01T06:00:00.000Z","12.36","12.70","6.81","9.56","-22.01","-28.13","60,120,389"
"2003-01-01T06:00:00.000Z","9.57","13.68","7.33","13.63","42.64","36.51","49,522,705"
"2004-01-01T06:00:00.000Z","13.77","17.57","11.81","17.46","28.09","21.96","38,547,524"
"2005-01-03T06:00:00.000Z","17.50","17.74","14.60","17.57","0.6198","-5.51","47,837,659"
"2006-01-02T06:00:00.000Z","17.86","24.87","17.78","23.68","34.79","28.66","91,714,383"
"2007-01-01T06:00:00.000Z","24.48","25.91","21.17","23.87","0.7898","-5.34","468,293,339"
"2008-01-01T06:00:00.000Z","24.04","24.06","8.25","12.29","-48.49","-54.62","296,146,389"
"2009-01-01T06:00:00.000Z","12.19","19.78","5.59","18.04","46.76","40.64","268,235,209"
"2010-01-01T06:00:00.000Z","18.45","19.10","8.65","10.17","-43.63","-49.75","555,136,630"
"2011-01-03T06:00:00.000Z","10.18","13.01","7.02","8.57","-15.73","-21.86","586,945,920"
"2012-01-02T06:00:00.000Z","8.76","9.75","5.30","9.42","9.92","3.79","405,289,984"
"2013-01-01T06:00:00.000Z","9.58","12.90","8.13","12.39","31.53","25.40","396,776,059"
"2014-01-01T06:00:00.000Z","12.04","13.60","9.39","9.39","-24.21","-30.34","400,484,719"
"2015-01-01T06:00:00.000Z","9.61","10.75","7.32","7.33","-21.94","-28.06","588,119,578"
"2016-01-01T06:00:00.000Z","7.21","7.67","5.14","6.77","-7.64","-13.77","830,925,584"
"2017-01-02T06:00:00.000Z","6.89","9.35","6.34","8.50","25.55","19.43","760,828,787"
"2018-01-01T06:00:00.000Z","8.52","9.54","4.99","5.29","-37.76","-43.89","943,865,052"
"2019-01-02T06:00:00.000Z","5.18","6.44","4.62","5.58","5.48","-0.6439","988,868,995"
"2020-01-02T06:00:00.000Z","5.66","5.80","2.49","4.94","-11.47","-17.60","1,176,955,788"
"2021-01-04T06:00:00.000Z","5.00","7.25","4.53","5.87","18.83","12.70","535,773,237"
"2022-01-03T06:00:00.000Z","5.90","6.97","3.93","6.01","2.39","-3.74","646,211,045"
"2023-01-03T06:00:00.000Z","6.16","8.18","6.15","7.81","29.95","23.82","247,266,924"
