"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.77","2.13","1.66","1.98","","-8.32","2,031,926"
"1969-01-01T06:00:00.000Z","1.98","2.05","1.67","1.70","-14.40","-22.73","1,267,889"
"1972-04-03T06:00:00.000Z","1.94","1.96","1.82","1.89","11.74","3.42","385,470"
"1973-01-01T06:00:00.000Z","1.91","1.93","1.66","1.73","-8.52","-16.84","3,125,800"
"1974-01-01T06:00:00.000Z","1.75","1.94","1.70","1.88","8.38","0.0591","66,186,185"
"1975-01-01T06:00:00.000Z","1.88","2.08","1.75","1.85","-1.43","-9.76","59,918,174"
"1976-01-01T06:00:00.000Z","1.85","2.26","1.85","2.03","9.88","1.56","57,437,891"
"1977-01-03T06:00:00.000Z","2.05","2.29","1.95","2.13","4.50","-3.83","39,509,546"
"1978-01-02T06:00:00.000Z","2.13","2.40","2.03","2.36","11.14","2.81","24,103,250"
"1979-01-01T06:00:00.000Z","2.36","2.56","2.05","2.24","-5.01","-13.34","8,810,697"
"1980-01-01T06:00:00.000Z","2.26","2.37","1.87","2.16","-3.60","-11.92","7,899,597"
"1981-01-01T06:00:00.000Z","2.15","2.21","1.82","2.12","-2.24","-10.57","15,907,736"
"1982-01-01T06:00:00.000Z","2.10","2.55","1.71","2.55","20.61","12.29","21,250,604"
"1983-01-03T06:00:00.000Z","2.55","3.50","2.34","3.49","36.71","28.39","110,793,337"
"1984-01-02T06:00:00.000Z","3.49","3.50","2.89","3.47","-0.4645","-8.79","81,920,624"
"1985-01-01T06:00:00.000Z","3.46","4.26","3.36","3.89","12.09","3.77","70,244,730"
"1986-01-01T06:00:00.000Z","3.86","3.88","3.21","3.49","-10.37","-18.70","96,550,508"
"1987-01-01T06:00:00.000Z","3.49","4.31","3.04","3.68","5.56","-2.77","169,076,004"
"1988-01-01T06:00:00.000Z","3.70","4.21","3.63","4.04","9.65","1.32","85,890,243"
"1989-01-02T06:00:00.000Z","4.02","5.09","3.94","5.07","25.60","17.27","235,451,971"
"1990-01-01T06:00:00.000Z","5.07","5.17","3.91","4.41","-13.06","-21.38","275,969,601"
"1991-01-01T06:00:00.000Z","4.41","5.51","4.31","5.33","20.88","12.55","156,294,684"
"1992-01-01T06:00:00.000Z","5.34","5.59","4.15","4.20","-21.21","-29.54","127,844,626"
"1993-01-01T06:00:00.000Z","4.21","4.91","4.13","4.51","7.31","-1.02","549,559,839"
"1994-01-03T06:00:00.000Z","4.51","5.01","4.09","4.15","-7.89","-16.21","305,281,239"
"1995-01-02T06:00:00.000Z","4.17","4.52","3.75","4.46","7.39","-0.9313","337,523,652"
"1996-01-01T06:00:00.000Z","4.47","6.56","4.44","6.17","38.41","30.08","333,742,892"
"1997-01-01T06:00:00.000Z","6.15","8.78","5.68","8.61","39.53","31.20","270,220,290"
"1998-01-01T06:00:00.000Z","8.61","12.05","6.62","9.80","13.88","5.56","220,794,609"
"1999-01-01T06:00:00.000Z","9.75","25.40","9.64","23.30","137.73","129.40","219,562,606"
"2000-01-03T06:00:00.000Z","23.64","35.52","20.09","31.63","35.73","27.40","572,875,683"
"2001-01-01T06:00:00.000Z","31.56","32.17","22.50","24.92","-21.21","-29.53","73,991,006"
"2002-01-01T06:00:00.000Z","24.87","25.38","15.95","19.68","-21.01","-29.33","103,737,266"
"2003-01-01T06:00:00.000Z","19.83","26.05","19.67","24.44","24.15","15.83","78,186,488"
"2004-01-01T06:00:00.000Z","24.60","26.93","20.40","26.37","7.92","-0.4081","68,372,650"
"2005-01-03T06:00:00.000Z","26.23","30.90","24.44","26.18","-0.7459","-9.07","76,738,092"
"2006-01-02T06:00:00.000Z","26.08","30.02","22.23","27.00","3.15","-5.17","78,759,393"
"2007-01-01T06:00:00.000Z","26.97","44.59","24.51","39.74","47.19","38.86","188,288,949"
"2008-01-01T06:00:00.000Z","39.82","40.00","16.85","20.49","-48.44","-56.76","343,774,236"
"2009-01-01T06:00:00.000Z","20.55","27.68","18.45","27.61","34.75","26.42","240,277,466"
"2010-01-01T06:00:00.000Z","28.09","35.94","25.68","35.46","28.43","20.11","219,820,263"
"2011-01-03T06:00:00.000Z","35.67","41.75","34.08","41.67","17.51","9.19","172,451,182"
"2012-01-02T06:00:00.000Z","42.46","45.68","39.03","42.94","3.05","-5.28","148,077,112"
"2013-01-01T06:00:00.000Z","43.59","48.06","38.72","43.29","0.8151","-7.51","200,147,255"
"2014-01-01T06:00:00.000Z","43.34","47.98","40.60","45.86","5.94","-2.39","185,976,356"
"2015-01-01T06:00:00.000Z","45.69","48.27","31.49","38.62","-15.79","-24.11","252,852,258"
"2016-01-01T06:00:00.000Z","38.09","49.03","35.96","43.24","11.96","3.64","206,320,905"
"2017-01-02T06:00:00.000Z","43.23","49.06","42.44","48.01","11.03","2.71","212,612,118"
"2018-01-01T06:00:00.000Z","48.04","48.27","38.75","39.53","-17.66","-25.99","234,263,339"
"2019-01-02T06:00:00.000Z","39.27","49.58","39.00","46.35","17.25","8.93","213,309,070"
"2020-01-02T06:00:00.000Z","46.39","49.26","31.66","42.80","-7.66","-15.98","298,515,969"
"2021-01-04T06:00:00.000Z","43.18","53.00","42.34","52.04","21.59","13.26","301,169,242"
"2022-01-03T06:00:00.000Z","52.05","59.34","39.88","43.95","-15.55","-23.87","369,578,229"
"2023-01-03T06:00:00.000Z","43.74","48.38","40.27","41.45","-5.69","-14.01","216,805,223"
