"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1986-09-01T05:00:00.000Z","5.47","5.54","4.73","5.49","","-6.26","2,170,896"
"1987-01-01T06:00:00.000Z","5.54","7.59","5.18","6.03","9.76","3.49","43,528,384"
"1988-01-01T06:00:00.000Z","6.25","6.70","4.71","5.22","-13.33","-19.60","8,869,616"
"1989-01-02T06:00:00.000Z","5.29","6.61","4.78","6.61","26.50","20.23","19,419,324"
"1990-01-01T06:00:00.000Z","6.61","7.69","5.50","7.06","6.89","0.6263","15,864,928"
"1991-01-01T06:00:00.000Z","6.94","9.00","6.00","7.00","-0.8850","-7.15","4,010,400"
"1992-01-01T06:00:00.000Z","6.88","7.63","5.03","5.81","-16.96","-23.23","6,424,400"
"1993-01-01T06:00:00.000Z","5.91","9.75","5.63","9.44","62.37","56.10","7,514,800"
"1994-01-03T06:00:00.000Z","9.38","10.00","7.50","9.56","1.32","-4.94","10,365,200"
"1995-01-02T06:00:00.000Z","9.59","12.56","9.00","11.31","18.30","12.04","11,323,200"
"1996-01-01T06:00:00.000Z","11.69","17.50","10.50","17.19","51.93","45.67","11,613,600"
"1997-01-01T06:00:00.000Z","17.13","28.91","15.94","27.30","58.82","52.55","9,057,600"
"1998-01-01T06:00:00.000Z","27.38","32.72","14.59","22.50","-17.57","-23.84","4,855,600"
"1999-01-01T06:00:00.000Z","21.84","32.50","21.25","28.78","27.92","21.65","3,561,200"
"2000-01-03T06:00:00.000Z","29.00","32.19","22.31","32.19","11.84","5.57","7,248,000"
"2001-01-01T06:00:00.000Z","31.94","35.00","21.50","33.64","4.50","-1.76","11,760,000"
"2002-01-01T06:00:00.000Z","33.15","38.00","21.37","24.70","-26.57","-32.83","25,473,600"
"2003-01-01T06:00:00.000Z","24.91","36.57","20.30","36.35","47.17","40.90","29,658,580"
"2004-01-01T06:00:00.000Z","36.70","45.99","32.78","45.68","25.67","19.40","41,175,300"
"2005-01-03T06:00:00.000Z","45.97","47.00","37.16","42.08","-7.88","-14.15","52,663,200"
"2006-01-02T06:00:00.000Z","42.75","61.52","41.80","58.14","38.17","31.90","86,475,101"
"2007-01-01T06:00:00.000Z","59.42","62.68","38.14","40.37","-30.56","-36.83","203,331,153"
"2008-01-01T06:00:00.000Z","41.10","41.58","7.13","9.80","-75.72","-81.99","447,019,311"
"2009-01-01T06:00:00.000Z","9.07","25.68","2.75","17.60","79.59","73.33","984,748,203"
"2010-01-01T06:00:00.000Z","18.13","24.11","15.36","16.52","-6.14","-12.40","669,451,761"
"2011-01-03T06:00:00.000Z","16.71","21.69","8.38","10.99","-33.47","-39.74","1,056,920,579"
"2012-01-02T06:00:00.000Z","11.46","17.54","9.23","17.32","57.60","51.33","1,231,196,112"
"2013-01-01T06:00:00.000Z","17.95","20.60","15.83","18.13","4.68","-1.59","668,101,551"
"2014-01-01T06:00:00.000Z","18.10","19.59","13.27","15.01","-17.21","-23.47","697,933,613"
"2015-01-01T06:00:00.000Z","15.10","18.05","12.65","12.96","-13.66","-19.92","668,544,252"
"2016-01-01T06:00:00.000Z","12.63","12.86","6.76","11.00","-15.12","-21.39","1,709,085,392"
"2017-01-02T06:00:00.000Z","11.38","11.96","9.29","10.90","-0.9091","-7.17","741,977,271"
"2018-01-01T06:00:00.000Z","10.98","12.55","7.07","7.54","-30.83","-37.09","876,400,958"
"2019-01-02T06:00:00.000Z","7.40","10.22","6.54","9.52","26.26","20.00","763,806,823"
"2020-01-02T06:00:00.000Z","9.69","9.76","3.41","7.99","-16.07","-22.34","1,151,045,483"
"2021-01-04T06:00:00.000Z","7.94","11.40","7.21","10.35","29.54","23.27","1,290,156,889"
"2022-01-03T06:00:00.000Z","10.49","12.20","5.88","7.80","-24.64","-30.90","1,943,780,190"
"2023-01-03T06:00:00.000Z","7.93","9.44","6.38","7.55","-3.21","-9.47","1,361,894,645"
