"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","3.75","4.45","3.34","4.08","","-10.26","24,062,115"
"1969-01-01T06:00:00.000Z","4.02","4.07","2.57","3.50","-14.37","-24.62","27,672,579"
"1970-01-01T06:00:00.000Z","3.51","3.73","1.71","2.31","-33.99","-44.25","77,044,283"
"1971-01-01T06:00:00.000Z","2.22","2.78","1.55","2.10","-8.91","-19.17","90,048,579"
"1972-01-03T06:00:00.000Z","2.12","3.07","2.04","2.62","24.64","14.38","102,603,219"
"1973-01-01T06:00:00.000Z","2.64","2.73","1.97","2.29","-12.79","-23.05","57,948,114"
"1974-01-01T06:00:00.000Z","2.29","2.44","1.24","1.68","-26.67","-36.92","41,469,546"
"1975-01-01T06:00:00.000Z","1.71","2.44","1.71","2.38","41.82","31.56","65,375,862"
"1976-01-01T06:00:00.000Z","2.39","2.61","1.97","2.06","-13.46","-23.72","60,555,875"
"1977-01-03T06:00:00.000Z","2.07","2.13","1.55","1.92","-6.67","-16.93","76,220,436"
"1978-01-02T06:00:00.000Z","1.92","2.50","1.85","1.90","-0.7919","-11.05","133,572,950"
"1979-01-01T06:00:00.000Z","1.90","2.22","1.67","2.07","8.80","-1.46","96,726,334"
"1980-01-01T06:00:00.000Z","2.07","3.21","1.60","3.18","53.68","43.42","130,917,593"
"1981-01-01T06:00:00.000Z","3.20","3.32","2.26","2.91","-8.61","-18.87","86,682,627"
"1982-01-01T06:00:00.000Z","2.91","3.07","2.19","2.59","-10.99","-21.25","148,213,454"
"1983-01-03T06:00:00.000Z","2.60","3.26","2.07","2.24","-13.53","-23.79","233,409,346"
"1984-01-02T06:00:00.000Z","2.28","2.51","1.87","2.41","7.82","-2.43","156,630,804"
"1985-01-01T06:00:00.000Z","2.41","4.02","2.41","3.78","56.47","46.21","267,810,672"
"1986-01-01T06:00:00.000Z","3.78","7.46","3.77","6.09","61.29","51.03","351,972,668"
"1987-01-01T06:00:00.000Z","6.12","8.41","5.15","6.22","2.00","-8.26","366,231,603"
"1988-01-01T06:00:00.000Z","6.22","7.57","5.67","6.34","1.96","-8.30","236,609,547"
"1989-01-02T06:00:00.000Z","6.31","7.59","5.90","7.54","18.99","8.73","289,494,093"
"1990-01-01T06:00:00.000Z","7.54","9.35","6.79","9.08","20.40","10.15","214,645,503"
"1991-01-01T06:00:00.000Z","9.08","9.93","7.07","8.35","-8.05","-18.31","318,980,237"
"1992-01-01T06:00:00.000Z","8.32","10.25","7.85","9.58","14.78","4.52","193,563,580"
"1993-01-01T06:00:00.000Z","9.58","9.93","7.95","8.71","-9.06","-19.32","171,272,537"
"1994-01-03T06:00:00.000Z","8.71","12.16","8.29","11.70","34.27","24.01","182,487,593"
"1995-01-02T06:00:00.000Z","11.76","18.52","11.70","18.28","56.25","45.99","207,117,250"
"1996-01-01T06:00:00.000Z","18.22","22.18","17.24","21.14","15.67","5.41","208,833,858"
"1997-01-01T06:00:00.000Z","21.14","27.12","20.41","24.37","15.27","5.02","177,610,982"
"1998-01-01T06:00:00.000Z","23.89","48.38","23.76","41.62","70.75","60.49","200,859,309"
"1999-01-01T06:00:00.000Z","41.62","43.08","21.81","26.26","-36.90","-47.15","307,116,936"
"2000-01-03T06:00:00.000Z","25.53","34.43","23.15","33.76","28.54","18.28","270,384,069"
"2001-01-01T06:00:00.000Z","33.51","38.27","29.21","32.32","-4.26","-14.52","248,190,066"
"2002-01-01T06:00:00.000Z","32.22","37.63","24.08","29.92","-7.42","-17.68","234,287,771"
"2003-01-01T06:00:00.000Z","30.15","40.77","28.10","40.11","34.05","23.79","312,326,931"
"2004-01-01T06:00:00.000Z","39.97","56.72","39.88","55.38","38.07","27.81","272,545,034"
"2005-01-03T06:00:00.000Z","54.60","59.64","48.46","58.57","5.77","-4.48","256,564,033"
"2006-01-02T06:00:00.000Z","58.49","72.39","56.62","68.39","16.76","6.50","233,278,771"
"2007-01-01T06:00:00.000Z","68.77","83.74","67.56","81.49","19.14","8.89","304,881,995"
"2008-01-01T06:00:00.000Z","82.82","90.90","56.68","66.68","-18.17","-28.43","438,055,847"
"2009-01-01T06:00:00.000Z","66.87","77.97","58.89","76.88","15.31","5.05","493,138,589"
"2010-01-01T06:00:00.000Z","77.01","83.36","64.80","82.40","7.18","-3.08","355,484,922"
"2011-01-03T06:00:00.000Z","83.04","87.50","67.85","72.85","-11.59","-21.85","376,179,437"
"2012-01-02T06:00:00.000Z","73.70","78.54","69.77","76.23","4.64","-5.61","280,015,280"
"2013-01-01T06:00:00.000Z","77.27","108.16","76.76","107.72","41.31","31.05","236,422,621"
"2014-01-01T06:00:00.000Z","107.64","138.99","102.57","135.67","25.95","15.69","256,866,388"
"2015-01-01T06:00:00.000Z","136.75","153.55","125.64","150.23","10.73","0.4699","286,926,577"
"2016-01-01T06:00:00.000Z","146.85","177.20","126.25","161.40","7.44","-2.82","262,398,202"
"2017-01-02T06:00:00.000Z","157.89","223.93","157.45","208.70","29.30","19.04","338,075,129"
"2018-01-01T06:00:00.000Z","209.70","259.21","203.39","219.67","5.26","-5.00","304,531,024"
"2019-01-02T06:00:00.000Z","216.41","268.58","205.44","265.15","20.70","10.45","302,027,356"
"2020-01-02T06:00:00.000Z","265.27","279.53","192.79","243.95","-8.00","-18.26","473,375,816"
"2021-01-04T06:00:00.000Z","244.71","260.67","229.24","245.18","0.5036","-9.76","352,719,936"
"2022-01-03T06:00:00.000Z","243.96","277.29","215.90","254.30","3.72","-6.54","312,117,989"
"2023-01-03T06:00:00.000Z","262.66","287.32","228.62","278.46","9.50","-0.7582","193,915,070"
