"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1985-04-01T06:00:00.000Z","0.2395","0.6370","0.2222","0.6173","","-15.09","232,426,485"
"1986-01-01T06:00:00.000Z","0.6173","1.10","0.5877","0.9815","59.00","43.91","564,720,251"
"1987-01-01T06:00:00.000Z","0.9889","1.58","0.4444","0.6574","-33.02","-48.11","386,619,956"
"1988-01-01T06:00:00.000Z","0.7037","0.8843","0.6296","0.8333","26.76","11.67","100,285,977"
"1989-01-02T06:00:00.000Z","0.8426","1.67","0.8333","1.59","90.57","75.48","167,738,631"
"1990-01-01T06:00:00.000Z","1.61","1.99","1.25","1.68","5.82","-9.27","181,704,999"
"1991-01-01T06:00:00.000Z","1.69","3.14","1.63","3.14","86.78","71.69","175,471,546"
"1992-01-01T06:00:00.000Z","3.13","4.33","2.53","3.89","23.89","8.80","186,791,822"
"1993-01-01T06:00:00.000Z","3.93","5.76","3.56","5.10","31.07","15.98","196,473,057"
"1994-01-03T06:00:00.000Z","5.06","5.67","3.74","3.96","-22.34","-37.43","352,841,538"
"1995-01-02T06:00:00.000Z","3.99","6.44","3.67","5.60","41.40","26.31","271,574,656"
"1996-01-01T06:00:00.000Z","5.58","8.31","5.15","7.60","35.73","20.64","231,917,520"
"1997-01-01T06:00:00.000Z","7.43","17.30","7.36","14.49","90.72","75.63","294,883,274"
"1998-01-01T06:00:00.000Z","14.55","19.29","8.58","10.67","-26.38","-41.47","361,577,454"
"1999-01-01T06:00:00.000Z","11.21","15.00","9.00","10.69","0.1950","-14.90","408,173,281"
"2000-01-03T06:00:00.000Z","10.67","15.21","8.21","12.70","18.83","3.74","398,822,563"
"2001-01-01T06:00:00.000Z","12.67","16.10","10.28","11.76","-7.43","-22.52","449,815,385"
"2002-01-01T06:00:00.000Z","11.78","14.83","9.30","11.36","-3.37","-18.46","539,257,581"
"2003-01-01T06:00:00.000Z","11.44","17.42","10.00","17.35","52.76","37.67","596,788,753"
"2004-01-01T06:00:00.000Z","17.60","23.82","15.62","23.22","33.79","18.70","630,409,504"
"2005-01-03T06:00:00.000Z","23.30","32.95","21.19","31.34","34.98","19.88","693,541,175"
"2006-01-02T06:00:00.000Z","31.67","38.33","26.72","36.72","17.19","2.10","729,991,698"
"2007-01-01T06:00:00.000Z","37.15","48.53","36.15","38.14","3.87","-11.22","927,910,895"
"2008-01-01T06:00:00.000Z","38.02","42.89","15.17","21.26","-44.26","-59.35","1,529,634,948"
"2009-01-01T06:00:00.000Z","21.29","38.80","12.37","35.12","65.18","50.09","1,514,485,538"
"2010-01-01T06:00:00.000Z","35.39","41.67","28.00","37.07","5.56","-9.53","961,780,124"
"2011-01-03T06:00:00.000Z","37.32","45.85","29.24","32.02","-13.62","-28.71","912,153,640"
"2012-01-02T06:00:00.000Z","32.92","44.64","31.46","41.90","30.86","15.76","619,733,331"
"2013-01-01T06:00:00.000Z","42.86","57.85","42.67","57.73","37.78","22.69","600,242,161"
"2014-01-01T06:00:00.000Z","57.36","59.43","49.12","55.37","-4.09","-19.18","503,363,300"
"2015-01-01T06:00:00.000Z","55.85","55.91","34.62","36.82","-33.50","-48.59","702,751,523"
"2016-01-01T06:00:00.000Z","35.64","42.18","30.56","39.58","7.50","-7.60","837,379,589"
"2017-01-02T06:00:00.000Z","40.24","47.65","39.38","43.33","9.47","-5.62","558,851,525"
"2018-01-01T06:00:00.000Z","43.77","45.96","27.34","29.66","-31.55","-46.64","908,498,440"
"2019-01-02T06:00:00.000Z","29.36","35.82","25.57","25.98","-12.41","-27.50","752,498,580"
"2020-01-02T06:00:00.000Z","25.61","27.60","14.91","24.99","-3.81","-18.90","1,092,109,021"
"2021-01-04T06:00:00.000Z","25.00","38.27","23.96","33.49","34.01","18.92","744,419,821"
"2022-01-03T06:00:00.000Z","33.71","36.45","20.24","26.38","-21.23","-36.32","787,349,057"
"2023-01-03T06:00:00.000Z","26.82","34.37","23.86","26.87","1.86","-13.23","564,388,207"
