"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","0.2469","0.2506","0.1836","0.2109","","-13.79","73,315,249"
"1969-01-01T06:00:00.000Z","0.2084","0.2295","0.1737","0.2122","0.6164","-13.17","48,526,855"
"1970-01-01T06:00:00.000Z","0.2171","0.2605","0.1998","0.2432","14.61","0.8232","74,693,544"
"1971-01-01T06:00:00.000Z","0.2407","0.3271","0.2332","0.3271","34.50","20.71","115,898,598"
"1972-01-03T06:00:00.000Z","0.3297","0.3693","0.3093","0.3304","1.01","-12.78","76,202,152"
"1973-01-01T06:00:00.000Z","0.3291","0.3541","0.1573","0.1708","-48.31","-62.09","57,784,037"
"1974-01-01T06:00:00.000Z","0.1735","0.1790","0.0838","0.0894","-47.66","-61.44","59,519,158"
"1975-01-01T06:00:00.000Z","0.0922","0.1769","0.0922","0.1395","56.04","42.25","35,823,678"
"1976-01-01T06:00:00.000Z","0.1410","0.1755","0.1251","0.1689","21.08","7.29","72,862,837"
"1977-01-03T06:00:00.000Z","0.1689","0.2415","0.1600","0.2415","42.98","29.20","88,079,321"
"1978-01-02T06:00:00.000Z","0.2400","0.4326","0.2178","0.4030","66.87","53.09","206,390,304"
"1979-01-01T06:00:00.000Z","0.4030","0.4770","0.3674","0.4711","16.90","3.11","118,361,654"
"1980-01-01T06:00:00.000Z","0.4681","0.6874","0.4074","0.6533","38.68","24.89","98,491,346"
"1981-01-01T06:00:00.000Z","0.6563","0.8563","0.6163","0.8563","31.07","17.29","110,042,501"
"1982-01-01T06:00:00.000Z","0.8533","1.07","0.6667","0.8504","-0.6890","-14.47","278,029,070"
"1983-01-03T06:00:00.000Z","0.8504","0.9244","0.6519","0.7704","-9.41","-23.19","283,614,634"
"1984-01-02T06:00:00.000Z","0.7704","0.7793","0.5511","0.7348","-4.62","-18.41","233,339,874"
"1985-01-01T06:00:00.000Z","0.7348","1.14","0.7259","1.10","50.00","36.21","199,484,199"
"1986-01-01T06:00:00.000Z","1.10","1.53","1.06","1.44","30.38","16.59","176,618,364"
"1987-01-01T06:00:00.000Z","1.44","1.97","0.9467","1.25","-12.78","-26.57","221,767,510"
"1988-01-01T06:00:00.000Z","1.25","2.06","1.20","2.05","63.48","49.69","173,103,180"
"1989-01-02T06:00:00.000Z","2.04","3.14","2.00","3.14","53.15","39.36","161,867,106"
"1990-01-01T06:00:00.000Z","3.14","3.26","1.99","2.48","-20.96","-34.75","143,993,709"
"1991-01-01T06:00:00.000Z","2.48","3.00","2.30","2.92","17.92","4.13","124,694,271"
"1992-01-01T06:00:00.000Z","2.90","3.20","2.56","2.93","0.3043","-13.48","145,613,734"
"1993-01-01T06:00:00.000Z","2.94","3.16","2.60","3.10","5.76","-8.03","155,786,598"
"1994-01-03T06:00:00.000Z","3.10","3.47","2.79","3.25","4.87","-8.91","123,141,867"
"1995-01-02T06:00:00.000Z","3.27","4.35","3.13","3.89","19.68","5.89","73,936,082"
"1996-01-01T06:00:00.000Z","3.91","5.07","3.76","4.88","25.34","11.55","91,524,457"
"1997-01-01T06:00:00.000Z","4.88","5.91","4.48","5.89","20.77","6.98","129,692,733"
"1998-01-01T06:00:00.000Z","5.88","8.20","5.52","8.07","36.99","23.20","120,018,719"
"1999-01-01T06:00:00.000Z","7.92","8.24","5.86","6.11","-24.36","-38.15","129,374,939"
"2000-01-03T06:00:00.000Z","6.08","7.39","4.47","7.09","16.16","2.37","201,033,311"
"2001-01-01T06:00:00.000Z","7.09","7.68","6.15","6.68","-5.86","-19.65","154,187,625"
"2002-01-01T06:00:00.000Z","6.67","8.59","6.26","6.97","4.41","-9.38","249,591,814"
"2003-01-01T06:00:00.000Z","6.99","10.15","6.43","9.97","42.98","29.19","473,412,285"
"2004-01-01T06:00:00.000Z","9.97","10.69","9.13","10.39","4.18","-9.60","186,641,822"
"2005-01-03T06:00:00.000Z","10.40","15.45","9.95","14.79","42.40","28.61","345,009,607"
"2006-01-02T06:00:00.000Z","14.38","17.61","13.92","14.13","-4.44","-18.23","270,703,739"
"2007-01-01T06:00:00.000Z","14.54","17.04","13.48","15.81","11.88","-1.90","407,033,079"
"2008-01-01T06:00:00.000Z","15.74","16.81","10.79","13.73","-13.15","-26.94","507,746,502"
"2009-01-01T06:00:00.000Z","13.90","14.79","9.33","14.29","4.04","-9.75","462,185,709"
"2010-01-01T06:00:00.000Z","14.29","19.47","13.05","18.57","29.96","16.17","298,642,450"
"2011-01-03T06:00:00.000Z","18.60","21.88","16.57","21.47","15.64","1.86","257,969,089"
"2012-01-02T06:00:00.000Z","21.49","28.40","20.52","25.30","17.84","4.06","241,156,209"
"2013-01-01T06:00:00.000Z","25.49","30.69","24.36","30.23","19.48","5.69","210,415,634"
"2014-01-01T06:00:00.000Z","30.22","39.19","29.38","35.14","16.24","2.45","279,033,903"
"2015-01-01T06:00:00.000Z","35.18","44.42","34.68","39.71","13.02","-0.7620","383,081,760"
"2016-01-01T06:00:00.000Z","39.01","41.37","35.06","35.94","-9.51","-23.29","383,899,829"
"2017-01-02T06:00:00.000Z","36.13","55.32","34.98","54.94","52.87","39.09","285,879,374"
"2018-01-01T06:00:00.000Z","55.18","59.58","45.15","47.58","-13.39","-27.18","334,123,443"
"2019-01-02T06:00:00.000Z","47.12","68.99","44.57","67.60","42.08","28.29","321,746,625"
"2020-01-02T06:00:00.000Z","67.60","83.40","44.68","79.43","17.50","3.71","239,853,304"
"2021-01-04T06:00:00.000Z","79.82","81.57","66.25","72.86","-8.27","-22.06","219,138,821"
"2022-01-03T06:00:00.000Z","72.74","78.15","60.23","65.68","-9.85","-23.64","273,689,762"
"2023-01-03T06:00:00.000Z","66.19","71.27","60.90","66.74","1.61","-12.17","215,540,646"
