"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1980-02-01T06:00:00.000Z","2.56","3.04","1.52","2.96","","-18.34","10,023,524"
"1981-01-01T06:00:00.000Z","2.96","3.69","1.30","1.44","-51.25","-69.59","8,027,230"
"1982-01-01T06:00:00.000Z","1.46","1.69","0.8704","1.35","-6.41","-24.75","5,282,038"
"1983-01-03T06:00:00.000Z","1.35","2.96","1.35","2.50","84.92","66.59","5,442,684"
"1984-01-02T06:00:00.000Z","2.50","2.52","2.09","2.15","-14.07","-32.41","1,713,572"
"1985-01-01T06:00:00.000Z","2.15","5.47","2.13","5.06","135.34","117.00","5,427,630"
"1986-01-01T06:00:00.000Z","5.06","7.75","4.53","5.75","13.74","-4.60","5,368,680"
"1987-01-01T06:00:00.000Z","5.83","10.96","3.50","5.08","-11.59","-29.93","6,180,992"
"1988-01-01T06:00:00.000Z","5.17","7.75","4.92","5.67","11.47","-6.86","4,299,102"
"1989-01-02T06:00:00.000Z","5.71","6.67","4.71","5.33","-5.88","-24.22","5,336,208"
"1990-01-01T06:00:00.000Z","5.33","7.71","4.17","6.17","15.62","-2.71","4,655,800"
"1991-01-01T06:00:00.000Z","6.17","9.25","5.54","6.58","6.76","-11.58","7,750,894"
"1992-01-01T06:00:00.000Z","6.63","7.13","5.29","5.71","-13.29","-31.63","4,905,100"
"1993-01-01T06:00:00.000Z","5.75","5.96","3.33","3.33","-41.61","-59.94","7,250,498"
"1994-01-03T06:00:00.000Z","3.42","9.75","3.42","9.25","177.50","159.17","13,072,894"
"1995-01-02T06:00:00.000Z","9.13","14.21","8.29","14.17","53.15","34.82","11,442,396"
"1996-01-01T06:00:00.000Z","14.17","18.50","12.00","15.00","5.88","-12.46","12,008,188"
"1997-01-01T06:00:00.000Z","14.94","16.75","11.69","13.06","-12.92","-31.25","11,325,000"
"1998-01-01T06:00:00.000Z","13.00","17.06","9.75","10.50","-19.62","-37.95","7,443,200"
"1999-01-01T06:00:00.000Z","10.56","14.50","9.44","11.69","11.31","-7.03","4,854,200"
"2000-01-03T06:00:00.000Z","11.69","17.00","10.50","15.90","36.04","17.71","6,508,200"
"2001-01-01T06:00:00.000Z","16.00","33.00","14.88","31.65","99.06","80.72","9,448,200"
"2002-01-01T06:00:00.000Z","31.25","51.00","27.45","38.70","22.27","3.94","29,719,600"
"2003-01-01T06:00:00.000Z","38.45","65.00","33.20","57.67","49.02","30.68","37,438,925"
"2004-01-01T06:00:00.000Z","57.50","62.48","49.00","57.37","-0.5202","-18.86","21,601,500"
"2005-01-03T06:00:00.000Z","58.50","66.90","46.54","65.44","14.07","-4.27","18,790,900"
"2006-01-02T06:00:00.000Z","64.70","84.34","57.10","82.52","26.10","7.76","18,892,800"
"2007-01-01T06:00:00.000Z","81.77","115.23","66.80","103.62","25.57","7.23","22,375,001"
"2008-01-01T06:00:00.000Z","103.25","109.50","60.51","75.31","-27.32","-45.66","30,758,189"
"2009-01-01T06:00:00.000Z","75.60","100.99","51.33","96.46","28.08","9.75","26,077,600"
"2010-01-01T06:00:00.000Z","97.33","125.01","80.00","103.85","7.66","-10.68","17,300,023"
"2011-01-03T06:00:00.000Z","104.30","126.98","84.02","96.04","-7.52","-25.86","19,362,316"
"2012-01-02T06:00:00.000Z","97.99","118.00","91.52","105.05","9.38","-8.96","17,190,721"
"2013-01-01T06:00:00.000Z","106.47","127.17","106.10","123.61","17.67","-0.6699","18,338,643"
"2014-01-01T06:00:00.000Z","123.93","134.13","102.71","120.56","-2.47","-20.81","23,051,074"
"2015-01-01T06:00:00.000Z","121.47","152.38","112.51","138.66","15.01","-3.32","34,615,996"
"2016-01-01T06:00:00.000Z","136.59","184.89","122.03","182.28","31.46","13.12","33,026,380"
"2017-01-02T06:00:00.000Z","182.96","273.87","181.87","238.67","30.94","12.60","45,422,074"
"2018-01-01T06:00:00.000Z","238.67","345.15","220.05","232.22","-2.70","-21.04","40,630,229"
"2019-01-02T06:00:00.000Z","229.73","376.43","223.89","370.03","59.34","41.01","55,879,402"
"2020-01-02T06:00:00.000Z","372.08","648.39","309.38","582.94","57.54","39.20","57,259,079"
"2021-01-04T06:00:00.000Z","580.99","832.70","545.00","755.57","29.61","11.28","37,018,857"
"2022-01-03T06:00:00.000Z","752.17","752.17","344.63","420.49","-44.35","-62.69","52,235,683"
"2023-01-03T06:00:00.000Z","427.08","509.62","356.51","394.60","-6.16","-24.49","31,855,078"
