"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1969-01-01T06:00:00.000Z","2.13","2.18","2.03","2.12","","-9.72","964,027"
"1970-01-01T06:00:00.000Z","2.14","2.36","1.77","2.02","-4.69","-14.41","16,993,611"
"1971-01-01T06:00:00.000Z","2.02","2.27","1.63","1.90","-6.01","-15.73","19,125,481"
"1972-01-03T06:00:00.000Z","1.92","1.93","1.65","1.73","-9.01","-18.73","20,992,721"
"1973-01-01T06:00:00.000Z","1.73","1.86","1.31","1.35","-22.05","-31.76","16,022,592"
"1974-01-01T06:00:00.000Z","1.35","1.61","0.9721","1.07","-20.49","-30.21","15,714,882"
"1975-01-01T06:00:00.000Z","1.08","1.50","1.08","1.29","20.10","10.38","18,903,732"
"1976-01-01T06:00:00.000Z","1.29","1.63","1.26","1.61","25.32","15.60","24,894,479"
"1977-01-03T06:00:00.000Z","1.62","1.68","1.30","1.35","-16.09","-25.81","18,679,651"
"1978-01-02T06:00:00.000Z","1.35","1.68","1.32","1.46","8.16","-1.56","19,840,776"
"1979-01-01T06:00:00.000Z","1.46","1.91","1.40","1.57","7.17","-2.54","51,756,782"
"1980-01-01T06:00:00.000Z","1.57","1.65","1.18","1.54","-2.12","-11.83","39,017,068"
"1981-01-01T06:00:00.000Z","1.54","2.09","1.45","1.89","23.38","13.66","73,377,487"
"1982-01-01T06:00:00.000Z","1.89","2.46","1.60","2.20","16.04","6.32","65,449,385"
"1983-01-03T06:00:00.000Z","2.20","2.93","2.09","2.89","31.66","21.94","80,009,879"
"1984-01-02T06:00:00.000Z","2.89","3.25","2.32","3.14","8.40","-1.32","84,431,082"
"1985-01-01T06:00:00.000Z","3.15","4.63","3.08","4.54","44.72","35.00","126,277,140"
"1986-01-01T06:00:00.000Z","4.54","6.20","4.35","5.15","13.45","3.73","153,004,647"
"1987-01-01T06:00:00.000Z","5.18","6.08","3.25","3.41","-33.76","-43.48","174,591,442"
"1988-01-01T06:00:00.000Z","3.43","4.94","3.43","4.90","43.69","33.97","290,775,230"
"1989-01-02T06:00:00.000Z","4.90","7.29","4.87","5.33","8.78","-0.9339","388,030,445"
"1990-01-01T06:00:00.000Z","5.33","5.53","1.76","2.35","-55.90","-65.62","371,901,368"
"1991-01-01T06:00:00.000Z","2.35","4.79","2.19","4.09","73.94","64.22","435,719,473"
"1992-01-01T06:00:00.000Z","4.04","7.24","3.97","7.14","74.49","64.77","499,963,266"
"1993-01-01T06:00:00.000Z","7.09","8.28","6.71","7.55","5.80","-3.92","643,028,843"
"1994-01-03T06:00:00.000Z","7.54","8.81","6.61","7.68","1.75","-7.96","476,871,651"
"1995-01-02T06:00:00.000Z","7.88","12.98","7.55","12.92","68.10","58.38","659,463,237"
"1996-01-01T06:00:00.000Z","12.85","19.14","11.53","17.89","38.46","28.74","631,990,815"
"1997-01-01T06:00:00.000Z","18.22","31.04","17.36","30.64","71.30","61.58","448,416,893"
"1998-01-01T06:00:00.000Z","30.51","42.99","25.44","42.66","39.24","29.53","414,235,552"
"1999-01-01T06:00:00.000Z","42.66","47.89","33.72","42.40","-0.6212","-10.34","439,601,531"
"2000-01-03T06:00:00.000Z","40.54","62.93","31.53","58.49","37.97","28.25","490,322,464"
"2001-01-01T06:00:00.000Z","59.09","61.61","31.53","43.24","-26.07","-35.79","641,898,161"
"2002-01-01T06:00:00.000Z","43.24","49.29","22.10","25.40","-41.27","-50.99","719,600,958"
"2003-01-01T06:00:00.000Z","25.81","35.50","20.40","35.10","38.23","28.51","654,419,091"
"2004-01-01T06:00:00.000Z","35.10","36.94","28.88","35.42","0.9059","-8.81","647,256,494"
"2005-01-03T06:00:00.000Z","35.43","35.71","28.54","33.76","-4.70","-14.42","622,944,492"
"2006-01-02T06:00:00.000Z","33.86","42.98","32.66","41.73","23.61","13.89","849,657,573"
"2007-01-01T06:00:00.000Z","42.11","50.26","38.30","48.76","16.85","7.13","1,327,812,855"
"2008-01-01T06:00:00.000Z","48.82","49.40","20.49","28.33","-41.90","-51.62","2,696,473,276"
"2009-01-01T06:00:00.000Z","28.35","33.62","15.44","27.97","-1.27","-10.99","3,394,661,339"
"2010-01-01T06:00:00.000Z","28.19","32.65","23.78","30.20","7.97","-1.75","2,117,026,692"
"2011-01-03T06:00:00.000Z","30.47","32.50","17.10","19.91","-34.07","-43.79","2,438,316,548"
"2012-01-02T06:00:00.000Z","20.40","26.25","19.30","25.70","29.08","19.36","1,826,607,209"
"2013-01-01T06:00:00.000Z","26.25","34.99","25.62","34.94","35.95","26.24","1,327,746,433"
"2014-01-01T06:00:00.000Z","34.30","41.79","30.82","40.57","16.11","6.40","1,352,008,603"
"2015-01-01T06:00:00.000Z","40.75","45.45","35.63","41.22","1.60","-8.12","1,497,088,978"
"2016-01-01T06:00:00.000Z","40.29","49.54","32.20","47.38","14.94","5.23","1,482,949,439"
"2017-01-02T06:00:00.000Z","48.03","55.40","43.85","53.86","13.68","3.96","1,142,577,853"
"2018-01-01T06:00:00.000Z","54.27","58.99","43.67","47.07","-12.61","-22.32","1,361,153,911"
"2019-01-02T06:00:00.000Z","46.55","54.27","40.52","50.33","6.93","-2.79","1,227,197,746"
"2020-01-02T06:00:00.000Z","50.46","51.60","26.40","42.44","-15.68","-25.39","1,455,362,771"
"2021-01-04T06:00:00.000Z","42.50","60.52","39.45","58.08","36.85","27.13","1,237,635,780"
"2022-01-03T06:00:00.000Z","58.60","64.63","36.22","45.52","-21.63","-31.34","1,212,545,674"
"2023-01-03T06:00:00.000Z","45.98","52.26","39.65","45.42","-0.2197","-9.94","874,191,702"
