"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1987-04-01T06:00:00.000Z","13.04","19.16","7.79","9.54","","-9.02","125,583,775"
"1988-01-01T06:00:00.000Z","9.54","13.91","8.49","9.80","2.75","-6.27","114,926,896"
"1989-01-02T06:00:00.000Z","9.80","19.34","9.54","17.85","82.14","73.12","159,833,893"
"1990-01-01T06:00:00.000Z","17.85","24.32","15.22","17.94","0.4902","-8.53","188,018,894"
"1991-01-01T06:00:00.000Z","17.94","21.70","12.51","13.47","-24.88","-33.90","203,225,890"
"1992-01-01T06:00:00.000Z","13.65","17.76","11.11","13.74","1.95","-7.07","228,285,030"
"1993-01-01T06:00:00.000Z","13.82","20.74","12.95","14.00","1.91","-7.11","226,363,611"
"1994-01-03T06:00:00.000Z","14.18","15.49","11.90","12.78","-8.75","-17.77","226,662,610"
"1995-01-02T06:00:00.000Z","12.69","17.41","11.72","17.06","33.56","24.54","252,963,172"
"1996-01-01T06:00:00.000Z","17.06","27.21","15.93","24.15","41.54","32.52","309,852,174"
"1997-01-01T06:00:00.000Z","24.15","34.74","22.84","30.54","26.45","17.43","559,919,464"
"1998-01-01T06:00:00.000Z","30.63","30.89","10.50","12.34","-59.60","-68.62","797,703,179"
"1999-01-01T06:00:00.000Z","12.51","25.38","10.50","14.74","19.50","10.49","803,769,594"
"2000-01-03T06:00:00.000Z","15.36","30.36","13.74","29.09","97.33","88.31","820,292,339"
"2001-01-01T06:00:00.000Z","29.66","31.70","18.03","25.53","-12.25","-21.27","932,819,588"
"2002-01-01T06:00:00.000Z","25.20","27.96","15.82","22.53","-11.74","-20.75","844,674,310"
"2003-01-01T06:00:00.000Z","22.89","25.30","18.83","22.51","-0.0932","-9.11","837,411,148"
"2004-01-01T06:00:00.000Z","22.47","31.71","22.09","29.87","32.68","23.66","869,786,470"
"2005-01-03T06:00:00.000Z","29.40","44.19","28.51","42.55","42.44","33.42","1,092,127,600"
"2006-01-02T06:00:00.000Z","42.42","62.51","42.42","52.26","22.84","13.82","1,541,625,349"
"2007-01-01T06:00:00.000Z","52.26","70.20","43.58","56.77","8.63","-0.3921","1,679,110,616"
"2008-01-01T06:00:00.000Z","56.59","63.57","17.08","22.45","-60.46","-69.47","2,024,088,849"
"2009-01-01T06:00:00.000Z","22.53","33.73","17.98","28.34","26.22","17.21","1,987,144,540"
"2010-01-01T06:00:00.000Z","28.85","40.22","24.93","40.02","41.23","32.21","2,094,749,263"
"2011-01-03T06:00:00.000Z","40.38","56.70","29.34","34.05","-14.92","-23.94","2,123,209,783"
"2012-01-02T06:00:00.000Z","35.49","37.07","25.96","28.59","-16.02","-25.04","2,032,343,680"
"2013-01-01T06:00:00.000Z","29.17","41.18","28.69","38.68","35.28","26.27","1,274,239,769"
"2014-01-01T06:00:00.000Z","38.49","52.95","33.26","39.25","1.47","-7.55","1,836,800,539"
"2015-01-01T06:00:00.000Z","39.11","49.31","29.95","32.30","-17.69","-26.71","1,377,114,436"
"2016-01-01T06:00:00.000Z","32.09","48.01","26.31","45.48","40.78","31.76","1,376,025,373"
"2017-01-02T06:00:00.000Z","45.70","46.06","29.62","31.64","-30.43","-39.45","963,867,848"
"2018-01-01T06:00:00.000Z","31.71","37.76","20.09","21.50","-32.05","-41.07","1,271,508,955"
"2019-01-02T06:00:00.000Z","21.19","28.65","20.43","25.63","19.21","10.19","1,300,280,470"
"2020-01-02T06:00:00.000Z","25.68","25.99","9.12","20.85","-18.65","-27.67","1,784,483,525"
"2021-01-04T06:00:00.000Z","21.22","27.66","18.75","24.06","15.40","6.38","2,112,338,775"
"2022-01-03T06:00:00.000Z","24.10","39.78","20.41","29.53","22.73","13.72","2,531,412,115"
"2023-01-03T06:00:00.000Z","29.34","37.23","26.12","36.81","24.65","15.64","1,144,111,968"
