"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","2.03","2.48","1.81","2.03","","-8.80","200,123,598"
"1969-01-01T06:00:00.000Z","2.01","2.23","1.63","2.23","10.09","1.29","166,868,786"
"1970-01-01T06:00:00.000Z","2.23","2.23","1.43","1.90","-14.67","-23.46","177,025,013"
"1971-01-01T06:00:00.000Z","1.87","2.08","1.67","1.74","-8.79","-17.58","225,554,533"
"1972-01-03T06:00:00.000Z","1.72","2.15","1.67","2.05","18.20","9.40","286,653,310"
"1973-01-01T06:00:00.000Z","2.05","2.13","1.29","1.38","-32.97","-41.77","190,575,641"
"1974-01-01T06:00:00.000Z","1.38","1.68","0.9112","1.49","8.11","-0.6882","153,946,611"
"1975-01-01T06:00:00.000Z","1.49","2.19","1.38","2.05","38.00","29.20","238,533,813"
"1976-01-01T06:00:00.000Z","2.05","2.49","1.82","2.03","-0.9059","-9.70","263,376,622"
"1977-01-03T06:00:00.000Z","2.03","2.13","1.71","2.00","-1.65","-10.44","209,942,084"
"1978-01-02T06:00:00.000Z","2.00","2.40","1.67","2.13","6.32","-2.48","336,980,830"
"1979-01-01T06:00:00.000Z","2.12","2.28","1.84","2.20","3.50","-5.30","276,739,053"
"1980-01-01T06:00:00.000Z","2.19","3.09","1.82","3.00","36.15","27.35","483,950,622"
"1981-01-01T06:00:00.000Z","3.00","3.50","2.72","3.16","5.46","-3.34","422,912,338"
"1982-01-01T06:00:00.000Z","3.15","4.40","3.02","4.00","26.59","17.79","581,748,997"
"1983-01-03T06:00:00.000Z","4.00","5.70","3.71","5.03","25.65","16.85","601,638,882"
"1984-01-02T06:00:00.000Z","5.03","6.26","4.88","6.23","23.96","15.17","565,294,673"
"1985-01-01T06:00:00.000Z","6.20","8.15","5.83","7.89","26.49","17.69","612,696,651"
"1986-01-01T06:00:00.000Z","7.89","10.53","7.17","9.83","24.72","15.92","871,918,651"
"1987-01-01T06:00:00.000Z","9.86","13.29","6.72","9.91","0.7555","-8.04","891,546,385"
"1988-01-01T06:00:00.000Z","9.91","11.07","9.08","10.77","8.71","-0.0887","575,138,790"
"1989-01-02T06:00:00.000Z","10.77","13.81","10.47","13.33","23.76","14.96","942,930,007"
"1990-01-01T06:00:00.000Z","13.33","16.19","12.02","15.95","19.64","10.85","1,070,176,714"
"1991-01-01T06:00:00.000Z","15.95","21.27","14.55","21.01","31.72","22.92","1,084,747,755"
"1992-01-01T06:00:00.000Z","20.95","21.45","14.28","16.07","-23.51","-32.31","1,403,724,657"
"1993-01-01T06:00:00.000Z","15.98","16.01","12.11","13.87","-13.70","-22.50","1,581,971,027"
"1994-01-03T06:00:00.000Z","13.72","14.52","11.90","13.78","-0.6440","-9.44","991,325,112"
"1995-01-02T06:00:00.000Z","13.75","20.74","13.75","20.44","48.38","39.58","1,034,934,846"
"1996-01-01T06:00:00.000Z","20.38","27.70","18.57","25.95","26.93","18.13","1,065,477,107"
"1997-01-01T06:00:00.000Z","25.89","46.75","25.35","45.05","73.62","64.83","1,148,336,454"
"1998-01-01T06:00:00.000Z","45.02","64.39","42.04","63.71","41.41","32.62","1,038,971,551"
"1999-01-01T06:00:00.000Z","63.71","75.46","54.51","61.12","-4.06","-12.86","932,716,011"
"2000-01-03T06:00:00.000Z","61.18","71.29","40.41","70.40","15.19","6.39","1,530,093,629"
"2001-01-01T06:00:00.000Z","69.51","69.98","48.37","51.00","-27.56","-36.35","1,370,470,540"
"2002-01-01T06:00:00.000Z","50.47","51.95","19.49","23.15","-54.61","-63.41","2,194,029,024"
"2003-01-01T06:00:00.000Z","23.16","29.21","21.00","28.60","23.54","14.74","1,500,149,368"
"2004-01-01T06:00:00.000Z","28.90","31.30","22.22","25.62","-10.42","-19.22","1,547,840,831"
"2005-01-03T06:00:00.000Z","25.57","26.60","20.70","22.98","-10.30","-19.10","1,488,922,159"
"2006-01-02T06:00:00.000Z","23.25","26.41","20.08","26.32","14.53","5.74","2,224,333,979"
"2007-01-01T06:00:00.000Z","26.21","32.35","25.73","26.52","0.7599","-8.04","2,719,472,589"
"2008-01-01T06:00:00.000Z","26.50","27.37","16.00","23.25","-12.33","-21.13","3,985,119,872"
"2009-01-01T06:00:00.000Z","23.25","26.62","17.23","25.25","8.60","-0.1953","4,201,017,498"
"2010-01-01T06:00:00.000Z","25.41","28.00","22.24","26.48","4.87","-3.93","3,153,396,124"
"2011-01-03T06:00:00.000Z","26.65","35.44","24.97","35.24","33.08","24.28","3,118,402,299"
"2012-01-02T06:00:00.000Z","35.33","36.34","30.64","32.59","-7.52","-16.32","2,560,387,612"
"2013-01-01T06:00:00.000Z","32.84","54.49","32.50","53.15","63.09","54.29","2,187,076,748"
"2014-01-01T06:00:00.000Z","52.52","61.77","46.30","59.03","11.06","2.27","1,937,693,244"
"2015-01-01T06:00:00.000Z","59.43","70.87","51.82","68.79","16.53","7.74","1,654,423,217"
"2016-01-01T06:00:00.000Z","67.45","77.12","49.03","58.44","-15.05","-23.84","2,315,086,098"
"2017-01-02T06:00:00.000Z","58.78","66.10","46.01","61.28","4.86","-3.94","2,064,821,784"
"2018-01-01T06:00:00.000Z","61.40","70.05","46.94","51.98","-15.18","-23.97","1,978,512,111"
"2019-01-02T06:00:00.000Z","51.34","64.75","42.48","64.19","23.49","14.69","4,044,857,867"
"2020-01-02T06:00:00.000Z","63.85","68.34","45.76","62.03","-3.37","-12.16","3,332,668,097"
"2021-01-04T06:00:00.000Z","61.74","69.75","53.22","62.35","0.5159","-8.28","2,815,936,537"
"2022-01-03T06:00:00.000Z","62.07","81.44","60.86","71.95","15.40","6.60","3,025,532,873"
"2023-01-03T06:00:00.000Z","71.76","75.18","59.71","62.02","-13.80","-22.60","1,459,310,062"
