"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","1.91","5.19","1.81","5.06","","-7.89","12,311,600"
"1969-01-01T06:00:00.000Z","5.06","5.78","2.94","3.09","-38.89","-46.78","68,055,200"
"1970-01-01T06:00:00.000Z","3.31","3.38","2.03","2.78","-10.10","-18.00","22,954,400"
"1971-01-01T06:00:00.000Z","2.81","3.88","2.59","3.28","17.98","10.09","20,475,600"
"1972-01-03T06:00:00.000Z","3.28","4.00","3.16","3.88","18.10","10.21","16,362,400"
"1973-01-01T06:00:00.000Z","3.88","4.03","3.13","3.19","-17.74","-25.63","42,488,000"
"1974-01-01T06:00:00.000Z","3.19","3.53","1.13","1.25","-60.78","-68.68","28,816,800"
"1975-01-01T06:00:00.000Z","1.19","3.09","1.13","2.91","132.50","124.60","29,758,000"
"1976-01-01T06:00:00.000Z","2.94","3.50","2.38","3.47","19.36","11.47","29,146,400"
"1977-01-03T06:00:00.000Z","3.47","4.19","3.34","4.13","18.92","11.03","125,224,800"
"1978-01-02T06:00:00.000Z","4.13","4.72","3.44","4.56","10.61","2.71","83,594,800"
"1979-01-01T06:00:00.000Z","4.56","8.81","4.38","7.69","68.49","60.60","57,978,400"
"1980-01-01T06:00:00.000Z","7.69","12.00","6.53","9.81","27.64","19.75","54,978,800"
"1981-01-01T06:00:00.000Z","9.81","9.91","4.47","5.94","-39.49","-47.38","18,596,800"
"1982-01-01T06:00:00.000Z","5.94","5.94","4.38","4.72","-20.53","-28.42","13,867,200"
"1983-01-03T06:00:00.000Z","4.78","6.81","4.50","5.91","25.16","17.27","20,952,400"
"1984-01-02T06:00:00.000Z","5.84","7.50","5.44","5.66","-4.23","-12.12","31,279,600"
"1985-01-01T06:00:00.000Z","5.59","8.78","5.34","8.09","43.10","35.20","41,976,800"
"1986-01-01T06:00:00.000Z","8.09","10.94","7.53","10.88","34.36","26.47","134,595,200"
"1987-01-01T06:00:00.000Z","10.94","20.09","10.81","13.97","28.45","20.56","311,301,200"
"1988-01-01T06:00:00.000Z","14.38","15.94","12.06","13.44","-3.80","-11.70","156,818,400"
"1989-01-02T06:00:00.000Z","13.56","16.47","13.41","16.34","21.63","13.74","199,309,600"
"1990-01-01T06:00:00.000Z","16.34","21.56","14.91","19.22","17.59","9.70","223,458,808"
"1991-01-01T06:00:00.000Z","19.25","19.38","15.47","16.44","-14.47","-22.36","172,864,800"
"1992-01-01T06:00:00.000Z","16.50","16.59","10.34","11.44","-30.42","-38.31","696,572,388"
"1993-01-01T06:00:00.000Z","11.28","16.34","10.53","16.00","39.89","32.00","1,087,281,572"
"1994-01-03T06:00:00.000Z","16.00","21.31","14.59","19.97","24.81","16.91","677,384,368"
"1995-01-02T06:00:00.000Z","19.94","25.97","18.91","25.53","27.86","19.96","316,082,008"
"1996-01-01T06:00:00.000Z","25.44","35.94","23.63","35.34","38.43","30.54","495,192,008"
"1997-01-01T06:00:00.000Z","35.19","46.50","32.44","39.84","12.73","4.84","465,340,794"
"1998-01-01T06:00:00.000Z","39.66","48.66","36.50","45.38","13.88","5.99","549,781,992"
"1999-01-01T06:00:00.000Z","45.88","62.63","40.19","59.31","30.72","22.82","873,657,808"
"2000-01-03T06:00:00.000Z","59.25","60.63","43.13","47.88","-19.28","-27.18","864,280,605"
"2001-01-01T06:00:00.000Z","49.06","55.20","42.20","46.51","-2.85","-10.74","600,991,911"
"2002-01-01T06:00:00.000Z","46.30","53.98","36.25","40.65","-12.60","-20.49","635,642,311"
"2003-01-01T06:00:00.000Z","40.85","49.59","34.67","49.35","21.40","13.51","828,959,717"
"2004-01-01T06:00:00.000Z","49.53","62.10","46.65","58.40","18.34","10.45","810,356,400"
"2005-01-03T06:00:00.000Z","58.05","72.66","56.60","64.22","9.97","2.07","842,419,198"
"2006-01-02T06:00:00.000Z","65.50","76.85","63.52","67.10","4.48","-3.41","880,429,186"
"2007-01-01T06:00:00.000Z","67.27","79.77","58.62","73.17","9.05","1.15","1,002,895,145"
"2008-01-01T06:00:00.000Z","73.78","77.69","37.57","46.74","-36.12","-44.01","1,595,798,395"
