"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1981-02-02T06:00:00.000Z","0.1778","0.1778","0.1444","0.1444","","-19.92","2,047,920"
"1982-01-01T06:00:00.000Z","0.1444","0.1704","0.1148","0.1556","7.76","-12.16","4,995,984"
"1983-01-03T06:00:00.000Z","0.1556","0.1611","0.1111","0.1111","-28.60","-48.52","11,391,152"
"1984-01-02T06:00:00.000Z","0.1111","0.1333","0.1111","0.1333","19.98","0.0631","7,369,920"
"1985-01-01T06:00:00.000Z","0.1333","0.3111","0.1333","0.3028","127.16","107.24","22,370,416"
"1986-01-01T06:00:00.000Z","0.3000","0.4833","0.3000","0.4000","32.10","12.18","22,228,880"
"1987-01-01T06:00:00.000Z","0.4000","0.4417","0.2333","0.2333","-41.68","-61.59","13,804,192"
"1988-01-01T06:00:00.000Z","0.2333","0.3083","0.2250","0.2750","17.87","-2.04","7,039,840"
"1989-01-02T06:00:00.000Z","0.2750","0.4250","0.2667","0.4250","54.55","34.63","8,644,736"
"1990-01-01T06:00:00.000Z","0.4250","0.4333","0.2583","0.2667","-37.25","-57.17","12,738,928"
"1991-01-01T06:00:00.000Z","0.2833","0.5208","0.2667","0.5000","87.48","67.56","71,706,320"
"1992-01-01T06:00:00.000Z","0.4896","0.7083","0.4688","0.6979","39.58","19.66","36,925,360"
"1993-01-01T06:00:00.000Z","0.6927","0.8854","0.6667","0.7448","6.72","-13.20","42,932,784"
"1994-01-03T06:00:00.000Z","0.7240","0.9479","0.7083","0.9063","21.68","1.76","59,523,616"
"1995-01-02T06:00:00.000Z","0.8854","1.05","0.8438","1.04","14.37","-5.55","93,860,256"
"1996-01-01T06:00:00.000Z","1.02","1.15","0.9479","1.10","6.53","-13.39","88,867,984"
"1997-01-01T06:00:00.000Z","1.13","1.96","1.06","1.86","68.39","48.47","47,067,440"
"1998-01-01T06:00:00.000Z","1.85","2.66","1.80","2.18","17.44","-2.48","39,026,576"
"1999-01-01T06:00:00.000Z","2.19","2.54","1.83","2.39","9.66","-10.26","38,504,000"
"2000-01-03T06:00:00.000Z","2.39","4.48","1.95","4.38","82.71","62.79","58,875,200"
"2001-01-01T06:00:00.000Z","4.36","7.88","3.59","6.83","56.00","36.08","157,832,800"
"2002-01-01T06:00:00.000Z","6.65","9.25","6.00","8.08","18.39","-1.53","354,707,604"
"2003-01-01T06:00:00.000Z","8.13","9.41","6.69","8.15","0.8973","-19.02","351,165,396"
"2004-01-01T06:00:00.000Z","8.15","11.69","8.00","10.89","33.55","13.63","316,508,000"
"2005-01-03T06:00:00.000Z","11.13","15.95","10.50","15.27","40.25","20.33","290,312,800"
"2006-01-02T06:00:00.000Z","15.39","17.63","13.53","14.11","-7.63","-27.55","227,923,200"
"2007-01-01T06:00:00.000Z","14.19","14.57","11.55","11.75","-16.70","-36.62","300,003,362"
"2008-01-01T06:00:00.000Z","11.68","13.71","8.13","10.45","-11.06","-30.98","459,449,764"
"2009-01-01T06:00:00.000Z","10.46","10.75","7.47","8.98","-14.02","-33.94","450,827,940"
"2010-01-01T06:00:00.000Z","9.03","12.20","5.75","11.97","33.22","13.30","384,591,136"
"2011-01-03T06:00:00.000Z","12.06","13.54","8.38","11.31","-5.47","-25.39","499,250,744"
"2012-01-02T06:00:00.000Z","11.46","14.09","10.93","12.73","12.51","-7.41","420,349,696"
"2013-01-01T06:00:00.000Z","12.90","17.57","12.65","15.70","23.29","3.37","380,303,162"
"2014-01-01T06:00:00.000Z","15.60","16.73","13.88","16.45","4.84","-15.08","417,323,622"
"2015-01-01T06:00:00.000Z","16.54","17.30","14.84","16.05","-2.46","-22.38","334,074,844"
"2016-01-01T06:00:00.000Z","15.84","22.81","14.21","22.43","39.75","19.83","360,610,960"
"2017-01-02T06:00:00.000Z","22.52","26.21","20.55","25.73","14.71","-5.21","289,592,816"
"2018-01-01T06:00:00.000Z","25.82","31.55","24.34","27.56","7.11","-12.81","282,868,950"
"2019-01-02T06:00:00.000Z","27.19","40.40","26.23","39.48","43.25","23.33","308,430,865"
"2020-01-02T06:00:00.000Z","39.62","48.69","30.70","47.41","20.09","0.1672","330,941,194"
"2021-01-04T06:00:00.000Z","47.50","70.75","42.72","70.28","48.24","28.32","332,512,346"
"2022-01-03T06:00:00.000Z","70.39","74.00","52.91","56.97","-18.94","-38.86","393,687,765"
"2023-01-03T06:00:00.000Z","57.06","74.57","52.82","74.20","30.24","10.33","199,001,086"
