"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1977-01-03T06:00:00.000Z","2.25","2.69","2.19","2.56","","-10.59","23,000"
"1978-01-02T06:00:00.000Z","2.69","3.19","2.50","2.69","4.88","-5.71","137,400"
"1979-01-01T06:00:00.000Z","2.75","3.38","2.63","2.69","","-10.59","49,200"
"1980-01-01T06:00:00.000Z","2.50","3.69","2.50","2.75","2.33","-8.27","41,400"
"1981-01-01T06:00:00.000Z","3.00","3.69","3.00","3.25","18.18","7.59","85,200"
"1982-02-01T06:00:00.000Z","3.88","5.44","3.38","4.94","51.92","41.33","171,600"
"1983-01-03T06:00:00.000Z","5.00","5.44","1.00","1.31","-73.42","-84.01","4,936,200"
"1984-01-02T06:00:00.000Z","1.31","2.13","1.25","2.06","57.14","46.55","59,008,200"
"1985-01-01T06:00:00.000Z","2.03","2.31","1.78","2.25","9.09","-1.50","342,934,810"
"1986-01-01T06:00:00.000Z","2.25","3.50","2.09","3.41","51.39","40.79","240,364,600"
"1987-01-01T06:00:00.000Z","3.41","5.78","3.34","4.13","21.10","10.51","126,992,600"
"1988-01-01T06:00:00.000Z","4.19","4.41","3.38","4.03","-2.27","-12.87","73,951,400"
"1989-01-02T06:00:00.000Z","4.03","7.63","4.00","6.66","65.12","54.52","335,159,796"
"1990-01-01T06:00:00.000Z","6.72","6.94","4.78","5.47","-17.84","-28.43","210,271,804"
"1991-01-01T06:00:00.000Z","5.47","6.78","5.22","5.75","5.14","-5.45","76,866,000"
"1992-01-01T06:00:00.000Z","5.75","7.81","5.25","7.38","28.26","17.67","36,168,600"
"1993-01-01T06:00:00.000Z","7.34","7.88","3.03","4.06","-44.92","-55.51","30,926,800"
"1994-01-03T06:00:00.000Z","4.00","7.44","3.44","6.75","66.15","55.56","19,218,200"
"1995-01-02T06:00:00.000Z","6.75","9.19","6.44","9.19","36.11","25.52","37,958,800"
"1996-01-01T06:00:00.000Z","8.94","9.06","6.56","8.25","-10.20","-20.80","46,968,400"
"1997-01-01T06:00:00.000Z","8.22","10.13","7.75","9.38","13.64","3.04","70,316,600"
"1998-01-01T06:00:00.000Z","9.38","11.91","7.50","8.75","-6.67","-17.26","52,953,000"
"1999-01-01T06:00:00.000Z","8.75","11.13","5.09","5.13","-41.43","-52.02","37,752,800"
"2000-01-03T06:00:00.000Z","5.25","8.25","3.88","7.91","54.27","43.68","63,045,000"
"2001-01-01T06:00:00.000Z","7.94","9.53","6.65","8.50","7.51","-3.08","69,909,400"
"2002-01-01T06:00:00.000Z","8.51","12.18","8.13","9.85","15.88","5.29","44,750,400"
"2003-01-01T06:00:00.000Z","9.97","13.96","8.77","13.84","40.46","29.86","27,952,410"
"2004-01-01T06:00:00.000Z","13.78","17.43","13.38","17.32","25.23","14.63","30,134,200"
"2005-01-03T06:00:00.000Z","17.35","23.27","16.66","22.52","29.99","19.39","23,781,400"
"2006-01-02T06:00:00.000Z","22.73","29.10","21.75","28.33","25.80","15.21","45,736,600"
"2007-01-01T06:00:00.000Z","29.02","40.33","27.84","39.28","38.65","28.06","67,924,854"
"2008-01-01T06:00:00.000Z","39.05","40.52","22.75","26.55","-32.40","-42.99","104,876,844"
"2009-01-01T06:00:00.000Z","26.50","33.47","21.63","32.33","21.75","11.16","96,469,188"
"2010-01-01T06:00:00.000Z","32.52","39.99","28.00","38.85","20.17","9.57","83,468,724"
"2011-01-03T06:00:00.000Z","38.80","48.00","36.30","47.44","22.11","11.52","144,694,354"
"2012-01-02T06:00:00.000Z","47.59","54.87","44.63","50.63","6.71","-3.88","115,889,422"
"2013-01-01T06:00:00.000Z","50.63","57.60","49.79","53.71","6.09","-4.50","117,924,384"
"2014-01-01T06:00:00.000Z","53.12","61.68","47.09","53.91","0.3724","-10.22","127,497,766"
"2015-01-01T06:00:00.000Z","53.55","59.95","51.07","55.23","2.44","-8.15","140,467,478"
"2016-01-01T06:00:00.000Z","54.69","65.67","49.91","56.34","2.01","-8.58","260,725,140"
"2017-01-02T06:00:00.000Z","56.58","73.41","55.88","66.99","18.91","8.32","885,374,495"
"2018-01-01T06:00:00.000Z","67.71","71.44","30.67","31.86","-52.44","-63.03","614,497,617"
"2019-01-02T06:00:00.000Z","31.23","43.00","30.91","42.46","33.27","22.68","497,280,453"
"2020-01-02T06:00:00.000Z","42.94","45.64","27.32","37.49","-11.71","-22.30","560,543,912"
"2021-01-04T06:00:00.000Z","37.92","41.14","33.62","37.41","-0.2134","-10.81","802,717,933"
"2022-01-03T06:00:00.000Z","37.52","47.23","35.47","39.98","6.87","-3.72","845,943,397"
"2023-01-03T06:00:00.000Z","40.31","40.75","31.62","32.94","-17.61","-28.20","659,139,986"
