"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1972-04-03T06:00:00.000Z","0.2311","0.2600","0.2043","0.2470","","-15.66","18,310,326"
"1973-01-01T06:00:00.000Z","0.2405","0.3098","0.1365","0.1410","-42.91","-58.58","25,659,486"
"1974-01-01T06:00:00.000Z","0.1433","0.1911","0.0546","0.0614","-56.45","-72.12","24,958,119"
"1975-01-01T06:00:00.000Z","0.0637","0.1843","0.0591","0.1624","164.50","148.83","27,924,084"
"1976-01-01T06:00:00.000Z","0.1648","0.2556","0.1624","0.2412","48.52","32.86","46,102,774"
"1977-01-03T06:00:00.000Z","0.2412","0.3774","0.2245","0.3655","51.53","35.87","34,751,736"
"1978-01-02T06:00:00.000Z","0.3655","0.4944","0.3272","0.4180","14.36","-1.30","37,944,302"
"1979-01-01T06:00:00.000Z","0.4180","0.5589","0.4132","0.4944","18.28","2.61","27,383,051"
"1980-01-01T06:00:00.000Z","0.4944","1.31","0.4335","1.30","163.79","148.13","43,381,210"
"1981-01-01T06:00:00.000Z","1.28","1.33","0.9172","0.9960","-23.63","-39.30","41,635,004"
"1982-01-01T06:00:00.000Z","0.9960","1.69","0.9602","1.61","61.15","45.49","74,341,421"
"1983-01-03T06:00:00.000Z","1.61","2.06","1.48","1.96","22.32","6.66","104,797,240"
"1984-01-02T06:00:00.000Z","1.98","2.37","1.70","2.35","19.89","4.22","89,780,449"
"1985-01-01T06:00:00.000Z","2.38","4.06","2.24","3.65","55.25","39.59","98,935,705"
"1986-01-01T06:00:00.000Z","3.65","5.52","3.34","4.92","34.71","19.04","185,145,746"
"1987-01-01T06:00:00.000Z","4.97","6.54","3.59","4.36","-11.35","-27.02","271,420,328"
"1988-01-01T06:00:00.000Z","4.41","5.85","4.08","4.99","14.29","-1.38","182,700,154"
"1989-01-02T06:00:00.000Z","4.99","7.80","4.99","7.35","47.41","31.75","241,503,606"
"1990-01-01T06:00:00.000Z","7.35","9.87","5.87","9.54","29.82","14.16","199,492,019"
"1991-01-01T06:00:00.000Z","9.54","14.12","8.64","13.74","43.92","28.25","274,436,428"
"1992-01-01T06:00:00.000Z","13.59","13.83","9.48","12.82","-6.69","-22.36","317,213,110"
"1993-01-01T06:00:00.000Z","12.91","13.01","8.80","10.21","-20.38","-36.04","253,047,668"
"1994-01-03T06:00:00.000Z","10.16","12.82","9.87","12.09","18.48","2.82","268,609,640"
"1995-01-02T06:00:00.000Z","12.09","16.15","11.51","15.96","32.00","16.33","286,442,207"
"1996-01-01T06:00:00.000Z","16.01","21.19","14.56","19.25","20.61","4.94","337,436,479"
"1997-01-01T06:00:00.000Z","19.40","29.99","18.96","25.64","33.17","17.50","274,993,768"
"1998-01-01T06:00:00.000Z","25.54","26.02","17.46","24.38","-4.91","-20.57","435,483,343"
"1999-01-01T06:00:00.000Z","24.38","26.60","15.96","17.56","-27.98","-43.64","372,334,978"
"2000-01-03T06:00:00.000Z","17.41","20.27","11.66","20.12","14.60","-1.06","471,326,036"
"2001-01-01T06:00:00.000Z","20.02","20.12","13.54","18.40","-8.58","-24.24","502,413,658"
"2002-01-01T06:00:00.000Z","18.43","21.40","16.17","19.35","5.22","-10.45","602,296,465"
"2003-01-01T06:00:00.000Z","19.53","20.44","13.74","20.42","5.52","-10.15","674,839,935"
"2004-01-01T06:00:00.000Z","20.47","22.95","19.64","22.79","11.60","-4.07","460,385,305"
"2005-01-03T06:00:00.000Z","22.64","23.40","15.47","15.69","-31.14","-46.80","633,130,294"
"2006-01-02T06:00:00.000Z","15.83","21.94","14.59","20.89","33.14","17.47","863,344,658"
"2007-01-01T06:00:00.000Z","20.97","21.46","17.65","18.41","-11.89","-27.55","1,131,538,045"
"2008-01-01T06:00:00.000Z","18.37","19.25","10.46","12.77","-30.64","-46.31","1,560,170,229"
"2009-01-01T06:00:00.000Z","12.80","18.32","10.83","17.84","39.70","24.03","1,402,406,406"
"2010-01-01T06:00:00.000Z","17.99","20.37","16.27","17.47","-2.04","-17.70","1,372,564,965"
"2011-01-03T06:00:00.000Z","17.56","20.65","17.18","20.43","16.92","1.25","1,421,068,562"
"2012-01-02T06:00:00.000Z","20.61","24.08","18.29","22.83","11.74","-3.92","1,263,691,368"
"2013-01-01T06:00:00.000Z","23.19","28.85","23.02","26.08","14.24","-1.43","1,150,091,752"
"2014-01-01T06:00:00.000Z","26.05","28.99","21.74","28.08","7.66","-8.01","1,131,118,448"
"2015-01-01T06:00:00.000Z","28.03","35.20","25.89","32.63","16.21","0.5425","1,039,799,616"
"2016-01-01T06:00:00.000Z","32.26","39.97","29.38","39.55","21.22","5.55","948,782,705"
"2017-01-02T06:00:00.000Z","39.71","41.68","32.16","37.67","-4.75","-20.42","873,307,453"
"2018-01-01T06:00:00.000Z","37.68","39.43","20.22","21.36","-43.30","-58.96","1,258,504,633"
"2019-01-02T06:00:00.000Z","21.14","35.59","20.80","34.24","60.30","44.63","1,433,726,736"
"2020-01-02T06:00:00.000Z","34.25","39.34","22.83","36.26","5.90","-9.77","931,369,490"
"2021-01-04T06:00:00.000Z","36.40","39.09","30.44","34.15","-5.82","-21.48","903,193,303"
"2022-01-03T06:00:00.000Z","34.00","39.22","30.06","38.70","13.32","-2.34","1,026,548,533"
"2023-01-03T06:00:00.000Z","38.70","41.30","29.27","29.32","-24.24","-39.90","716,716,821"
