"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1983-08-01T05:00:00.000Z","0.9003","1.26","0.8839","1.15","","-15.72","15,442,384"
"1984-01-02T06:00:00.000Z","1.16","1.22","0.7857","0.9003","-21.43","-37.14","13,825,657"
"1985-01-01T06:00:00.000Z","0.8675","1.28","0.8675","1.27","40.90","25.18","29,732,393"
"1986-01-01T06:00:00.000Z","1.27","1.82","1.06","1.24","-2.06","-17.77","34,882,628"
"1987-01-01T06:00:00.000Z","1.24","1.75","0.7922","0.8417","-32.25","-47.97","45,273,037"
"1988-01-01T06:00:00.000Z","0.8417","1.61","0.8318","1.42","68.24","52.53","26,807,439"
"1989-01-02T06:00:00.000Z","1.42","2.67","1.39","2.67","88.46","72.75","97,206,136"
"1990-01-01T06:00:00.000Z","2.67","3.95","2.15","3.64","36.48","20.77","83,822,848"
"1991-01-01T06:00:00.000Z","3.64","6.60","3.40","5.19","42.52","26.81","203,408,903"
"1992-01-01T06:00:00.000Z","5.11","5.79","4.04","5.15","-0.8206","-16.54","176,925,395"
"1993-01-01T06:00:00.000Z","5.06","8.21","4.17","8.08","57.03","41.31","193,945,393"
"1994-01-03T06:00:00.000Z","8.00","10.27","7.06","9.87","22.04","6.32","167,192,653"
"1995-01-02T06:00:00.000Z","9.92","12.37","8.83","11.65","18.06","2.34","150,039,518"
"1996-01-01T06:00:00.000Z","11.60","18.67","11.16","18.59","59.59","43.87","260,347,931"
"1997-01-01T06:00:00.000Z","18.51","25.13","16.44","23.98","28.97","13.25","379,512,113"
"1998-01-01T06:00:00.000Z","24.21","36.56","22.24","36.32","51.50","35.78","402,512,024"
"1999-01-01T06:00:00.000Z","36.62","39.85","17.71","22.92","-36.90","-52.62","711,597,300"
"2000-01-03T06:00:00.000Z","23.34","50.23","17.71","47.69","108.09","92.38","629,463,006"
"2001-01-01T06:00:00.000Z","47.81","55.52","40.69","46.43","-2.65","-18.36","685,356,518"
"2002-01-01T06:00:00.000Z","46.10","52.92","33.46","42.50","-8.46","-24.18","865,493,267"
"2003-01-01T06:00:00.000Z","43.08","48.80","35.90","43.92","3.33","-12.39","981,316,912"
"2004-01-01T06:00:00.000Z","43.14","54.96","25.91","41.75","-4.92","-20.64","940,105,686"
"2005-01-03T06:00:00.000Z","41.79","50.00","37.95","49.37","18.23","2.51","667,687,970"
"2006-01-02T06:00:00.000Z","49.37","54.38","43.91","46.26","-6.28","-22.00","543,270,140"
"2007-01-01T06:00:00.000Z","46.08","54.68","40.50","41.47","-10.37","-26.08","760,879,413"
"2008-01-01T06:00:00.000Z","41.09","44.70","19.95","24.75","-40.31","-56.03","899,986,329"
"2009-01-01T06:00:00.000Z","25.08","33.25","19.93","32.24","30.26","14.54","1,039,147,726"
"2010-01-01T06:00:00.000Z","32.24","39.29","29.69","38.31","18.83","3.11","877,833,087"
"2011-01-03T06:00:00.000Z","38.64","47.06","37.53","40.61","6.00","-9.71","713,468,931"
"2012-01-02T06:00:00.000Z","41.23","44.49","36.91","41.18","1.40","-14.31","644,905,130"
"2013-01-01T06:00:00.000Z","41.51","67.75","41.06","66.81","62.24","46.52","710,759,241"
"2014-01-01T06:00:00.000Z","66.45","83.40","63.06","80.73","20.84","5.12","516,840,029"
"2015-01-01T06:00:00.000Z","81.18","91.91","74.76","89.27","10.58","-5.14","541,846,968"
"2016-01-01T06:00:00.000Z","87.73","89.97","62.70","71.97","-19.38","-35.09","624,228,273"
"2017-01-02T06:00:00.000Z","71.99","84.88","54.66","61.27","-14.87","-30.58","623,266,193"
"2018-01-01T06:00:00.000Z","61.70","75.75","42.17","44.60","-27.21","-42.92","854,893,520"
"2019-01-02T06:00:00.000Z","44.12","56.88","41.03","50.58","13.41","-2.31","722,635,759"
"2020-01-02T06:00:00.000Z","50.92","60.69","39.05","53.56","5.89","-9.82","638,435,940"
"2021-01-04T06:00:00.000Z","53.88","62.96","45.85","51.49","-3.86","-19.58","651,280,270"
"2022-01-03T06:00:00.000Z","51.52","81.57","48.42","76.87","49.29","33.58","719,508,973"
"2023-01-03T06:00:00.000Z","76.46","95.45","68.53","87.58","13.93","-1.78","399,965,801"
