"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1968-01-01T06:00:00.000Z","3.45","4.02","3.04","3.64","","-10.91","63,968,992"
"1969-01-01T06:00:00.000Z","3.70","4.56","3.22","3.54","-2.58","-13.49","80,341,568"
"1970-01-01T06:00:00.000Z","3.46","3.69","2.52","3.56","0.5873","-10.33","65,395,568"
"1971-01-01T06:00:00.000Z","3.52","4.65","3.19","3.94","10.53","-0.3878","94,908,312"
"1972-01-03T06:00:00.000Z","3.94","5.75","3.93","5.54","40.74","29.83","73,038,392"
"1973-01-01T06:00:00.000Z","5.54","6.47","4.47","5.58","0.7525","-10.16","94,878,384"
"1974-01-01T06:00:00.000Z","5.56","5.81","3.28","4.04","-27.61","-38.53","80,976,368"
"1975-01-01T06:00:00.000Z","4.08","6.32","4.00","5.81","43.81","32.90","111,836,768"
"1976-01-01T06:00:00.000Z","5.81","7.77","5.80","7.25","24.73","13.82","171,816,832"
"1977-01-03T06:00:00.000Z","7.25","7.44","6.09","6.86","-5.39","-16.30","157,321,600"
"1978-01-02T06:00:00.000Z","6.84","8.13","5.67","7.34","7.06","-3.85","157,161,600"
"1979-01-01T06:00:00.000Z","7.34","7.86","6.14","6.75","-8.09","-19.00","155,524,000"
"1980-01-01T06:00:00.000Z","6.73","8.00","5.44","7.25","7.41","-3.51","192,071,200"
"1981-01-01T06:00:00.000Z","7.25","9.16","6.20","6.94","-4.31","-15.22","165,172,000"
"1982-01-01T06:00:00.000Z","6.91","6.91","4.14","5.02","-27.70","-38.62","350,686,400"
"1983-01-03T06:00:00.000Z","5.06","6.19","4.67","5.91","17.76","6.84","484,777,600"
"1984-01-02T06:00:00.000Z","5.89","6.59","3.55","3.88","-34.39","-45.31","602,466,400"
"1985-01-01T06:00:00.000Z","3.88","5.39","3.63","5.25","35.48","24.57","483,184,000"
"1986-01-01T06:00:00.000Z","5.25","6.95","4.58","5.02","-4.46","-15.38","731,414,400"
"1987-01-01T06:00:00.000Z","5.02","9.34","4.98","7.75","54.52","43.60","951,785,600"
"1988-01-01T06:00:00.000Z","7.75","8.56","6.73","7.95","2.62","-8.29","671,300,000"
"1989-01-02T06:00:00.000Z","7.95","8.63","6.61","7.23","-9.04","-19.95","842,879,984"
"1990-01-01T06:00:00.000Z","7.23","8.56","4.77","5.88","-18.79","-29.70","752,914,416"
"1991-01-01T06:00:00.000Z","5.88","7.20","4.70","5.48","-6.65","-17.56","605,588,000"
"1992-01-01T06:00:00.000Z","5.48","7.77","5.16","6.70","22.22","11.31","641,124,000"
"1993-01-01T06:00:00.000Z","6.73","11.64","6.73","11.13","65.97","55.05","759,743,200"
"1994-01-03T06:00:00.000Z","11.17","15.19","11.09","13.78","23.88","12.96","923,205,600"
"1995-01-02T06:00:00.000Z","13.72","18.81","12.06","14.69","6.58","-4.34","881,054,004"
"1996-01-01T06:00:00.000Z","14.66","20.25","13.50","18.81","28.09","17.17","751,758,004"
"1997-01-01T06:00:00.000Z","18.44","30.81","18.13","24.25","28.90","17.99","702,997,598"
"1998-01-01T06:00:00.000Z","24.44","30.38","19.53","23.00","-5.15","-16.07","778,805,600"
"1999-01-01T06:00:00.000Z","23.97","33.22","21.00","23.53","2.31","-8.60","816,202,808"
"2000-01-03T06:00:00.000Z","24.44","27.56","14.78","23.66","0.5312","-10.38","936,657,004"
"2001-01-01T06:00:00.000Z","23.13","28.41","19.88","26.13","10.44","-0.4780","1,048,416,398"
