"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1986-11-03T06:00:00.000Z","3.95","3.95","3.32","3.41","","-11.79","65,946,643"
"1987-01-01T06:00:00.000Z","3.41","5.09","2.52","3.41","","-11.79","418,275,988"
"1988-01-01T06:00:00.000Z","3.41","4.01","3.02","3.59","5.26","-6.53","215,636,958"
"1989-01-02T06:00:00.000Z","3.56","4.49","3.53","3.83","6.66","-5.13","215,659,933"
"1990-01-01T06:00:00.000Z","3.83","4.04","2.93","3.71","-3.13","-14.92","133,361,921"
"1991-01-01T06:00:00.000Z","3.71","4.88","2.81","3.68","-0.8052","-12.60","167,552,224"
"1992-01-01T06:00:00.000Z","3.68","3.89","2.70","2.93","-20.33","-32.12","135,854,289"
"1993-01-01T06:00:00.000Z","2.96","3.80","2.81","3.65","24.49","12.70","104,241,931"
"1994-01-03T06:00:00.000Z","3.59","4.67","3.35","4.31","18.03","6.24","116,119,840"
"1995-01-02T06:00:00.000Z","4.28","7.16","4.25","6.44","49.31","37.51","148,736,508"
"1996-01-01T06:00:00.000Z","6.44","11.77","5.75","11.62","80.46","68.67","265,645,118"
"1997-01-01T06:00:00.000Z","11.56","25.87","11.29","25.56","119.98","108.18","249,888,111"
"1998-01-01T06:00:00.000Z","25.56","29.87","16.44","25.69","0.5270","-11.27","323,214,765"
"1999-01-01T06:00:00.000Z","25.74","26.95","12.08","14.46","-43.71","-55.50","295,706,808"
"2000-01-03T06:00:00.000Z","14.10","21.74","10.06","13.66","-5.59","-17.38","355,260,214"
"2001-01-01T06:00:00.000Z","13.52","17.18","9.67","13.61","-0.3156","-12.11","285,962,404"
"2002-01-01T06:00:00.000Z","13.51","17.61","11.46","15.61","14.68","2.88","434,227,991"
"2003-01-01T06:00:00.000Z","15.68","16.75","12.11","15.72","0.6906","-11.10","427,625,848"
"2004-01-01T06:00:00.000Z","15.65","21.09","13.26","14.99","-4.66","-16.46","540,730,008"
"2005-01-03T06:00:00.000Z","15.11","17.19","13.31","13.78","-8.06","-19.85","543,827,884"
"2006-01-02T06:00:00.000Z","13.84","16.16","13.53","14.68","6.52","-5.27","592,541,030"
"2007-01-01T06:00:00.000Z","14.76","19.47","14.22","18.71","27.47","15.68","880,092,658"
"2008-01-01T06:00:00.000Z","18.61","19.40","5.21","8.65","-53.78","-65.58","1,235,071,505"
"2009-01-01T06:00:00.000Z","8.62","15.47","6.97","15.24","76.23","64.43","1,441,883,883"
"2010-01-01T06:00:00.000Z","15.41","22.86","13.54","17.99","18.07","6.27","1,863,406,366"
"2011-01-03T06:00:00.000Z","18.06","21.55","16.55","18.53","3.00","-8.80","1,166,831,026"
"2012-01-02T06:00:00.000Z","18.92","23.39","18.29","22.80","23.08","11.29","914,050,750"
"2013-01-01T06:00:00.000Z","23.07","31.88","23.01","31.72","39.08","27.29","817,949,509"
"2014-01-01T06:00:00.000Z","31.52","35.94","28.07","31.78","0.2040","-11.59","779,864,881"
"2015-01-01T06:00:00.000Z","31.80","38.66","29.49","35.39","11.35","-0.4403","885,219,134"
"2016-01-01T06:00:00.000Z","34.70","41.28","30.55","31.40","-11.27","-23.07","866,258,146"
"2017-01-02T06:00:00.000Z","31.16","44.75","31.09","39.85","26.91","15.12","336,339,656"
"2018-01-01T06:00:00.000Z","39.88","49.43","36.17","45.85","15.06","3.26","364,974,897"
"2019-01-02T06:00:00.000Z","45.22","58.94","44.44","50.88","10.97","-0.8222","286,330,587"
"2020-01-02T06:00:00.000Z","50.99","57.11","28.35","49.83","-2.06","-13.86","409,707,848"
"2021-01-04T06:00:00.000Z","49.69","63.04","44.34","55.93","12.24","0.4489","246,648,892"
"2022-01-03T06:00:00.000Z","55.91","59.86","41.80","55.32","-1.09","-12.88","315,587,162"
"2023-01-03T06:00:00.000Z","55.43","66.79","53.53","62.32","12.65","0.8609","182,696,901"
