"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1987-07-01T05:00:00.000Z","3.94","4.38","2.03","3.00","","-11.23","93,432,800"
"1988-01-01T06:00:00.000Z","3.00","3.88","2.81","3.88","29.17","17.93","66,771,200"
"1989-01-02T06:00:00.000Z","3.84","6.59","3.72","4.97","28.23","17.00","126,480,400"
"1990-01-01T06:00:00.000Z","4.97","6.22","2.69","3.53","-28.93","-40.16","103,391,200"
"1991-01-01T06:00:00.000Z","3.53","7.31","3.03","6.56","85.84","74.61","203,036,400"
"1992-01-01T06:00:00.000Z","6.53","8.50","6.00","8.19","24.76","13.53","192,246,800"
"1993-01-01T06:00:00.000Z","8.19","12.50","7.56","11.84","44.66","33.43","209,305,600"
"1994-01-03T06:00:00.000Z","11.84","13.06","9.56","10.63","-10.29","-21.52","183,414,000"
"1995-01-02T06:00:00.000Z","10.50","13.56","10.00","12.19","14.71","3.47","274,354,802"
"1996-01-01T06:00:00.000Z","12.19","16.56","11.63","16.50","35.38","24.15","223,345,796"
"1997-01-01T06:00:00.000Z","16.25","27.94","15.69","27.69","67.80","56.57","193,637,000"
"1998-01-01T06:00:00.000Z","27.75","48.50","19.00","48.00","73.36","62.13","335,836,202"
"1999-01-01T06:00:00.000Z","48.00","53.50","38.13","47.81","-0.3906","-11.62","293,391,498"
"2000-01-03T06:00:00.000Z","46.00","51.25","18.31","30.81","-35.56","-46.79","572,933,509"
"2001-01-01T06:00:00.000Z","30.00","34.94","16.95","28.08","-8.87","-20.10","458,089,595"
"2002-01-01T06:00:00.000Z","27.83","34.64","22.07","24.95","-11.15","-22.38","534,281,389"
"2003-01-01T06:00:00.000Z","24.96","39.84","20.34","39.73","59.24","48.01","698,539,387"
"2004-01-01T06:00:00.000Z","39.91","58.75","39.75","57.63","45.05","33.82","612,570,403"
"2005-01-03T06:00:00.000Z","58.24","58.98","45.78","53.47","-7.22","-18.45","760,419,507"
"2006-01-02T06:00:00.000Z","53.83","56.14","36.40","49.05","-8.27","-19.50","861,055,701"
"2007-01-01T06:00:00.000Z","50.53","52.73","41.70","44.49","-9.30","-20.53","842,091,405"
"2008-01-01T06:00:00.000Z","44.37","45.22","14.85","24.32","-45.34","-56.57","1,569,168,216"
"2009-01-01T06:00:00.000Z","24.18","34.95","16.80","31.69","30.30","19.07","1,426,982,655"
"2010-01-01T06:00:00.000Z","32.29","47.22","29.68","46.11","45.50","34.27","1,190,147,728"
"2011-01-03T06:00:00.000Z","46.44","48.14","28.52","32.64","-29.21","-40.44","1,295,836,367"
"2012-01-02T06:00:00.000Z","33.47","39.95","29.15","36.77","12.65","1.42","1,138,893,130"
"2013-01-01T06:00:00.000Z","37.25","40.47","31.44","40.17","9.25","-1.99","1,167,261,681"
"2014-01-01T06:00:00.000Z","39.64","46.31","33.11","45.33","12.85","1.61","999,348,496"
"2015-01-01T06:00:00.000Z","45.91","55.77","42.51","54.48","20.19","8.95","1,016,847,771"
"2016-01-01T06:00:00.000Z","54.16","54.90","40.52","52.06","-4.44","-15.67","1,222,343,975"
"2017-01-02T06:00:00.000Z","52.23","69.89","51.74","66.37","27.49","16.26","792,366,861"
"2018-01-01T06:00:00.000Z","67.22","72.70","45.64","49.30","-25.72","-36.95","974,751,146"
"2019-01-02T06:00:00.000Z","48.94","59.24","39.92","50.83","3.10","-8.13","1,033,487,448"
"2020-01-02T06:00:00.000Z","51.35","51.94","7.80","21.66","-57.39","-68.62","11,522,325,157"
"2021-01-04T06:00:00.000Z","21.70","31.52","16.32","20.12","-7.11","-18.34","9,032,310,386"
"2022-01-03T06:00:00.000Z","20.56","23.86","6.11","8.06","-59.94","-71.17","12,387,452,298"
"2023-01-03T06:00:00.000Z","8.24","19.55","7.92","15.73","95.16","83.93","6,388,749,685"
