"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"1990-09-03T05:00:00.000Z","4.44","5.50","2.94","5.31","","-21.91","35,841,956"
"1991-01-01T06:00:00.000Z","5.31","7.69","3.22","5.58","5.24","-16.67","257,570,054"
"1992-01-01T06:00:00.000Z","5.53","6.64","2.92","4.75","-14.93","-36.83","321,819,102"
"1993-01-01T06:00:00.000Z","4.83","5.42","1.83","2.58","-45.61","-67.52","352,920,082"
"1994-01-03T06:00:00.000Z","2.56","4.83","2.28","4.58","77.42","55.51","341,483,900"
"1995-01-02T06:00:00.000Z","4.56","14.13","4.28","14.00","205.45","183.55","287,874,210"
"1996-01-01T06:00:00.000Z","13.92","22.19","10.69","19.75","41.07","19.16","267,063,046"
"1997-01-01T06:00:00.000Z","19.63","29.13","13.06","24.50","24.05","2.14","403,720,898"
"1998-01-01T06:00:00.000Z","24.38","39.00","19.13","29.75","21.43","-0.4774","300,541,699"
"1999-01-01T06:00:00.000Z","29.75","34.13","9.19","24.00","-19.33","-41.23","525,441,792"
"2000-01-03T06:00:00.000Z","23.75","28.94","13.00","27.50","14.58","-7.32","357,134,699"
"2001-01-01T06:00:00.000Z","26.13","32.69","14.10","21.92","-20.29","-42.20","426,966,302"
"2002-01-01T06:00:00.000Z","22.00","24.39","8.65","11.79","-46.21","-68.12","341,939,901"
"2003-01-01T06:00:00.000Z","11.90","18.32","8.71","17.98","52.50","30.60","522,296,365"
"2004-01-01T06:00:00.000Z","18.10","19.48","11.47","13.81","-23.19","-45.10","440,380,600"
"2005-01-03T06:00:00.000Z","13.90","18.65","12.90","16.92","22.52","0.6139","401,488,008"
"2006-01-02T06:00:00.000Z","16.89","19.65","14.93","17.91","5.85","-16.05","592,088,127"
"2007-01-01T06:00:00.000Z","17.99","24.90","15.96","17.01","-5.03","-26.93","932,018,401"
"2008-01-01T06:00:00.000Z","16.93","17.08","2.42","3.66","-78.48","-100.39","1,529,642,751"
"2009-01-01T06:00:00.000Z","3.63","8.18","3.03","5.99","63.66","41.76","815,129,332"
"2010-01-01T06:00:00.000Z","6.01","8.68","5.36","8.26","37.90","15.99","891,969,793"
"2011-01-03T06:00:00.000Z","8.31","11.72","8.09","10.40","25.91","4.00","788,513,599"
"2012-01-02T06:00:00.000Z","10.59","13.79","9.73","13.51","29.90","8.00","719,980,526"
"2013-01-01T06:00:00.000Z","13.74","15.96","12.33","14.02","3.77","-18.13","818,719,470"
"2014-01-01T06:00:00.000Z","14.00","19.54","13.59","18.97","35.31","13.40","793,269,329"
"2015-01-01T06:00:00.000Z","19.15","23.30","16.52","20.81","9.70","-12.21","836,427,846"
"2016-01-01T06:00:00.000Z","20.00","28.00","18.32","25.22","21.19","-0.7143","636,018,994"
"2017-01-02T06:00:00.000Z","25.43","45.64","25.24","41.82","65.82","43.91","589,877,121"
"2018-01-01T06:00:00.000Z","42.00","47.40","35.49","43.48","3.97","-17.94","542,359,841"
"2019-01-02T06:00:00.000Z","42.65","77.08","41.43","69.36","59.52","37.62","488,757,202"
"2020-01-02T06:00:00.000Z","70.18","136.84","51.39","136.43","96.70","74.79","471,256,429"
"2021-01-04T06:00:00.000Z","136.89","192.70","118.11","186.35","36.59","14.68","363,523,684"
"2022-01-03T06:00:00.000Z","185.68","194.97","132.31","160.64","-13.80","-35.70","433,070,135"
"2023-01-03T06:00:00.000Z","162.83","248.16","154.88","243.56","51.62","29.71","295,440,804"
